regulator,    target,    score,    rank
AT1G29280,    ATMG00840,            -0.992206845039,   1
AT1G53910,    AT3G53600,            -0.991231020821,   2
AT1G69010,    AT5G35310,            0.99075099215,   3
AT1G29160,    AT1G47220,            -0.988629251873,   4
AT1G30490,    AT5G56640,            -0.988083521059,   5
AT1G01060,    AT1G26790,            0.98780192885,   6
AT1G29860,    AT2G42850,            -0.986846096628,   7
AT1G28370,    AT3G02800,            0.986836623874,   8
AT2G18380,    AT5G28200,            0.984721236747,   9
AT1G01060,    AT3G43730,            0.984564172097,   10
AT1G72740,    AT1G24140,            -0.984394458003,   11
AT1G68320,    AT5G40690,            -0.983928969904,   12
AT1G32150,    AT4G22610,            0.983307749207,   13
AT1G29160,    AT3G54940,            -0.98284145895,   14
AT1G53910,    AT5G58680,            -0.981600634925,   15
AT2G22430,    AT1G11700,            0.980508509263,   16
AT2G04038,    AT4G18920,            0.980111056096,   17
AT1G68320,    AT4G34850,            0.980084200916,   18
AT2G03500,    AT5G19700,            -0.979442477247,   19
AT1G69780,    AT2G31910,            -0.97857712175,   20
AT1G01060,    AT1G17545,            0.976928470072,   21
AT1G44830,    AT5G45340,            0.976853868062,   22
AT1G49010,    AT5G50940,            -0.976394551794,   23
AT2G02080,    AT4G03580,            0.976283426123,   24
AT1G19850,    AT2G42250,            0.976263827653,   25
AT1G80840,    AT4G17490,            0.976094793445,   26
AT1G76890,    AT5G56870,            0.975555125665,   27
AT1G19040,    AT2G30900,            0.975516219719,   28
AT1G29860,    AT5G52390,            0.975358313763,   29
AT1G80840,    AT5G39670,            0.974873739813,   30
AT2G01940,    AT5G29584,            -0.974776374144,   31
AT1G29860,    AT5G05340,            0.974732225829,   32
AT1G43700,    AT2G46150,            -0.974645880418,   33
AT1G80840,    AT4G36500,            0.974444736008,   34
AT1G13260,    AT2G02490,            0.97443456365,   35
AT1G28370,    AT1G09950,            0.973207642719,   36
AT1G22070,    AT2G15740,            -0.973060241001,   37
AT1G19850,    AT3G25130,            0.973001172267,   38
AT1G12260,    AT2G23400,            0.972164069411,   39
AT1G29160,    AT1G44446,            -0.972144922407,   40
AT1G49010,    AT1G29610,            0.972095777142,   41
AT1G70920,    AT5G07930,            0.971759881547,   42
AT1G65910,    AT3G50270,            0.971725553807,   43
AT2G04038,    AT1G01070,            0.971427280826,   44
AT1G80840,    AT2G32030,            0.971091573012,   45
AT2G23320,    AT3G50900,            0.971033905622,   46
AT1G80840,    AT5G59730,            0.970981173165,   47
AT2G23320,    AT3G08720,            0.970957573302,   48
AT2G01930,    AT4G26540,            0.970893481104,   49
AT1G19850,    AT5G52890,            0.97030491417,   50
AT1G76890,    AT1G49870,            -0.970189457922,   51
AT1G06850,    AT1G30795,            -0.969672716818,   52
AT1G68200,    AT1G39750,            0.969439904248,   53
AT1G01720,    AT4G37180,            0.969386420771,   54
AT1G74480,    AT5G50190,            -0.969192439141,   55
AT1G76890,    AT1G43700,            0.968987645791,   56
AT1G19850,    AT5G06900,            0.968889131706,   57
AT2G01060,    AT4G31330,            0.968493046275,   58
AT1G27730,    AT1G05575,            0.96815779958,   59
AT2G23290,    AT4G19730,            0.968116672659,   60
AT2G23320,    AT1G52700,            -0.968060349014,   61
AT1G51140,    AT5G52660,            0.968024724356,   62
AT1G69180,    AT3G14450,            -0.967894849136,   63
AT1G43700,    AT2G11160,            0.967559441668,   64
AT1G54330,    AT1G35555,            0.96715514676,   65
AT1G01060,    AT4G32340,            -0.966287536033,   66
AT1G49010,    AT5G07700,            0.965859111561,   67
AT1G76890,    AT4G01460,            -0.965854993475,   68
AT1G74840,    AT1G13450,            0.9656805519,   69
AT1G32150,    AT3G13130,            0.965556842031,   70
AT1G49480,    AT4G10440,            -0.965450116545,   71
AT1G27730,    AT3G16720,            0.965376706367,   72
AT1G52880,    AT4G04490,            -0.96521820341,   73
AT1G02250,    AT2G26880,            0.965181875607,   74
AT1G13450,    AT3G17610,            -0.965071822978,   75
AT1G74650,    AT5G54230,            0.964639757707,   76
AT1G77200,    AT5G66150,            0.964434561686,   77
AT2G23290,    AT2G17880,            0.96428098801,   78
AT1G69180,    AT1G09530,            -0.964231063935,   79
AT1G76420,    AT4G23250,            0.964064179089,   80
AT1G34180,    AT1G26290,            -0.963949875237,   81
AT1G28370,    AT4G23810,            0.96350529769,   82
AT2G28810,    AT2G36630,            -0.963457438943,   83
AT1G74650,    AT3G04550,            -0.963423286324,   84
AT1G68320,    AT5G07240,            0.962943181425,   85
AT2G18060,    AT2G24080,            0.962909850531,   86
AT1G69690,    AT2G20090,            0.962786273912,   87
AT2G04038,    AT5G32610,            0.962701886527,   88
