regulator,    target,    score,    rank
AT2G31230,    AT4G04980,            0.624023532452,   1
AT2G18380,    AT5G28200,            0.622388831602,   2
AT1G69010,    AT5G35310,            0.602327118143,   3
AT2G23340,    AT2G43890,            -0.586675241937,   4
AT2G18380,    AT3G29020,            -0.573134754447,   5
AT2G18060,    AT2G24080,            0.569529285055,   6
AT2G22430,    AT1G11700,            0.557252778669,   7
AT2G31230,    AT5G66370,            0.548638955326,   8
AT1G71450,    AT1G12190,            0.546713750041,   9
AT1G69690,    AT4G21360,            -0.535009875029,   10
AT1G06850,    AT1G30795,            -0.534281881592,   11
AT1G68320,    AT1G79900,            0.530607019593,   12
AT1G12260,    AT3G43250,            -0.526755541412,   13
AT1G76880,    AT1G67450,            0.525921335333,   14
AT1G68200,    AT1G39750,            0.521629432165,   15
AT1G77200,    AT4G28810,            0.519593182415,   16
AT1G46768,    AT2G04440,            -0.519282745922,   17
AT1G52150,    AT1G72100,            -0.510706164451,   18
AT2G31230,    AT1G43810,            -0.50797537879,   19
AT1G19040,    AT1G78030,            0.505654121118,   20
AT2G20110,    AT5G56920,            0.505618696898,   21
AT1G70920,    AT5G28820,            0.50501991551,   22
AT2G23340,    AT3G46590,            0.504445811865,   23
AT2G18060,    AT1G44510,            0.503120073994,   24
AT1G19040,    AT2G30900,            0.502386202025,   25
AT1G70920,    AT1G21250,            0.490203198254,   26
AT1G77920,    AT4G16930,            -0.489673191769,   27
AT1G51140,    AT5G59660,            -0.488079655345,   28
AT1G76880,    AT2G31470,            0.48729805407,   29
AT1G01250,    AT4G29320,            -0.48725036942,   30
AT2G23340,    AT4G11730,            -0.486912348356,   31
AT1G52150,    AT4G21630,            -0.486394253045,   32
AT1G69780,    AT1G36560,            -0.483777500276,   33
AT1G09540,    AT2G20250,            -0.477414401581,   34
AT1G46768,    AT3G28220,            -0.477221591035,   35
AT2G23290,    AT4G19730,            0.475547126315,   36
AT1G70920,    AT5G07930,            0.474163359655,   37
AT1G54330,    AT1G01520,            -0.473228382023,   38
AT2G30340,    AT1G23540,            0.472893669643,   39
AT2G01930,    AT4G26540,            0.472689240531,   40
AT1G19850,    AT2G42250,            0.472258478626,   41
AT1G68550,    AT2G33080,            0.465750412829,   42
AT2G04038,    AT4G18920,            0.46520200712,   43
AT1G28370,    AT3G02800,            0.459774829597,   44
AT1G28370,    AT2G39510,            0.455744757375,   45
AT1G51140,    AT1G29670,            -0.455428634378,   46
AT1G76880,    AT2G20805,            0.453923715934,   47
AT1G68320,    AT2G38160,            0.452146682648,   48
AT1G29280,    AT3G11870,            0.449747117741,   49
AT2G01940,    AT4G12930,            -0.449425059458,   50
AT2G04038,    AT3G28310,            0.448507729087,   51
AT1G76880,    AT4G26040,            0.448505010382,   52
AT2G31230,    AT3G26150,            0.447210204887,   53
AT1G68200,    AT5G51900,            -0.44673410929,   54
AT2G31230,    AT5G61070,            0.443626407288,   55
AT2G23290,    AT1G75870,            0.443506442302,   56
AT1G70920,    AT1G34140,            -0.443448861287,   57
AT2G18550,    AT2G37810,            -0.442780804673,   58
AT2G02070,    AT3G42080,            -0.439934822724,   59
AT1G77920,    AT5G09340,            -0.439913156289,   60
AT1G32870,    AT3G51240,            0.429497951427,   61
AT1G71450,    AT3G21100,            -0.425974933163,   62
AT1G03840,    AT1G63210,            0.423535989644,   63
AT2G31230,    AT5G62080,            -0.423444548883,   64
AT2G31230,    AT5G29397,            -0.422882643212,   65
AT1G68320,    AT5G40690,            -0.422724825643,   66
