regulator,    target,    score,    rank
AT1G51140,    AT3G20180,            -0.993802238693,   1
AT2G30250,    AT1G74360,            0.992924392648,   2
AT1G70920,    AT1G36060,            0.992342350283,   3
AT1G34190,    AT2G47130,            0.991838125674,   4
AT1G01060,    AT5G67030,            0.991479818521,   5
AT1G32150,    AT1G14360,            -0.990914536672,   6
AT1G34190,    AT3G13100,            0.990795887075,   7
AT1G77200,    AT1G34370,            -0.990191341487,   8
AT1G28370,    AT2G18210,            0.990059498243,   9
AT2G18160,    AT3G06750,            0.989895621498,   10
AT2G01060,    AT1G15790,            0.989761864447,   11
AT1G51140,    AT5G42010,            -0.989633849646,   12
AT1G22070,    AT2G17670,            0.989452723667,   13
AT1G51140,    AT4G37080,            0.98894735085,   14
AT1G01060,    AT4G26670,            -0.988581726078,   15
AT2G18160,    AT4G26910,            -0.988509937269,   16
AT1G22810,    AT2G46940,            0.988411226555,   17
AT2G18160,    AT4G33310,            -0.98836733876,   18
AT1G27730,    AT5G04340,            0.988316907665,   19
AT1G33240,    AT2G04795,            0.987425965756,   20
AT1G75240,    AT1G74670,            0.987180030698,   21
AT1G51700,    AT5G51190,            0.98687698227,   22
AT1G32870,    AT3G28580,            0.986106986198,   23
AT1G49010,    AT4G38840,            0.985882211337,   24
AT1G49010,    AT1G76110,            0.985350997256,   25
AT1G62300,    AT2G43620,            0.985327472537,   26
AT1G27730,    AT1G72940,            0.98528107761,   27
AT1G34180,    AT5G47120,            0.984954140018,   28
AT2G01060,    AT3G03560,            0.984411668567,   29
AT1G49010,    AT4G37640,            -0.984201008882,   30
AT1G49480,    AT5G61420,            0.98416079133,   31
AT1G01060,    AT3G52180,            -0.984059579271,   32
AT2G02080,    AT1G75520,            0.984044145452,   33
AT2G18160,    AT1G22180,            -0.983862264809,   34
AT1G51140,    AT4G19370,            -0.983761678928,   35
AT1G51140,    AT4G31860,            -0.983693741187,   36
AT2G30250,    AT4G22590,            0.983320770422,   37
AT1G27730,    AT3G57450,            0.982991020596,   38
AT1G18330,    AT5G53710,            0.982956599066,   39
AT1G34190,    AT4G11890,            0.982681264368,   40
AT1G30650,    AT2G22880,            0.982598994849,   41
AT1G16490,    AT2G26320,            0.982554038686,   42
AT2G23320,    AT1G76070,            0.982537157139,   43
AT1G22070,    AT5G27520,            0.982425190549,   44
AT2G01060,    AT1G77510,            0.981969414248,   45
AT1G51700,    AT4G24570,            0.981854588034,   46
AT1G03840,    AT1G73070,            0.981679245469,   47
AT1G64620,    AT4G36105,            0.981539895866,   48
AT1G49010,    AT5G12930,            -0.981497476636,   49
AT1G64620,    AT5G41920,            -0.981332150528,   50
AT1G64620,    AT5G02570,            -0.981066928179,   51
AT2G18380,    AT3G50570,            0.981066462872,   52
AT1G49010,    AT2G38340,            -0.980719734533,   53
AT1G69180,    AT2G35290,            0.980654541474,   54
AT1G34190,    AT4G26470,            0.980513095065,   55
AT2G18160,    AT1G22070,            -0.980416510649,   56
AT1G80840,    AT4G17500,            0.980069261258,   57
AT1G27730,    AT2G40140,            0.980044574895,   58
AT1G53910,    AT5G40040,            0.979833864454,   59
AT2G22430,    AT1G36105,            -0.979763252302,   60
AT1G32150,    AT2G45500,            -0.979089251318,   61
AT2G18160,    AT3G21870,            0.979000202404,   62
AT1G28370,    AT1G19380,            0.978676478819,   63
AT1G32150,    AT1G19970,            0.978655174731,   64
AT1G80840,    AT4G11280,            0.978270552039,   65
AT1G01060,    AT1G33430,            0.978176203891,   66
AT2G23320,    AT3G53810,            0.978138759105,   67
AT1G01060,    AT5G61380,            -0.978066730477,   68
AT2G30250,    AT5G01550,            0.978056801315,   69
AT1G51140,    AT5G22530,            -0.978020045309,   70
AT1G34190,    AT2G18190,            0.978018440669,   71
AT1G14687,    ATMG00320,            -0.977855437995,   72
AT1G64620,    AT5G62430,            0.977800946671,   73
AT1G34180,    AT1G34190,            0.9777670263,   74
AT2G30250,    AT2G15390,            0.977707419258,   75
AT1G71450,    AT1G56670,            0.977618222443,   76
AT1G77920,    AT5G67480,            0.977444787256,   77
AT1G51700,    AT1G09070,            0.977409743947,   78
AT1G01060,    AT5G39410,            -0.977275411729,   79
AT1G27730,    AT3G56880,            0.977075366502,   80
AT1G01060,    AT4G09020,            -0.977041482786,   81
AT1G51140,    AT4G24660,            0.976947558572,   82
AT1G32150,    AT4G20170,            0.976836326807,   83
AT2G04038,    AT3G30650,            0.976556076499,   84
AT1G69570,    AT1G73870,            0.976500404436,   85
AT1G47655,    AT5G54190,            -0.976476338522,   86
AT1G75240,    AT1G78710,            0.97645194974,   87
AT1G32870,    AT4G03450,            0.976292798446,   88
AT2G23320,    AT5G24110,            0.976097136097,   89
AT1G06850,    AT3G13790,            -0.976080388465,   90
AT1G19210,    AT5G07060,            -0.976064065592,   91
