regulator,    target,    score,    rank
AT2G01940,    AT3G47790,            0.550149821347,   1
AT1G74650,    AT1G41930,            -0.539755217045,   2
AT2G15740,    AT5G07310,            0.530225382573,   3
AT1G29860,    AT1G67623,            0.520944071785,   4
AT1G27730,    AT1G72940,            0.509694235905,   5
AT1G01720,    AT1G51520,            -0.500203636144,   6
AT2G02080,    AT1G75520,            0.492800302043,   7
AT1G14687,    ATMG00320,            -0.489449164226,   8
AT1G74480,    AT1G33280,            -0.488983639088,   9
AT1G43700,    AT3G11370,            -0.485296779429,   10
AT1G79580,    AT4G03810,            0.481324705876,   11
AT1G06180,    AT3G44450,            0.475103313972,   12
AT1G68320,    ATCG00270,            0.471486048768,   13
AT1G52150,    AT3G25020,            0.469189008834,   14
AT1G29860,    AT4G16610,            0.462929842319,   15
AT2G24430,    AT2G02310,            0.448444341686,   16
AT2G30590,    AT5G03680,            -0.446124691848,   17
AT1G68550,    AT2G16010,            -0.438318905909,   18
AT1G43160,    AT1G31060,            0.436289228955,   19
AT2G02080,    AT3G21040,            -0.433389252968,   20
AT1G29860,    AT2G06120,            0.432996641171,   21
AT1G74480,    AT2G06220,            -0.432456056085,   22
AT1G19210,    AT5G07060,            -0.432087231073,   23
AT2G01940,    AT3G18120,            -0.430134813666,   24
AT2G15740,    AT2G31500,            0.428296468105,   25
AT2G15740,    AT4G26170,            0.422653033251,   26
AT1G49480,    AT2G22290,            -0.422530717242,   27
AT2G20110,    AT2G04870,            -0.421460194708,   28
AT2G18060,    AT4G24030,            -0.41961636784,   29
AT1G29280,    AT2G14760,            -0.419572254072,   30
AT1G79180,    AT1G71390,            0.41397930005,   31
AT1G74480,    AT1G67240,            -0.41291447826,   32
AT1G79580,    AT1G42560,            0.412181231001,   33
AT1G12630,    AT5G58840,            -0.41040122747,   34
AT2G30590,    AT5G43410,            0.410167655171,   35
AT1G74650,    AT3G56520,            0.409048595913,   36
AT1G69010,    AT1G23560,            -0.405975688098,   37
AT1G68200,    AT3G44830,            0.404140440246,   38
AT2G18060,    AT3G60550,            0.40213111779,   39
AT1G52880,    AT2G21820,            0.399771947805,   40
AT1G29280,    AT4G18770,            -0.397601386742,   41
AT2G24430,    AT1G35555,            0.396233140992,   42
AT1G43700,    AT4G27460,            0.393291495481,   43
AT1G22810,    AT3G24640,            0.393182523265,   44
AT2G24430,    AT2G29330,            0.391910081044,   45
AT1G19850,    AT2G37770,            -0.391622187363,   46
AT1G01720,    AT1G50610,            -0.390594352524,   47
AT2G30590,    AT4G36740,            0.386367633607,   48
AT1G77920,    AT5G28570,            -0.386051080566,   49
AT1G01720,    AT4G32800,            -0.386032106945,   50
AT1G43700,    AT1G17740,            0.385810516855,   51
AT1G12630,    AT5G06860,            -0.383224818382,   52
AT2G01940,    AT2G38930,            0.382748459718,   53
AT2G03500,    AT2G31690,            -0.382490483224,   54
AT1G09540,    AT5G26870,            -0.381687314663,   55
AT2G03500,    AT3G48540,            0.380381373297,   56
AT1G29860,    AT1G80090,            0.379504693846,   57
AT2G30590,    AT1G26400,            0.378880304652,   58
AT1G29860,    AT1G20290,            0.37792300105,   59
AT2G20400,    AT4G17380,            0.376981013939,   60
AT1G29860,    AT2G01200,            0.374739679055,   61
AT1G01720,    AT2G43140,            0.373814878104,   62
AT1G09540,    AT2G27740,            -0.372666280468,   63
AT2G02820,    AT2G42540,            -0.372387414809,   64
AT2G15740,    AT3G15930,            0.371992508274,   65
AT1G29860,    AT2G37290,            -0.370523634736,   66
AT2G30590,    AT3G55120,            -0.370253485553,   67
AT1G13260,    AT2G45220,            0.369812617897,   68
AT2G18060,    AT3G29220,            -0.369157320902,   69
AT1G69180,    AT2G35290,            0.368914489129,   70
AT1G06180,    AT5G32400,            0.366736649477,   71
AT2G18060,    AT5G45640,            -0.365921526489,   72
AT2G30590,    AT4G08100,            0.365170421192,   73
AT1G68320,    AT4G07970,            0.364745482613,   74
AT1G79580,    AT5G26900,            0.363966814909,   75
AT2G20400,    AT4G03650,            0.362960983929,   76
AT1G77920,    AT1G05330,            -0.362954663741,   77
AT1G77920,    AT1G04645,            -0.361567949344,   78
AT1G19040,    AT5G36900,            0.360834383975,   79
AT1G01720,    AT1G05280,            -0.359817972304,   80
AT1G53910,    AT5G16820,            0.359806739331,   81
AT1G25550,    AT1G42250,            -0.358992387684,   82
AT1G09540,    AT2G03110,            0.358969053068,   83
AT2G02820,    AT3G46590,            0.356619993948,   84
AT2G30590,    AT5G13930,            -0.35643696179,   85
AT2G23290,    AT1G31620,            0.35602905696,   86
AT1G06180,    AT3G42400,            0.354668615109,   87
AT2G02080,    AT2G26400,            0.353686576752,   88
AT1G28160,    AT2G34830,            -0.352929206768,   89
AT2G23320,    AT1G76070,            0.348942230557,   90
AT1G74480,    AT4G27150,            -0.348200506708,   91
AT1G69010,    AT3G30400,            0.345967800444,   92
AT1G68670,    AT5G10210,            0.343698196843,   93
AT1G27730,    AT3G45640,            0.343086765572,   94
AT2G18380,    AT3G50570,            0.342273517979,   95
AT1G19850,    AT5G23320,            -0.341932702294,   96
AT1G02250,    AT3G30260,            0.341639576831,   97
AT1G12260,    AT4G08640,            0.34160770411,   98
AT1G68200,    AT1G66390,            -0.340381204588,   99
AT1G34180,    AT1G06020,            0.339915210558,   100
AT1G08320,    AT5G61605,            0.339063370654,   101
AT2G04038,    AT3G30650,            0.336652173565,   102
AT1G76420,    AT3G21170,            0.335532375703,   103
AT2G23320,    AT3G53810,            0.335022046624,   104
AT2G20400,    AT1G52240,            0.334957832725,   105
AT1G08320,    AT5G37560,            0.333942639599,   106
AT1G28160,    AT1G36810,            0.333711362111,   107
AT2G30590,    AT4G13090,            -0.332283971743,   108
AT1G29860,    AT1G64830,            0.330993514262,   109
AT1G28160,    AT3G53480,            -0.33047995242,   110
AT1G69010,    AT2G07700,            0.329713086128,   111
AT1G43160,    AT3G23650,            0.328784273179,   112
AT2G20400,    AT3G11980,            -0.328667160307,   113
AT1G13450,    AT3G60490,            0.328175158245,   114
AT1G09540,    AT5G46770,            0.326445167626,   115
AT1G16490,    AT3G32290,            0.325228175545,   116
AT1G08320,    AT4G36510,            0.324953813481,   117
AT1G14687,    AT3G50160,            0.324548369707,   118
AT1G69010,    AT1G53180,            -0.324175178729,   119
AT1G12630,    AT5G07440,            -0.323796716612,   120
AT1G12630,    AT1G66720,            0.322837123455,   121
AT1G02250,    AT1G14420,            0.32261119634,   122
AT1G77920,    AT1G75550,            -0.32200083635,   123
AT1G68320,    AT5G41620,            -0.320329935606,   124
AT1G68320,    AT4G31260,            0.319647353054,   125
AT1G29160,    AT4G16270,            -0.319395134898,   126
