regulator,    target,    score,    rank
AT1G30210,    AT4G03270,            0.99380419083,   1
AT1G69010,    AT1G11330,            0.992224447548,   2
AT1G19850,    AT2G30630,            0.988509059331,   3
AT1G16490,    AT1G49230,            -0.988505804443,   4
AT1G16490,    AT4G33980,            -0.988034376357,   5
AT1G08320,    AT3G16680,            -0.987078062104,   6
AT2G32460,    AT1G02640,            0.986576339904,   7
AT1G51700,    AT1G13370,            0.986057607583,   8
AT1G02250,    AT2G14540,            -0.985915660611,   9
AT1G79180,    AT3G30270,            0.985915473164,   10
AT1G01060,    AT2G42760,            0.98478759275,   11
AT1G16490,    ATMG00320,            -0.984370388701,   12
AT1G25550,    AT3G08750,            0.983592662243,   13
AT1G30650,    AT1G43800,            -0.98282929421,   14
AT1G19000,    AT1G51115,            0.982760857909,   15
AT1G16490,    AT5G64850,            0.981940832862,   16
AT1G36060,    AT1G70930,            0.981442300342,   17
AT2G03340,    AT5G29584,            0.981357820588,   18
AT1G19000,    AT3G08940,            0.98070724808,   19
AT1G16490,    AT5G11260,            -0.980540785023,   20
AT1G49480,    AT4G18890,            -0.980174113373,   21
AT1G34190,    AT5G15140,            0.980173508851,   22
AT2G28810,    AT2G27690,            -0.980045076832,   23
AT1G01060,    AT1G49720,            -0.979751934544,   24
AT1G01060,    AT1G70130,            0.979405076656,   25
AT1G01060,    AT3G26570,            0.979212006341,   26
AT2G24430,    AT2G30240,            -0.979182865496,   27
AT2G02070,    AT2G22320,            0.978678932648,   28
AT1G06850,    AT4G15100,            -0.978567165313,   29
AT1G16490,    AT5G60100,            -0.977460262173,   30
AT1G79180,    AT5G49590,            -0.977459257664,   31
AT1G16490,    AT1G56300,            -0.976877982617,   32
AT1G69180,    AT1G47400,            0.976716032832,   33
AT1G71450,    AT5G05790,            -0.976475296536,   34
AT1G36060,    AT2G46770,            0.976376851673,   35
AT1G36060,    AT5G52640,            0.976158196301,   36
AT1G72740,    AT1G69920,            -0.976000468914,   37
AT1G33240,    AT3G50170,            -0.975994592175,   38
AT2G28810,    AT1G69610,            -0.975728136615,   39
AT1G72740,    AT3G54330,            0.975704306343,   40
AT1G51140,    AT1G39750,            -0.975039406264,   41
AT1G79180,    AT5G52710,            0.975034497478,   42
AT1G51700,    AT2G31380,            0.97486165177,   43
AT1G33240,    ATMG00850,            -0.97474711403,   44
AT1G52880,    AT5G62380,            0.974509074108,   45
AT1G33240,    AT1G32780,            -0.974502682363,   46
