regulator,    target,    score,    rank
AT1G30210,    AT4G03270,            0.995398284837,   1
AT1G69010,    AT1G11330,            0.99399366615,   2
AT1G19850,    AT2G30630,            0.991190574635,   3
AT1G16490,    AT1G49230,            -0.990820279904,   4
AT1G16490,    AT4G33980,            -0.990623392561,   5
AT1G08320,    AT3G16680,            -0.989818437114,   6
AT2G32460,    AT1G02640,            0.989307722063,   7
AT1G51700,    AT1G13370,            0.988851302359,   8
AT1G02250,    AT2G14540,            -0.988734356315,   9
AT1G79180,    AT3G30270,            0.987815906147,   10
AT1G01060,    AT2G42760,            0.987665810152,   11
AT1G16490,    ATMG00320,            -0.987071829363,   12
AT1G25550,    AT3G08750,            0.986935824682,   13
AT1G30650,    AT1G43800,            -0.985986812132,   14
AT1G19000,    AT1G51115,            0.985598997116,   15
AT1G16490,    AT5G64850,            0.984922731992,   16
AT1G36060,    AT1G70930,            0.984490309064,   17
AT2G03340,    AT5G29584,            0.9842189465,   18
AT1G16490,    AT5G11260,            -0.984202453901,   19
AT1G19000,    AT3G08940,            0.983955458352,   20
AT1G34190,    AT5G15140,            0.983927823383,   21
AT2G28810,    AT2G27690,            -0.98374461359,   22
AT1G49480,    AT4G18890,            -0.983736587238,   23
AT1G01060,    AT1G49720,            -0.983089652003,   24
AT2G24430,    AT2G30240,            -0.982995467561,   25
AT1G01060,    AT3G26570,            0.982871774341,   26
AT1G01060,    AT1G70130,            0.982794995457,   27
AT1G06850,    AT4G15100,            -0.982107260849,   28
AT2G02070,    AT2G22320,            0.981959173412,   29
AT1G16490,    AT5G60100,            -0.981678556752,   30
AT1G79180,    AT5G49590,            -0.980888077711,   31
AT1G16490,    AT1G56300,            -0.980751590902,   32
AT1G71450,    AT5G05790,            -0.980587082508,   33
AT1G36060,    AT5G52640,            0.980534904532,   34
AT1G69180,    AT1G47400,            0.980420470356,   35
AT1G33240,    AT3G50170,            -0.980042272556,   36
AT1G36060,    AT2G46770,            0.9798971657,   37
AT1G72740,    AT1G69920,            -0.979877349877,   38
AT2G28810,    AT1G69610,            -0.979640152872,   39
AT1G72740,    AT3G54330,            0.979341597755,   40
AT1G51700,    AT2G31380,            0.979162702906,   41
AT1G79180,    AT5G52710,            0.979112422678,   42
AT1G33240,    AT1G69530,            -0.978833392697,   43
AT1G33240,    AT1G32780,            -0.978804077277,   44
AT1G52880,    AT5G62380,            0.978676918469,   45
AT1G30650,    AT5G49240,            0.978422329712,   46
AT1G51700,    AT3G21890,            0.978387865773,   47
AT1G01060,    AT5G24470,            -0.978380025297,   48
AT1G29280,    AT2G06630,            -0.978344995378,   49
AT1G51140,    AT1G39750,            -0.978242102771,   50
AT1G33240,    ATMG00850,            -0.978170225029,   51
AT2G18350,    AT1G68740,            -0.97815728117,   52
AT2G22540,    AT1G47660,            -0.977920017091,   53
AT1G79180,    AT3G13100,            0.977468838525,   54
AT1G28370,    AT2G46830,            0.976912834909,   55
AT2G15740,    AT4G28780,            0.976592096632,   56
AT1G12630,    AT2G13270,            -0.976436862312,   57
AT1G02250,    AT3G14950,            0.975825537269,   58
AT1G16490,    AT2G07693,            -0.975366340969,   59
AT2G18380,    AT1G16770,            -0.975189805097,   60
AT1G01060,    AT1G13930,            -0.975189364318,   61
AT1G32150,    AT3G16330,            -0.975163827316,   62
AT2G18550,    AT3G29150,            0.975144638345,   63
AT2G18350,    AT2G40470,            -0.974919104219,   64
AT1G19210,    AT2G47340,            0.97489952167,   65
AT1G51700,    AT5G48250,            -0.974866715334,   66
AT2G22540,    AT2G02540,            0.974549772912,   67
AT2G28810,    AT4G00416,            -0.974481820086,   68
