regulator,    target,    score,    rank
AT1G28370,    AT5G66210,            0.993740207531,   1
AT2G23320,    AT1G70090,            0.988624368036,   2
AT1G01060,    AT3G14310,            -0.988231340283,   3
AT1G01060,    AT3G50120,            -0.988051457538,   4
AT1G19210,    AT5G59550,            0.987436048116,   5
AT1G28370,    AT1G59910,            0.986890213504,   6
AT1G27730,    AT5G44380,            -0.986455021519,   7
AT1G19210,    AT3G46620,            0.985913042521,   8
AT1G12260,    AT5G52260,            0.985066689186,   9
AT2G20110,    AT1G49450,            0.984925633219,   10
AT1G32150,    AT1G14120,            -0.984831471643,   11
AT1G01060,    AT3G52180,            -0.984435882578,   12
AT1G19210,    AT3G44260,            0.984090235767,   13
AT1G55110,    AT2G36590,            0.983894921716,   14
AT1G19210,    AT4G11280,            0.983608315057,   15
AT1G63030,    AT3G26970,            0.983475528392,   16
AT2G23320,    AT2G25460,            0.983155125941,   17
AT1G01060,    AT4G26670,            -0.982947694654,   18
AT1G19210,    AT5G59820,            0.982779442128,   19
AT1G19210,    AT3G04640,            0.982638146922,   20
AT1G80840,    AT3G11820,            0.982597710109,   21
AT1G77920,    AT3G45040,            -0.98256031303,   22
AT2G02450,    AT2G07320,            -0.982504164558,   23
AT1G69780,    AT1G71970,            0.982037366594,   24
AT2G02450,    AT3G04210,            0.98187496808,   25
AT1G53170,    AT3G56880,            0.981772438345,   26
AT1G80840,    AT5G10695,            0.981553877925,   27
AT1G68320,    AT3G42950,            -0.981477688152,   28
AT1G53170,    AT4G25490,            0.981409817149,   29
AT1G72740,    AT1G60140,            -0.981268187148,   30
AT1G77920,    AT1G78280,            -0.981259526658,   31
AT1G53170,    AT1G66400,            0.981093005222,   32
AT1G19210,    AT3G55980,            0.980834557556,   33
AT1G30210,    AT4G17110,            0.980822516246,   34
AT1G01060,    AT1G31850,            -0.980603079293,   35
AT1G27730,    AT5G47070,            0.98045229921,   36
AT1G77920,    AT5G59730,            -0.98013518261,   37
AT1G28370,    AT2G35930,            0.980030221467,   38
AT1G53170,    AT2G41640,            0.979670558269,   39
AT1G28370,    AT5G10750,            0.978929764949,   40
AT1G78700,    AT1G49250,            0.978883877368,   41
AT1G32150,    AT3G46280,            -0.97888176718,   42
AT2G23340,    AT1G67750,            -0.978831210234,   43
AT1G19210,    AT2G46400,            0.978811562863,   44
AT1G30210,    AT5G64860,            0.97854592575,   45
AT1G51700,    AT1G19530,            -0.978295055311,   46
AT1G01060,    AT2G22450,            -0.978281188689,   47
AT1G19210,    AT4G29780,            0.977938722458,   48
AT1G19210,    AT3G10930,            0.977576152751,   49
