regulator,    target,    score,    rank
AT1G74480,    AT3G42080,            0.999733306044,   1
AT2G30250,    AT2G13730,            0.998890111595,   2
AT1G68200,    AT2G04380,            0.998071703939,   3
AT2G20110,    AT4G13560,            -0.996736661203,   4
AT2G06200,    AT2G23580,            0.99671870189,   5
AT1G53170,    AT1G62160,            -0.996645211735,   6
AT1G16490,    AT1G35490,            0.996538908225,   7
AT1G19210,    AT4G12400,            -0.996473129823,   8
AT2G20110,    AT5G59845,            -0.996468719251,   9
AT1G19000,    AT1G19150,            0.996464846822,   10
AT2G18380,    AT1G54240,            0.996347716017,   11
AT1G01060,    AT2G22400,            0.996211596951,   12
AT2G30250,    AT3G60290,            -0.996134114138,   13
AT2G31230,    AT2G25625,            -0.996051451021,   14
AT1G32870,    AT1G17170,            -0.996019920028,   15
AT1G29860,    AT3G16700,            0.996009895275,   16
AT1G27730,    AT3G09140,            -0.995988556548,   17
AT1G74840,    AT1G09140,            -0.995820735363,   18
AT1G47655,    AT5G52790,            -0.9958071418,   19
AT1G77920,    AT2G46070,            -0.99576954852,   20
AT1G75240,    AT1G21950,            0.995707668186,   21
AT1G13260,    AT1G27620,            -0.995636050646,   22
AT2G02450,    AT1G75990,            0.995518524668,   23
AT2G31230,    AT3G09590,            -0.995422021026,   24
AT2G23290,    AT1G33640,            0.995396601835,   25
AT1G69780,    AT2G07330,            0.995350780226,   26
AT1G36060,    AT1G55640,            -0.99530468226,   27
AT2G22540,    AT1G53325,            -0.995288069722,   28
AT1G51700,    AT5G50990,            0.995287630557,   29
AT1G20910,    AT3G60940,            -0.995274190014,   30
AT1G68670,    AT5G63340,            -0.995204779479,   31
AT1G77920,    AT1G71290,            0.995185795139,   32
AT1G49480,    AT4G39210,            0.995137481679,   33
AT1G76890,    AT2G22960,            -0.995118905968,   34
AT2G20110,    AT5G20390,            0.99502567772,   35
AT1G64620,    AT5G19875,            -0.994949198265,   36
AT1G77200,    AT4G16020,            -0.994946444444,   37
AT1G29160,    AT1G62210,            0.99494568563,   38
AT2G18550,    AT4G28085,            -0.994916436132,   39
AT1G68320,    AT2G36760,            0.994906394136,   40
AT1G68550,    AT5G10830,            -0.994892700282,   41
AT2G18380,    AT3G54240,            0.994862420694,   42
AT1G64620,    AT5G03740,            -0.994819418802,   43
AT2G18550,    AT4G00910,            -0.994649968401,   44
AT1G27730,    AT3G26932,            -0.994638153971,   45
AT1G09540,    AT1G52390,            0.994540271896,   46
AT1G01060,    AT2G27840,            0.994505415172,   47
AT1G64620,    AT1G05385,            -0.994427987045,   48
AT1G75240,    AT1G74480,            0.99429101602,   49
AT2G01940,    AT4G15860,            0.994260077994,   50
AT1G33240,    AT5G28610,            -0.994257539069,   51
AT1G49010,    AT3G14700,            0.994253352202,   52
AT2G20110,    AT3G12170,            0.994231481303,   53
AT1G08320,    AT5G03310,            0.994194893957,   54
AT2G22430,    AT5G36910,            0.994189456854,   55
AT2G23320,    AT5G17970,            0.994168362766,   56
AT1G77920,    AT2G03420,            0.994127230423,   57
AT2G30250,    AT3G16550,            -0.994048629831,   58
AT2G31230,    AT4G03580,            -0.994016899918,   59
AT1G47655,    AT5G45060,            -0.993993917438,   60
AT1G49480,    AT1G68760,            0.993914128984,   61
AT1G34670,    AT3G30750,            0.993866269235,   62
AT1G74480,    AT4G34400,            0.993819556355,   63
AT1G13260,    AT4G24350,            -0.993809864275,   64
AT1G79580,    AT2G14580,            0.993759625871,   65
AT1G20910,    AT3G16130,            -0.99374255988,   66
AT1G75240,    AT4G04300,            0.993721201821,   67
AT1G49480,    AT1G74490,            -0.993709212395,   68
AT2G18550,    AT3G16690,            -0.993700549575,   69
AT1G18330,    AT2G26150,            0.993639121295,   70
AT1G02250,    AT4G04100,            0.993625724365,   71
AT1G47655,    AT1G09200,            -0.993562182832,   72
AT1G29860,    AT5G44920,            0.993518077306,   73
AT2G01060,    AT1G04840,            0.993503385189,   74
AT1G64620,    AT4G10250,            -0.993440168861,   75
AT1G14687,    AT1G10585,            0.993387011846,   76
AT2G01940,    AT1G62760,            -0.993381832341,   77
AT1G49010,    AT5G14960,            0.993379111742,   78
AT1G16490,    AT2G31470,            0.993354760256,   79
AT2G20400,    AT4G18750,            -0.993343295521,   80
AT1G68320,    AT1G47980,            0.993327145948,   81
AT2G20110,    AT3G58650,            0.993270599917,   82
AT2G20110,    AT1G75980,            -0.993251847136,   83
AT1G64620,    AT3G56250,            -0.993245002412,   84
AT1G34180,    AT2G17160,            0.993225724113,   85
