regulator,    target,    score,    rank
AT1G74480,    AT3G42080,            0.965011160796,   1
AT1G77200,    AT4G16020,            -0.817802457692,   2
AT1G18330,    AT2G10010,            0.467385313945,   3
AT2G23290,    AT1G33640,            0.448053034339,   4
AT1G27730,    AT2G06310,            -0.321981391549,   5
AT1G12260,    AT2G06890,            0.315700111322,   6
AT1G49480,    AT3G15550,            0.297663913918,   7
AT2G18380,    AT1G54240,            0.295727070663,   8
AT1G30490,    AT3G42110,            0.29571220701,   9
AT2G28810,    AT5G53690,            0.268161501286,   10
AT1G20910,    AT2G04370,            -0.258576269392,   11
AT1G69780,    AT5G54220,            0.257501153492,   12
AT1G27730,    AT4G36510,            -0.252822657837,   13
AT1G53170,    AT3G28320,            0.250953153056,   14
AT1G69180,    AT5G07520,            0.242414049212,   15
AT1G76890,    AT4G04330,            -0.237902283551,   16
AT1G69780,    AT2G07330,            0.236757558973,   17
AT1G25340,    AT1G29510,            -0.236068488025,   18
AT1G69010,    AT4G03156,            0.235935067081,   19
AT1G76890,    AT4G08420,            -0.233108739328,   20
AT1G68670,    AT5G63340,            -0.229638366797,   21
AT1G76890,    AT2G22960,            -0.228541975133,   22
AT1G74480,    AT1G62860,            -0.217347493955,   23
AT1G20910,    AT1G57790,            0.216712390653,   24
AT2G18550,    AT2G10490,            0.214804129494,   25
AT1G74650,    AT3G43040,            0.209482079048,   26
AT2G30250,    AT2G13730,            0.209172753395,   27
AT1G20910,    AT5G45230,            -0.208322935735,   28
AT1G27730,    AT3G26932,            -0.204303944968,   29
AT2G32460,    AT1G43970,            0.194029205231,   30
AT1G20910,    AT3G16130,            -0.189721254125,   31
AT1G68670,    AT2G24210,            -0.185941050992,   32
AT1G75240,    AT2G11110,            0.184527842654,   33
AT1G14687,    AT1G68600,            0.183209278495,   34
AT1G74480,    AT3G32910,            0.182872147672,   35
AT1G59640,    AT4G27550,            0.178153384372,   36
AT1G49480,    AT2G21100,            0.177738495513,   37
AT2G01940,    AT5G33250,            -0.176291463413,   38
AT1G59640,    AT1G08650,            -0.174831842847,   39
AT1G53170,    AT1G62160,            -0.173040304972,   40
AT1G65910,    AT3G04900,            0.170873372288,   41
AT2G28810,    AT3G08660,            0.170595330262,   42
AT1G19000,    AT3G47480,            -0.169484726543,   43
AT2G06200,    AT2G23580,            0.16838844401,   44
AT1G14687,    AT3G28520,            0.1647682925,   45
AT1G59640,    AT5G61710,            0.162928785349,   46
AT2G18550,    AT4G00910,            -0.161235815392,   47
AT1G76890,    AT4G39010,            -0.158527311493,   48
AT1G76890,    AT1G63060,            -0.157025145663,   49
AT1G27730,    AT5G52890,            0.156230203641,   50
AT1G14687,    AT3G29791,            -0.156222286679,   51
AT1G76890,    AT4G10490,            -0.154975742637,   52
AT1G69180,    AT5G38180,            0.154261918373,   53
AT2G01060,    AT3G52110,            0.152800079045,   54
AT1G72740,    AT1G42410,            -0.151177968497,   55
AT1G68320,    AT2G36760,            0.150971790578,   56
AT1G76890,    AT4G29250,            -0.15043794555,   57
AT1G49480,    AT3G06680,            0.14933250754,   58
AT2G23290,    AT1G11590,            0.148171949404,   59
AT1G79580,    AT3G42440,            -0.146617469402,   60
AT1G76890,    AT4G18290,            -0.143899510992,   61
AT1G68670,    AT2G46860,            -0.143744266349,   62
AT1G43160,    AT1G21230,            -0.142649579692,   63
AT2G28810,    AT4G28850,            -0.141499279969,   64
AT2G28810,    AT4G35725,            0.140838028913,   65
AT1G20910,    AT3G57130,            -0.140643956399,   66
AT2G23320,    AT3G18460,            0.140529428804,   67
AT1G76890,    AT1G07490,            0.140096028597,   68
AT2G22540,    AT1G53325,            -0.139855623168,   69
AT1G19850,    AT4G01030,            0.139699133606,   70
AT1G68670,    AT3G62480,            -0.139687502348,   71
AT1G59640,    AT3G19480,            0.138714314845,   72
AT1G59640,    AT1G50800,            0.137877244971,   73
AT2G28810,    AT1G19780,            -0.137843648905,   74
AT1G30490,    AT3G23410,            -0.137562725621,   75
AT1G74650,    AT2G10620,            -0.13737733144,   76
AT1G28470,    AT3G08750,            0.137265305428,   77
AT1G68670,    AT5G04010,            0.137238311131,   78
AT2G28810,    AT1G68270,            0.136091947415,   79
AT2G22540,    AT5G60240,            -0.133720194546,   80
AT1G06850,    AT3G63460,            0.131634403069,   81
AT1G76890,    AT5G62920,            0.130606742021,   82
AT1G01720,    AT2G24410,            0.130357650687,   83
AT1G20910,    AT3G60940,            -0.129827511229,   84
AT1G69180,    AT1G63590,            0.129402800926,   85
AT2G02080,    AT2G42180,            -0.128710517144,   86
AT1G13260,    AT4G24350,            -0.128486676616,   87
AT1G19000,    AT1G19150,            0.128328165676,   88
AT1G30490,    AT3G62180,            -0.127632983448,   89
AT1G68320,    AT2G29150,            0.127413023908,   90
AT1G69780,    AT1G33460,            0.125944706215,   91
AT1G59640,    AT5G37960,            0.125457728189,   92
AT1G01060,    AT2G22400,            0.125008516407,   93
AT1G34180,    AT2G17160,            0.12500355452,   94
AT1G19850,    AT4G25590,            -0.124615901901,   95
AT1G34180,    AT3G53960,            0.124512730431,   96
AT1G59640,    AT3G23650,            -0.124211540345,   97
AT2G18380,    AT1G29960,            -0.124006189937,   98
AT1G69010,    AT5G53810,            0.122812226688,   99
AT1G68320,    AT1G20190,            0.122187660434,   100
AT1G76890,    AT5G11070,            0.121257321103,   101
AT1G59640,    AT1G23320,            0.120978067037,   102
