regulator,    target,    score,    rank
AT1G77200,    AT4G03760,            0.98961888793,   1
AT1G33240,    AT4G10880,            0.985966304118,   2
AT1G14687,    AT2G29490,            -0.985946973141,   3
AT2G27300,    AT5G49150,            0.985459059202,   4
AT1G14687,    AT2G43660,            0.985338563472,   5
AT1G74480,    AT1G79860,            -0.985311926085,   6
AT1G29280,    AT5G43270,            -0.985177428537,   7
AT1G16490,    AT1G72240,            0.98483922057,   8
AT2G20110,    AT4G03330,            0.984394881904,   9
AT1G08320,    AT1G02190,            0.98408581629,   10
AT1G29280,    AT1G50060,            0.984029348145,   11
AT1G03840,    AT5G57560,            -0.983463843745,   12
AT2G01930,    AT1G79060,            0.983436552844,   13
AT1G09540,    AT1G24280,            0.983297219202,   14
AT1G53910,    AT1G80330,            -0.983292606848,   15
AT1G68670,    AT3G54310,            0.983030807342,   16
AT1G75390,    AT3G46030,            -0.983030377682,   17
AT1G01060,    AT2G40310,            0.983028253332,   18
AT2G18550,    AT2G22440,            0.982947148931,   19
AT2G02070,    AT1G35150,            0.982904510731,   20
AT2G02080,    AT5G38040,            0.982851980338,   21
AT1G79580,    AT3G63380,            -0.982812574194,   22
AT1G18330,    AT3G22260,            -0.98278715229,   23
AT2G22540,    AT5G04210,            0.982774829311,   24
AT1G19850,    AT3G24100,            -0.982700908337,   25
AT1G49560,    AT4G03660,            -0.982682448271,   26
AT1G49010,    AT2G33740,            -0.982587441322,   27
AT2G20400,    AT3G29020,            0.982575589826,   28
AT2G18550,    AT5G28510,            -0.982551409354,   29
AT1G74650,    AT2G15960,            -0.982508094958,   30
AT1G69010,    AT2G12880,            0.982486581911,   31
AT1G74480,    AT2G36710,            -0.982465316791,   32
AT1G49010,    AT5G54970,            0.982451580481,   33
AT1G30490,    AT1G71450,            -0.982340708134,   34
AT2G23320,    AT1G24240,            0.982107728264,   35
AT1G34190,    AT2G04040,            -0.982100268422,   36
AT1G29160,    AT1G74320,            -0.981952927403,   37
AT1G16490,    AT1G36130,            0.98183621987,   38
AT1G49010,    AT2G39450,            0.981832986814,   39
AT1G19000,    AT3G22570,            -0.981823914149,   40
AT1G16490,    AT5G23320,            -0.981821974895,   41
AT2G30250,    AT1G69380,            -0.981815440926,   42
AT1G16490,    AT4G40040,            -0.981813992845,   43
AT1G30650,    AT1G14100,            -0.981738832501,   44
AT2G27300,    AT4G07730,            -0.981709333824,   45
AT2G23320,    AT4G26860,            0.981678748741,   46
AT2G20400,    AT3G52770,            0.981658976233,   47
AT2G18550,    AT2G26620,            -0.98163166092,   48
AT1G36060,    AT3G15280,            0.981628586112,   49
AT1G69010,    AT3G24560,            0.981620904837,   50
AT2G20110,    AT4G23190,            0.981590733729,   51
AT1G01060,    AT2G09960,            -0.981590670913,   52
AT1G51700,    AT2G32190,            -0.981558586584,   53
AT2G22540,    AT5G07380,            0.981531307169,   54
AT1G71450,    AT1G70450,            0.981479701881,   55
AT1G12260,    AT1G22420,            0.981433862912,   56
AT1G34180,    AT1G16150,            -0.981428965495,   57
AT1G65910,    AT5G10695,            -0.981375716238,   58
AT1G29280,    AT1G26380,            0.981364599678,   59
AT2G02820,    AT4G17200,            0.981360593255,   60
AT2G24430,    AT5G66300,            0.981351341016,   61
AT1G80840,    AT1G71290,            -0.981330455958,   62
AT1G51140,    AT5G52640,            -0.981321970041,   63
AT1G32150,    AT3G63350,            -0.981282111438,   64
AT1G29160,    AT2G25500,            0.981280723636,   65
