regulator,    target,    score,    rank
AT1G27730,    AT3G22670,            -0.659601915291,   1
AT1G28470,    AT2G07738,            -0.609399705739,   2
AT2G30340,    AT4G05600,            -0.566863938249,   3
AT1G27730,    AT4G16020,            0.508119778856,   4
AT1G18330,    AT1G64410,            0.48798282844,   5
AT1G77200,    AT4G03760,            0.393926378426,   6
AT1G34180,    AT1G19040,            0.359870435987,   7
AT1G16490,    AT4G40040,            -0.33376322237,   8
AT1G30490,    AT2G10465,            -0.291397485603,   9
AT1G12630,    AT2G18610,            -0.268337126697,   10
AT1G16490,    AT1G36130,            0.242727627249,   11
AT1G77200,    AT3G45270,            -0.238011524853,   12
AT1G14687,    AT1G48180,            -0.235713035589,   13
AT2G31230,    AT2G12520,            -0.232663361284,   14
AT2G20110,    AT2G13920,            0.22661676851,   15
AT1G06850,    AT5G66780,            0.225037561131,   16
AT1G16490,    AT1G72240,            0.222392093752,   17
AT2G20400,    AT5G54700,            -0.220430163943,   18
AT1G28470,    AT4G28390,            -0.218188913814,   19
AT2G23290,    AT3G49530,            0.217147945634,   20
AT1G08320,    AT1G02190,            0.20789696363,   21
AT1G62300,    AT5G60290,            -0.206043216071,   22
AT1G14687,    AT2G29490,            -0.205694723917,   23
AT1G69570,    AT4G07540,            0.204013730314,   24
AT1G22070,    AT1G17170,            -0.200545200844,   25
AT1G59640,    AT1G08990,            0.199278651528,   26
AT2G18550,    AT2G22440,            0.195109220079,   27
AT2G23290,    AT3G24310,            -0.193341924684,   28
AT1G16490,    AT3G29791,            -0.189466688873,   29
AT2G23290,    AT4G09880,            0.189324877932,   30
AT1G68320,    AT5G10220,            0.188915960396,   31
AT1G19000,    AT1G73780,            0.187897691711,   32
AT1G34180,    AT3G07710,            0.184972513871,   33
AT2G04038,    AT3G57970,            -0.183908905434,   34
AT1G69180,    AT4G09930,            0.182546251793,   35
AT2G02070,    AT5G09500,            -0.181785876493,   36
AT1G03840,    AT5G57560,            -0.180994917505,   37
AT2G23290,    AT2G48130,            0.18080038166,   38
AT1G25340,    AT5G42450,            0.178557238311,   39
AT1G16490,    AT3G12720,            0.174134385419,   40
AT1G72740,    AT2G10630,            -0.173566380334,   41
AT2G23290,    AT1G47540,            -0.168734048855,   42
AT1G03840,    AT5G07480,            -0.16753602436,   43
AT2G23290,    AT2G31770,            0.167094288169,   44
AT1G69570,    AT2G14270,            -0.166523361795,   45
AT1G33240,    AT3G30585,            0.163642298519,   46
AT2G01930,    AT1G79060,            0.161664708195,   47
AT1G14687,    AT2G43660,            0.161109962444,   48
AT1G16490,    AT2G06020,            0.159250513845,   49
AT1G30650,    AT1G15830,            0.157619420277,   50
AT1G53170,    AT3G01220,            -0.155600927922,   51
AT2G20110,    AT4G05280,            0.15351072809,   52
AT2G20400,    AT5G44610,            -0.153410402711,   53
AT1G53170,    AT4G14640,            0.151670367235,   54
AT1G25340,    AT3G53790,            -0.148942141186,   55
AT1G51140,    AT1G12770,            0.148293338956,   56
AT2G01930,    AT5G17300,            -0.147828737121,   57
AT1G34370,    AT1G13040,            0.147820862515,   58
AT2G23290,    AT5G13080,            0.147168370597,   59
AT2G01930,    AT4G28280,            0.146787908782,   60
AT1G54330,    AT2G26490,            -0.146683229003,   61
AT1G29280,    AT5G43270,            -0.145441462943,   62
AT2G23290,    AT5G42330,            -0.144923821874,   63
AT2G20110,    AT4G23190,            0.144822176061,   64
AT2G01930,    AT4G19520,            0.144598095241,   65
AT2G20400,    AT3G29020,            0.143425364403,   66
AT1G49010,    AT3G22940,            -0.141241016646,   67
AT1G69570,    AT5G27440,            0.140863408245,   68
AT2G24430,    AT2G28755,            0.139487450085,   69
AT2G23290,    AT5G39160,            -0.13940998939,   70
AT1G68320,    AT1G27220,            0.138599628496,   71
AT1G69180,    AT2G29150,            0.13729788424,   72
AT1G34190,    AT1G03870,            0.13707495691,   73
AT1G25340,    AT2G15020,            0.134920208564,   74
AT1G68320,    AT2G31085,            0.134713649555,   75
AT1G77920,    AT2G47950,            -0.133624567299,   76
AT2G23290,    AT4G15400,            -0.133212478813,   77
AT2G20400,    AT2G31955,            -0.133181879634,   78
AT2G23290,    AT4G09860,            0.133147615422,   79
AT1G16490,    AT5G66230,            -0.132522890685,   80
AT1G16490,    AT3G47440,            -0.13157489983,   81
AT1G69010,    AT3G12160,            -0.131278177094,   82
AT1G76890,    AT5G46320,            -0.130735678459,   83
AT1G12630,    AT5G27180,            -0.130628268626,   84
AT2G23290,    AT1G08670,            0.130534534969,   85
AT1G69180,    AT5G66020,            0.130474293822,   86
AT2G27300,    AT1G12490,            0.130024817314,   87
AT1G16490,    AT5G53320,            0.129096795858,   88
