regulator,    target,    score,    rank
AT1G43160,    AT2G48130,            0.976494403481,   1
AT1G25340,    AT5G03210,            0.974306118741,   2
AT1G69780,    AT5G23820,            0.973956578842,   3
AT1G78700,    AT1G23750,            -0.973170648882,   4
AT1G27730,    AT4G32910,            0.97305016835,   5
AT1G71450,    AT5G48590,            0.972709200482,   6
AT1G43700,    AT5G55600,            0.972066895019,   7
AT1G68670,    AT1G04340,            -0.971884039759,   8
AT1G43700,    AT1G64230,            0.97184856864,   9
AT2G23320,    AT1G03106,            0.971785145861,   10
AT1G27730,    AT3G61210,            0.971574178841,   11
AT2G27300,    AT3G03470,            0.97135804857,   12
AT2G06200,    AT3G48870,            0.971335088198,   13
AT1G19850,    AT1G27400,            0.970950542948,   14
AT1G13260,    AT3G23280,            0.970791989861,   15
AT2G03340,    AT1G07040,            0.970602819487,   16
AT1G68670,    AT3G62400,            -0.970541185366,   17
AT1G80840,    AT1G45976,            0.970488174221,   18
AT2G06200,    AT1G07610,            0.970316831069,   19
AT2G06200,    AT4G15790,            0.970219829227,   20
AT1G77200,    AT3G15290,            -0.969985275339,   21
AT1G47655,    AT1G67365,            0.969903445844,   22
AT2G28810,    AT3G60590,            0.969816044869,   23
AT1G29280,    AT1G43890,            -0.969715148913,   24
AT2G28810,    AT5G58030,            -0.969693974767,   25
AT1G43700,    AT1G27650,            0.969612716009,   26
AT2G06200,    AT3G25520,            0.969594046773,   27
AT2G23320,    AT3G01970,            0.969593075215,   28
AT1G72740,    AT4G12340,            0.969354030587,   29
AT1G80840,    AT3G45640,            0.969348030178,   30
AT1G27730,    AT5G64270,            0.969155788639,   31
AT2G06200,    AT2G28000,            0.9690389778,   32
AT1G29160,    AT2G14260,            -0.96865089277,   33
AT1G68670,    AT5G17170,            -0.968570815572,   34
AT1G19850,    AT5G41070,            0.968487490258,   35
AT1G69780,    AT1G16920,            0.968375598199,   36
AT1G19850,    AT3G26932,            0.968366639607,   37
AT1G68670,    AT4G14455,            -0.968170144363,   38
AT1G80840,    AT2G30260,            0.968045753685,   39
AT1G47655,    AT5G67590,            -0.96798001061,   40
AT2G06200,    AT5G66470,            0.967967199108,   41
AT1G43700,    AT1G07310,            0.967941766672,   42
AT1G78700,    AT1G08460,            0.967896207731,   43
AT1G47655,    AT3G25530,            -0.967894039731,   44
