regulator,    target,    score,    rank
AT1G27730,    AT4G32910,            0.992935793701,   1
AT1G27730,    AT3G61210,            0.991389298589,   2
AT1G69780,    AT5G23820,            0.990684147905,   3
AT1G72740,    AT4G12340,            0.990587049697,   4
AT1G43700,    AT1G64230,            0.990554851343,   5
AT2G23320,    AT1G03106,            0.990528836243,   6
AT1G78700,    AT1G23750,            -0.990431480416,   7
AT1G68670,    AT3G62400,            -0.990306584643,   8
AT1G43700,    AT5G55600,            0.990137486514,   9
AT1G77200,    AT3G15290,            -0.990034226292,   10
AT1G68670,    AT1G04340,            -0.990004649005,   11
AT1G43160,    AT2G48130,            0.989440833541,   12
AT1G80840,    AT1G45976,            0.989287437705,   13
AT2G06200,    AT1G07610,            0.989073376093,   14
AT2G28810,    AT5G58030,            -0.989010435553,   15
AT1G71450,    AT5G48590,            0.988932379213,   16
AT2G06200,    AT4G15790,            0.988560493089,   17
AT2G27300,    AT3G03470,            0.988377315992,   18
AT2G03340,    AT1G07040,            0.988246463266,   19
AT2G28810,    AT3G60590,            0.988215045351,   20
AT1G80840,    AT2G30260,            0.988188810652,   21
AT1G68670,    AT5G17170,            -0.988143840864,   22
AT2G06200,    AT3G48870,            0.988075125862,   23
AT1G47655,    AT1G67365,            0.987992521852,   24
AT1G47655,    AT3G25530,            -0.987947485904,   25
AT2G23320,    AT3G01970,            0.987682594226,   26
AT1G43700,    AT1G27650,            0.98758827011,   27
AT2G06200,    AT5G55125,            0.987460068276,   28
AT1G69780,    AT5G13450,            0.987314748785,   29
AT1G47655,    AT5G67590,            -0.987303579408,   30
AT1G19850,    AT1G27400,            0.987211475916,   31
AT1G80840,    AT3G45640,            0.987173110379,   32
AT1G13260,    AT3G23280,            0.987146068003,   33
AT1G27730,    AT5G64270,            0.987062026505,   34
AT1G47655,    AT4G34090,            -0.986983564429,   35
AT1G43700,    AT1G07310,            0.986973213021,   36
AT1G78700,    AT1G08460,            0.986774221645,   37
AT2G06200,    AT2G28000,            0.986714330822,   38
AT1G80840,    AT1G09230,            0.986678730809,   39
AT2G20400,    AT3G05250,            0.986580647102,   40
AT1G43700,    AT5G61230,            0.986464639038,   41
AT1G78700,    AT2G23110,            0.986406512268,   42
AT1G74650,    AT5G57940,            0.986370861992,   43
AT1G29160,    AT2G14260,            -0.986356445179,   44
AT1G68670,    AT4G21470,            -0.986354274846,   45
AT1G25340,    AT5G03210,            0.98631289161,   46
AT1G19850,    AT1G53800,            0.986296258155,   47
AT1G19850,    AT3G26932,            0.986264952559,   48
AT1G78700,    AT3G20550,            0.986256076609,   49
AT1G34370,    AT5G12120,            0.986237201136,   50
AT2G27300,    AT3G24927,            0.986226699134,   51
AT1G69780,    AT3G25540,            0.98613289482,   52
AT2G06200,    AT5G20080,            0.986048720076,   53
AT1G50640,    AT2G18400,            -0.986000113,   54
AT2G06200,    AT5G66470,            0.98594643633,   55
AT1G69780,    AT2G01260,            0.985841763445,   56
AT1G47655,    AT2G35370,            -0.985821070161,   57
AT1G69780,    AT1G51070,            0.985730794221,   58
AT1G68670,    AT3G02340,            0.985697511069,   59
AT2G02080,    AT5G58200,            0.985671666039,   60
AT1G43700,    AT1G01160,            0.985639105419,   61
AT1G69780,    AT1G76560,            -0.985631467552,   62
AT1G74650,    AT3G06480,            0.985526371772,   63
AT2G28810,    AT2G36290,            -0.985485482232,   64
AT1G29280,    AT1G43890,            -0.985357409506,   65
AT2G20400,    AT2G23980,            0.985286355698,   66
AT1G69780,    AT1G16920,            0.985255190557,   67
AT1G68670,    AT2G35300,            0.985242785083,   68
AT2G28810,    AT4G16420,            0.98513055187,   69
AT1G53910,    AT4G33350,            -0.985065594247,   70
AT1G47655,    AT3G11500,            -0.985053595862,   71
AT2G06200,    AT3G13180,            0.985036107554,   72
AT1G68670,    AT2G43560,            -0.985021908092,   73
AT1G68670,    AT3G26780,            -0.98501197197,   74
AT1G78700,    AT1G13990,            0.984935511914,   75
AT1G34370,    AT1G05430,            -0.984872406451,   76
AT2G30250,    AT4G34460,            0.984862242055,   77
AT2G27300,    AT1G13190,            0.984858339448,   78
AT1G68670,    AT4G14455,            -0.984846087648,   79
AT1G69780,    AT4G34620,            0.984777225745,   80
AT1G47655,    AT3G50780,            -0.984736700792,   81
AT1G69780,    AT5G11490,            -0.984654871663,   82
AT2G06200,    AT3G55630,            0.984609373344,   83
AT2G06200,    AT2G30970,            0.984590658223,   84
AT1G69780,    AT1G23720,            0.984552329241,   85
AT1G74650,    AT3G27200,            -0.984519584205,   86
AT2G06200,    AT1G02730,            0.98450820068,   87
AT1G72740,    AT3G02420,            0.984506074929,   88
AT2G01940,    AT3G47680,            0.984458974043,   89
AT2G02080,    AT5G25510,            -0.98444767486,   90
AT1G68670,    AT2G02500,            -0.984384916488,   91
AT2G20400,    AT3G22950,            -0.984365637977,   92
AT1G19850,    AT5G41070,            0.984358745833,   93
AT1G69780,    AT5G50420,            0.984338349301,   94
AT2G28810,    AT5G13370,            0.984296395269,   95
AT2G22540,    AT5G64400,            -0.984275387499,   96
AT2G01060,    AT2G19270,            0.984264050564,   97
AT1G27730,    AT3G10190,            0.984166155415,   98
AT2G23320,    AT2G20920,            0.984121627182,   99
AT1G69780,    AT1G10850,            0.984017966195,   100
AT2G01940,    AT2G25610,            -0.984005764799,   101
AT1G47655,    AT1G67785,            -0.98396164581,   102
AT1G68670,    AT1G30890,            -0.983948897136,   103
AT2G30250,    AT3G26170,            0.983885519804,   104
AT1G31140,    AT1G18660,            0.983873285064,   105
AT1G47655,    AT2G47960,            0.983850597318,   106
AT1G68670,    AT5G50770,            0.98384269875,   107
AT1G49560,    AT5G45360,            -0.983810976065,   108
AT1G74650,    AT5G24030,            0.983806375341,   109
AT2G06200,    AT3G25520,            0.983787039285,   110
AT1G13450,    AT1G64370,            0.983773013665,   111
AT1G27730,    AT4G27990,            0.983759488116,   112
AT1G69780,    AT3G20670,            0.983754825463,   113
AT1G78700,    AT1G04985,            0.983751237511,   114
AT2G28810,    AT1G76860,            0.983665241595,   115
AT2G30250,    AT3G26220,            0.983643387001,   116
AT2G20400,    AT1G11480,            0.983607996606,   117
AT1G47655,    AT2G05990,            -0.983580234671,   118
AT1G68670,    AT2G37550,            -0.983522116739,   119
AT1G47655,    AT2G26210,            0.983518758622,   120
AT1G68670,    AT2G02390,            0.983463504849,   121
AT1G69780,    AT5G27450,            0.983462264421,   122
AT1G43700,    AT5G65950,            0.983389253851,   123
AT1G80840,    AT4G24520,            0.983366671331,   124
AT1G78700,    AT5G16505,            0.98336577337,   125
AT1G25550,    AT2G37270,            -0.983350435182,   126
AT1G32870,    AT1G60990,            0.983348751348,   127
AT1G47655,    AT3G11450,            0.983252080945,   128
AT2G23320,    AT4G18880,            0.983251248061,   129
AT1G78700,    AT2G45960,            -0.983214521362,   130
AT1G71450,    AT5G47780,            0.983194337317,   131
AT1G69780,    AT1G22840,            0.983146677983,   132
AT1G68670,    AT5G54310,            0.983080184388,   133
AT1G69780,    AT1G06360,            0.983039166571,   134
AT1G27730,    AT4G38440,            0.983032896001,   135
AT1G80840,    AT2G43080,            0.983026633941,   136
AT2G28810,    AT1G12790,            0.982972816493,   137
AT1G47655,    AT5G40610,            -0.982962084516,   138
AT1G43700,    AT4G35920,            -0.982943337087,   139
AT1G78700,    AT1G71080,            0.982877424521,   140
AT1G08010,    AT3G54920,            0.982875547438,   141
AT1G19850,    AT2G44280,            0.982666472239,   142
AT1G55110,    AT1G45050,            0.982639526954,   143
AT1G49560,    AT2G15280,            0.982629382737,   144
AT1G31140,    AT1G30580,            0.982554664949,   145
AT2G20400,    AT1G16470,            -0.982526698499,   146
AT1G69780,    AT2G27360,            0.982515000271,   147
AT1G19000,    AT4G02390,            0.982509737915,   148
AT1G69780,    AT5G65020,            0.982474420659,   149
AT1G69780,    AT5G10940,            -0.982434698483,   150
AT1G77200,    AT1G70330,            0.982403646296,   151
AT1G78700,    AT3G61900,            0.982396562865,   152
AT1G68670,    AT2G46260,            0.982343151789,   153
AT2G02080,    AT3G13520,            -0.982343030665,   154
AT1G49010,    AT1G78380,            0.982323100507,   155
AT1G32870,    AT2G20230,            -0.982228665338,   156
AT1G79580,    AT4G23430,            0.982110323493,   157
AT1G47655,    AT1G05150,            -0.982085547742,   158
AT2G20400,    AT4G15540,            0.982083157361,   159
AT1G62300,    AT5G12480,            0.981979067136,   160
AT2G06200,    AT4G24830,            0.98197292303,   161
AT1G69780,    AT1G28960,            -0.981970118952,   162
AT2G28810,    AT4G31290,            0.981954314028,   163
AT1G47655,    AT4G09010,            -0.98186255715,   164
AT2G06200,    AT1G73530,            0.981856820514,   165
AT2G28810,    AT5G60400,            -0.981820426126,   166
AT2G27300,    AT5G35735,            0.981804890811,   167
AT2G28810,    AT5G24760,            -0.981789691176,   168
AT1G68670,    AT5G50230,            0.981774380508,   169
AT2G30250,    AT5G07100,            0.981772512307,   170
AT1G27730,    AT1G03580,            0.981765476909,   171
AT2G06200,    AT4G33865,            0.981753334512,   172
AT1G25550,    AT5G26800,            -0.981730134538,   173
AT1G27730,    AT2G37630,            -0.981648205748,   174
AT1G68670,    AT1G32500,            -0.981640256285,   175
AT1G68670,    AT5G63980,            -0.981632824206,   176
AT1G69780,    AT3G43610,            0.981624842821,   177
AT2G28810,    AT4G25500,            0.981603791552,   178
AT1G49010,    AT5G41210,            0.98160351628,   179
AT2G28810,    AT1G10210,            0.981602997062,   180
AT2G30250,    AT1G65845,            0.981582882482,   181
AT1G69780,    AT4G09620,            0.981575579289,   182
AT1G19850,    AT2G44640,            0.981568889974,   183
AT1G47655,    AT1G47740,            -0.981567005589,   184
AT2G20400,    AT4G14430,            0.981519254271,   185
AT1G53910,    AT4G19100,            -0.981469402988,   186
AT2G28810,    AT3G03490,            0.981442046402,   187
AT1G80840,    AT1G16700,            -0.981425728256,   188
AT2G20400,    AT4G30450,            -0.981422082129,   189
AT2G01940,    AT1G68945,            0.981413244568,   190
AT1G69780,    AT3G59870,            0.981405859539,   191
AT2G01060,    AT5G15490,            -0.981398603791,   192
AT2G03340,    AT4G29810,            -0.981392299235,   193
AT2G01060,    AT2G34750,            0.981384325878,   194
