regulator,    target,    score,    rank
AT1G25340,    AT5G03210,            0.521229061489,   1
AT1G01720,    AT1G20225,            0.507469930389,   2
AT1G14687,    AT2G44860,            0.492921172217,   3
AT1G25340,    AT4G30850,            0.490426198167,   4
AT1G25340,    AT1G05450,            0.455098057283,   5
AT1G25340,    AT1G17550,            0.422909776323,   6
AT1G32150,    AT1G73480,            0.412781692823,   7
AT2G02820,    AT4G35450,            -0.403219557473,   8
AT1G14687,    AT4G39361,            0.400837672727,   9
AT2G02070,    AT5G15780,            0.395155307416,   10
AT1G25340,    AT5G45810,            0.39059876848,   11
AT1G33240,    AT5G39760,            0.37678402387,   12
AT1G33240,    AT3G18060,            -0.367741810722,   13
AT1G43160,    AT2G48130,            0.364760055274,   14
AT2G04038,    AT3G11800,            -0.362973984992,   15
AT1G03800,    AT5G63500,            0.35792659441,   16
AT1G25340,    AT4G33470,            0.351802091093,   17
AT1G69010,    AT5G51890,            0.34437542619,   18
AT1G25340,    AT3G27785,            0.335524635882,   19
AT1G75080,    AT1G35612,            -0.331134255741,   20
AT1G25340,    AT2G39110,            0.330365293182,   21
AT1G25340,    AT4G21080,            0.321158747292,   22
AT1G33240,    AT2G39700,            0.316998941115,   23
AT1G12260,    AT1G10550,            -0.314930267765,   24
AT1G33240,    AT3G29240,            -0.305218653417,   25
AT1G19210,    AT2G32300,            0.304590763749,   26
AT1G13260,    AT5G11260,            -0.303861690188,   27
AT1G51220,    AT5G25265,            0.299923251078,   28
AT1G13260,    AT5G03630,            -0.298758320214,   29
AT1G03800,    AT5G24570,            -0.294322995537,   30
AT1G25340,    AT5G47530,            0.291401563437,   31
AT1G25340,    AT3G55090,            0.288107024106,   32
AT1G25340,    AT1G04220,            0.278642874258,   33
AT1G25340,    AT3G22600,            0.277933230632,   34
AT1G25340,    AT5G27150,            0.276425375043,   35
AT1G14687,    AT2G17450,            -0.274394450751,   36
AT1G43160,    AT5G50360,            0.271965998996,   37
AT1G19210,    AT1G30750,            0.271746268631,   38
AT1G12260,    AT1G20850,            0.268005229451,   39
AT1G33240,    AT3G06510,            -0.267086527686,   40
AT2G04038,    AT5G45940,            -0.266129031278,   41
AT1G13260,    AT5G63160,            0.264370303824,   42
AT1G33240,    AT2G37110,            -0.26179415458,   43
AT1G69010,    AT3G17090,            0.259215218747,   44
AT1G30650,    AT1G28950,            0.257105289538,   45
AT1G25340,    AT3G50400,            0.250977302095,   46
AT1G28470,    AT4G13940,            0.249417596054,   47
AT1G25340,    AT2G16630,            0.245344354761,   48
AT1G74650,    AT1G29350,            0.245285040704,   49
AT1G32150,    AT5G67360,            0.245142228812,   50
AT1G69010,    AT3G62020,            0.245042365751,   51
AT1G25340,    AT1G68850,            0.244813386647,   52
AT1G09540,    AT3G23820,            0.244741958069,   53
AT1G33240,    AT4G15160,            0.24432442102,   54
AT1G08320,    AT1G33590,            -0.244203725943,   55
AT1G25340,    AT1G52855,            0.243573352205,   56
AT1G25340,    AT5G57610,            0.242176951109,   57
AT1G43160,    AT2G40370,            0.24212291369,   58
AT1G08320,    AT5G63090,            0.241259456921,   59
AT2G26960,    AT1G66580,            -0.240552019219,   60
AT2G23320,    AT5G05710,            0.240287608868,   61
AT1G25340,    AT5G55180,            0.239869373858,   62
AT1G33240,    AT3G62190,            -0.239228411269,   63
AT1G25340,    AT5G23190,            0.238251078873,   64
AT2G18380,    AT3G23030,            -0.238001495465,   65
AT1G03800,    AT3G61580,            0.237263403441,   66
AT1G25340,    AT4G30470,            0.236992974118,   67
AT1G14687,    AT3G59060,            0.236547729616,   68
AT1G08320,    AT5G15410,            0.23565522988,   69
AT2G02070,    AT1G43670,            0.234675947927,   70
AT1G45249,    AT4G02290,            0.234169312371,   71
AT1G02230,    AT1G74458,            -0.232765926892,   72
AT1G75080,    AT4G32280,            -0.232653307431,   73
AT2G20110,    AT2G25080,            -0.232635547011,   74
AT1G14687,    AT4G00250,            0.232554431559,   75
AT1G13260,    AT2G26230,            0.230956359931,   76
AT1G75240,    AT4G03020,            -0.228490607104,   77
AT1G14687,    AT5G47550,            -0.227361237562,   78
AT1G74840,    AT3G61440,            0.226798936232,   79
AT1G13260,    AT1G01320,            -0.225789281707,   80
AT1G79180,    AT3G44735,            -0.225242009186,   81
AT1G14687,    AT2G40110,            -0.224949757513,   82
AT1G77920,    AT2G47485,            0.224880015159,   83
AT1G74840,    AT1G60010,            0.224674257977,   84
AT1G69010,    AT3G21550,            0.224613295853,   85
AT1G65910,    AT5G63600,            -0.224168915766,   86
AT1G14687,    AT5G44410,            -0.221153547487,   87
AT1G75080,    AT4G28270,            -0.219744528896,   88
AT1G19210,    AT5G05410,            0.219736236816,   89
AT2G01930,    ATCG00690,            0.219013085791,   90
AT1G71450,    AT3G07430,            0.218377012662,   91
AT1G33240,    AT1G66410,            -0.217333472743,   92
