regulator,    target,    score,    rank
AT1G06280,    AT1G25340,            0.973016069894,   1
AT1G06850,    AT5G18400,            -0.972315210695,   2
AT1G49010,    AT3G20230,            0.969451202519,   3
AT1G33240,    AT3G47350,            -0.969064896221,   4
AT2G18380,    AT5G39800,            0.968174832123,   5
AT1G53910,    AT1G16460,            0.967412320818,   6
AT1G49010,    AT1G56045,            0.967110017827,   7
AT1G50640,    AT2G18400,            -0.967038245417,   8
AT2G02820,    AT4G15780,            0.966830342046,   9
AT1G78700,    AT3G14330,            -0.96676359442,   10
AT1G49010,    AT4G29060,            0.965835310506,   11
AT1G49010,    AT1G04640,            0.965690671113,   12
AT1G78700,    AT1G18730,            -0.965683825044,   13
AT1G49010,    AT5G25630,            0.965672890737,   14
AT1G68670,    AT2G43560,            -0.965360985872,   15
AT2G20400,    AT5G19430,            0.965093635173,   16
AT1G78700,    AT1G19150,            -0.964806302354,   17
AT2G28810,    AT1G60810,            -0.964534356656,   18
AT1G68670,    AT3G60300,            0.964342108839,   19
AT1G53170,    AT2G39250,            -0.963969515345,   20
AT1G30210,    AT1G20770,            0.963657380751,   21
AT1G68670,    AT4G35360,            -0.963547354112,   22
AT1G78700,    AT1G14020,            -0.963531521409,   23
AT2G06200,    AT3G53890,            0.963508672747,   24
AT2G02820,    AT1G03140,            0.963442147388,   25
AT1G49010,    AT4G12600,            0.96343149639,   26
AT2G06200,    AT2G36170,            0.963341434238,   27
AT1G13260,    AT1G16350,            -0.963158981965,   28
AT1G69780,    AT1G51470,            0.963087329014,   29
AT2G02820,    AT4G35450,            -0.963070190563,   30
AT1G33240,    AT3G07460,            -0.962982801598,   31
AT2G20400,    AT4G18140,            0.962952841081,   32
AT1G49010,    AT3G08740,            0.962850117604,   33
AT2G06200,    AT2G29550,            0.962718890384,   34
AT2G06200,    AT4G24830,            0.962614307865,   35
AT1G49010,    AT3G18390,            0.962492611296,   36
AT2G06200,    AT2G37240,            0.962447443908,   37
AT2G02080,    AT1G21780,            0.962445573567,   38
AT1G43700,    AT1G64230,            0.962365459406,   39
AT2G02820,    AT1G21720,            -0.96227672114,   40
AT1G68670,    AT2G46260,            0.96220277701,   41
AT2G20400,    AT1G10940,            0.962086665136,   42
AT1G49010,    AT2G04842,            0.962053128672,   43
AT1G47655,    AT5G03240,            0.961958933694,   44
AT1G68670,    AT5G45620,            -0.961945219819,   45
AT1G18330,    AT2G19480,            0.961931877028,   46
AT1G08320,    AT1G04420,            -0.961929790087,   47
AT1G08320,    AT3G07220,            0.961870558833,   48
AT1G68670,    AT2G32060,            -0.961857081973,   49
AT2G06200,    AT4G27090,            0.961828287589,   50
AT2G02080,    AT4G24275,            -0.961815498557,   51
AT2G02080,    AT2G21500,            0.961811061698,   52
AT2G23320,    AT4G23670,            -0.96179470881,   53
AT1G68670,    AT5G17170,            -0.961765600488,   54
AT1G43700,    AT1G07310,            0.961592303526,   55
AT1G49010,    AT1G72640,            0.961571020105,   56
AT2G02080,    AT5G05930,            0.961457214124,   57
AT1G55110,    AT5G43130,            0.961333802193,   58
AT2G01060,    AT1G01770,            0.961288774703,   59
AT2G02820,    AT3G01180,            -0.96126740671,   60
AT1G69490,    AT5G58990,            -0.961230446462,   61
AT1G68670,    AT5G18660,            -0.961202257446,   62
AT1G13260,    AT1G26670,            0.96119880524,   63
AT2G02080,    AT1G79970,            0.961081435043,   64
AT1G13260,    AT2G35130,            -0.960958977866,   65
AT2G20400,    AT5G41260,            0.960921016167,   66
AT2G02820,    AT3G11930,            0.960837869481,   67
AT1G49010,    AT1G02305,            -0.960796814928,   68
AT1G78700,    AT3G11510,            -0.960778121349,   69
AT1G49010,    AT5G47720,            -0.960719780882,   70
AT1G74840,    AT3G10740,            0.960716741156,   71
AT2G01060,    AT5G59870,            -0.960684083439,   72
AT1G47655,    AT5G41700,            0.96060368387,   73
AT1G49010,    AT4G27130,            -0.960486897289,   74
AT2G30250,    AT3G26220,            0.960346502864,   75
AT1G49010,    AT1G08360,            0.960304700545,   76
AT2G28810,    AT1G80020,            0.960270032919,   77
AT1G49010,    AT4G38932,            -0.960209161035,   78
AT2G02080,    AT1G20260,            -0.96018667704,   79
AT1G49010,    AT1G50670,            0.960155417902,   80
AT1G68670,    AT1G66670,            -0.960147468837,   81
AT2G22430,    AT4G01350,            0.960144219242,   82
AT1G49010,    AT3G47650,            0.960143904475,   83
