regulator,    target,    score,    rank
AT1G49010,    AT3G20230,            0.994690357284,   1
AT1G49010,    AT1G56045,            0.993245786523,   2
AT1G50640,    AT2G18400,            -0.99291324892,   3
AT1G06280,    AT1G25340,            0.99287906556,   4
AT1G78700,    AT1G18730,            -0.990911297678,   5
AT1G49010,    AT1G04640,            0.990782091798,   6
AT1G53910,    AT1G16460,            0.99044760164,   7
AT1G06850,    AT5G18400,            -0.98958623892,   8
AT1G49010,    AT5G25630,            0.989030047242,   9
AT2G02820,    AT4G15780,            0.989010001826,   10
AT1G49010,    AT4G29060,            0.988303785073,   11
AT2G20400,    AT5G19430,            0.988224003622,   12
AT1G68670,    AT2G43560,            -0.987989283465,   13
AT1G78700,    AT3G14330,            -0.987663870516,   14
AT2G06200,    AT2G36170,            0.987471100117,   15
AT1G08320,    AT3G07220,            0.987160766551,   16
AT1G69780,    AT1G51470,            0.987135041754,   17
AT2G20400,    AT1G10940,            0.987100138423,   18
AT1G49010,    AT4G12600,            0.987092384883,   19
AT1G33240,    AT3G47350,            -0.987025065438,   20
AT1G68670,    AT3G60300,            0.986989264564,   21
AT2G20400,    AT4G18140,            0.986890962068,   22
AT2G02080,    AT4G24275,            -0.986817993768,   23
AT1G49010,    AT3G08740,            0.986791305724,   24
AT1G49010,    AT1G08360,            0.986630647262,   25
AT1G43700,    AT1G64230,            0.986462572694,   26
AT2G28810,    AT1G60810,            -0.986291229153,   27
AT2G02080,    AT1G21780,            0.986282713808,   28
AT1G68670,    AT2G32060,            -0.986206774393,   29
AT1G08320,    AT1G04420,            -0.986135578328,   30
AT2G02820,    AT1G21720,            -0.986110473795,   31
AT1G78700,    AT1G19150,            -0.986077553392,   32
AT1G47655,    AT5G03240,            0.986046309723,   33
AT1G49010,    AT1G72640,            0.985953742458,   34
AT1G78700,    AT1G14020,            -0.985924198835,   35
AT1G68670,    AT5G17170,            -0.985831697512,   36
AT1G68670,    AT5G45620,            -0.985742712048,   37
AT1G49010,    AT3G18390,            0.985710502542,   38
AT2G06200,    AT2G37240,            0.985642478326,   39
AT1G18330,    AT2G19480,            0.985638001257,   40
AT1G13260,    AT1G16350,            -0.985509137506,   41
AT2G02820,    AT1G03140,            0.985424528598,   42
AT2G02080,    AT1G79970,            0.985413235124,   43
AT1G49010,    AT1G67830,            0.985297955885,   44
AT2G06200,    AT4G27090,            0.985251328337,   45
AT2G20400,    AT3G26780,            -0.985171033268,   46
AT1G49010,    AT3G47650,            0.985134013258,   47
AT2G20400,    AT1G20810,            -0.985103727787,   48
