regulator,    target,    score,    rank
AT1G06280,    AT3G02480,            0.991033251961,   1
AT2G18160,    AT4G02550,            -0.990084374282,   2
AT1G06280,    AT2G31141,            0.990066778155,   3
AT1G06280,    AT2G32460,            0.989748247014,   4
AT1G29860,    AT2G32450,            0.988877400842,   5
AT1G06280,    AT2G37770,            0.988510144741,   6
AT1G79580,    AT2G35660,            0.98754398109,   7
AT1G19850,    AT2G34460,            0.98732256174,   8
AT1G43160,    AT3G01800,            0.986962164527,   9
AT1G33240,    AT1G72130,            0.986946245031,   10
AT1G06280,    AT5G54165,            0.986832725057,   11
AT2G30250,    AT5G55960,            0.986735135467,   12
AT2G31230,    AT5G51460,            0.986491386062,   13
AT2G32460,    AT1G72680,            0.98645203518,   14
AT1G43160,    AT3G44750,            0.986442568735,   15
AT1G43160,    AT1G31600,            0.986340773894,   16
AT2G02070,    AT2G18090,            -0.986307149115,   17
AT1G49010,    AT2G26140,            0.986250607348,   18
AT2G28810,    AT3G14200,            0.98620404456,   19
AT2G22430,    AT2G27360,            -0.986183392448,   20
AT1G34190,    AT1G19715,            -0.985934385066,   21
AT1G74480,    AT3G02940,            0.985924081264,   22
AT1G34670,    AT1G55210,            0.985895658368,   23
AT1G69180,    AT2G43820,            0.985774690372,   24
AT1G06850,    AT5G13510,            0.985610379085,   25
AT1G64620,    AT3G10520,            -0.985602955128,   26
AT1G20910,    AT4G09720,            0.985596274394,   27
AT1G01060,    AT4G14960,            0.985507564589,   28
AT1G43160,    AT5G54900,            0.985464094024,   29
AT2G02820,    AT1G15500,            -0.985436430327,   30
AT1G75390,    AT2G39400,            0.985420666323,   31
AT1G06280,    AT4G14690,            0.985397864226,   32
AT1G43160,    AT2G05380,            0.98530018493,   33
AT1G49010,    AT2G23120,            -0.985218355308,   34
AT1G64620,    AT2G46800,            0.985210295271,   35
AT2G20400,    AT1G26460,            0.985119437247,   36
AT1G33240,    AT1G29450,            0.985117536697,   37
AT1G19790,    AT1G11380,            0.985088013525,   38
AT1G79580,    AT1G10360,            0.985078831912,   39
AT1G68320,    AT1G20190,            0.985067393707,   40
AT1G06280,    AT3G20300,            0.985016774509,   41
AT1G20910,    AT5G07960,            0.985011457369,   42
AT1G32870,    AT1G55670,            -0.984919625958,   43
AT1G49480,    AT4G26150,            0.984854134166,   44
AT2G23320,    AT5G58430,            0.984827837291,   45
AT2G22430,    AT1G06830,            -0.984749523205,   46
AT1G49010,    AT1G13090,            0.984693351593,   47
AT2G01930,    AT3G03470,            0.984686952871,   48
AT1G79580,    AT2G45950,            0.984684686322,   49
AT2G23290,    AT3G46550,            0.984619199222,   50
AT1G78700,    AT1G09795,            -0.984563006432,   51
AT1G34180,    AT1G13640,            0.984546451379,   52
AT2G02820,    AT2G35130,            0.98451750622,   53
AT1G43160,    AT5G16070,            0.98450030384,   54
AT1G69780,    AT3G16910,            0.984490573088,   55
AT2G18160,    AT5G65940,            0.984488996634,   56
AT2G18160,    AT5G65730,            0.984488204977,   57
AT1G43160,    AT4G32520,            0.984485158548,   58
AT2G06200,    AT4G14716,            -0.984415763248,   59
AT1G69780,    AT3G28070,            0.984384697654,   60
AT1G75080,    AT1G07420,            -0.984373030254,   61
AT1G69780,    AT3G28080,            0.984362743316,   62
AT1G29160,    AT5G66700,            0.984342283341,   63
AT2G23320,    AT1G72900,            0.984331416403,   64
AT2G22540,    AT5G67330,            -0.984304554725,   65
AT2G23320,    AT1G74520,            -0.984249179943,   66
AT1G74840,    AT4G09150,            0.984182453342,   67
AT1G43700,    AT4G32850,            0.984174554766,   68
AT2G23340,    AT3G46640,            0.984154799807,   69
AT1G79580,    AT3G44630,            0.984094334243,   70
AT1G28370,    AT1G73540,            0.984056422302,   71
AT1G19000,    AT2G03550,            0.984037597282,   72
AT1G35460,    AT1G59830,            -0.984032540239,   73
AT1G79580,    AT5G57930,            0.984003791153,   74
AT1G43160,    AT2G25450,            0.983982374721,   75
AT2G18380,    AT2G47910,            0.983922990639,   76
AT1G69780,    AT5G10960,            0.983914995212,   77
AT1G80840,    AT3G49530,            0.983907208381,   78
AT1G64620,    AT4G27820,            -0.983895513523,   79
AT1G74650,    AT5G22060,            0.983878108431,   80
AT1G14687,    AT4G18070,            0.983832563951,   81
AT1G14687,    AT4G34560,            0.983811336006,   82
AT1G52880,    AT5G65300,            -0.983793333416,   83
AT1G74650,    AT1G14060,            0.98372943262,   84
AT1G49480,    AT4G26850,            0.983728344738,   85
AT1G55110,    AT1G21590,            0.983685729318,   86
AT2G22430,    AT5G18080,            -0.983669207271,   87
AT1G51140,    AT5G64170,            0.983555744522,   88
AT1G51700,    AT3G58720,            0.983520812093,   89
AT1G74650,    AT1G03530,            0.983455457658,   90
AT1G80840,    AT4G20260,            -0.983450725912,   91
AT1G19850,    AT1G52760,            0.983447326691,   92
AT1G74840,    AT4G35300,            0.983349909706,   93
AT1G79580,    AT5G42760,            0.983338369943,   94
AT2G01060,    AT2G03890,            0.983300801963,   95
AT2G01940,    AT1G47580,            0.98327700732,   96
AT2G06200,    AT3G52180,            -0.983247260089,   97
AT1G13260,    AT2G40460,            0.983229074666,   98
AT2G30250,    AT3G55880,            0.983207891432,   99
AT1G43160,    AT4G12230,            0.983151256469,   100
AT2G02070,    AT2G39130,            0.983082620718,   101
AT1G80840,    AT3G55980,            0.983052428882,   102
AT1G80840,    AT3G50930,            0.983022270049,   103
AT1G69780,    AT5G53900,            0.9829950531,   104
AT1G27730,    AT4G25490,            0.982988850527,   105
AT2G18160,    AT3G46970,            -0.982921057352,   106
AT2G18060,    AT5G50240,            0.982893071538,   107
AT1G14687,    AT4G32290,            0.982887536522,   108
AT1G80840,    AT1G20823,            0.982856455781,   109
AT1G28370,    AT5G51990,            0.982849356303,   110
AT1G74650,    AT3G54760,            0.982841241871,   111
AT2G01060,    AT3G06400,            0.982734274291,   112
AT1G72740,    AT5G56190,            -0.982711163423,   113
AT1G19850,    AT3G57050,            0.982690936421,   114
AT1G79580,    AT1G65070,            0.98267660549,   115
AT1G47655,    AT5G02480,            0.982659150081,   116
AT1G69780,    AT5G49730,            0.982646862235,   117
AT2G23290,    AT5G65910,            -0.982630897558,   118
AT2G18380,    AT1G13000,            -0.982622171856,   119
AT1G75240,    AT2G32160,            0.982620897081,   120
AT1G75240,    AT5G67180,            0.98260798165,   121
AT1G28370,    AT3G46090,            0.98257080246,   122
AT2G30250,    AT3G45260,            0.982570279247,   123
AT1G32150,    AT3G53470,            0.982561410239,   124
AT1G64620,    AT2G41140,            0.982561234706,   125
AT2G02080,    AT3G10260,            -0.982520522196,   126
AT1G43160,    AT3G08640,            0.98242692405,   127
AT2G18060,    AT4G04750,            0.982369438343,   128
AT1G53910,    AT5G55210,            -0.982333464102,   129
AT1G69780,    AT2G44290,            0.982322020613,   130
AT1G34190,    AT2G41312,            -0.982314232301,   131
AT1G72740,    AT5G04440,            0.98230249672,   132
AT2G23340,    AT1G79660,            0.982260049716,   133
AT1G35460,    AT4G15800,            0.982246287274,   134
AT2G23320,    AT1G18570,            0.982244591825,   135
AT1G74840,    AT5G23950,            0.982229796158,   136
AT2G02080,    AT3G09540,            0.982182529933,   137
AT1G06280,    AT2G02390,            0.982149244994,   138
AT1G43160,    AT1G75040,            0.982125728459,   139
AT1G28370,    AT5G66070,            0.982124451773,   140
AT1G34190,    AT4G39170,            0.982116247919,   141
AT2G06200,    AT1G33040,            0.982100827215,   142
AT1G33240,    AT3G09980,            0.982075015911,   143
AT2G23290,    AT5G61810,            -0.982070248577,   144
AT2G18380,    AT5G10780,            -0.982018333558,   145
AT1G69780,    AT3G09920,            0.982013977126,   146
AT2G30250,    AT5G43880,            0.98199249236,   147
AT1G69180,    AT5G12040,            0.981973759214,   148
AT1G72740,    AT5G61130,            0.981953733864,   149
AT1G72740,    AT5G52440,            0.981944956394,   150
AT2G18160,    AT3G61900,            -0.981891723929,   151
AT2G22540,    AT5G13930,            -0.981867118613,   152
AT2G22430,    AT3G04940,            -0.981836720207,   153
AT1G22070,    AT4G26950,            -0.981804944972,   154
