regulator,    target,    score,    rank
AT1G43700,    AT4G31408,            0.995296951007,   1
AT2G23320,    AT3G55900,            0.993078645835,   2
AT2G18550,    AT2G18680,            0.990373287481,   3
AT1G49560,    AT3G26560,            0.990192034581,   4
AT1G79580,    AT5G18040,            0.989582437731,   5
AT1G68670,    AT5G03240,            0.987910863351,   6
AT2G18350,    AT5G57910,            0.987832675235,   7
AT1G68320,    AT5G23750,            0.98748119024,   8
AT2G32460,    AT1G55530,            0.987157355695,   9
AT1G71450,    AT4G30650,            0.986454678119,   10
AT2G27300,    AT1G04350,            -0.986001816623,   11
AT1G32870,    AT4G14320,            -0.985969492501,   12
AT1G27730,    AT1G19397,            0.985679175173,   13
AT1G08010,    AT5G15802,            0.985413016492,   14
AT2G22430,    AT4G23880,            0.985115377955,   15
AT1G69010,    AT1G07170,            0.985105125558,   16
AT1G69010,    AT5G04600,            0.984960985075,   17
AT2G20400,    AT3G18210,            0.984861368566,   18
AT1G69010,    AT3G12587,            0.984634683756,   19
AT1G68670,    AT1G24100,            -0.984585466774,   20
AT2G18550,    AT1G09500,            0.984579305709,   21
AT1G74480,    AT1G16040,            0.984575681092,   22
AT1G69010,    AT2G44860,            0.984511069151,   23
AT1G34190,    AT1G23780,            0.984490306365,   24
AT1G02230,    AT3G62030,            -0.984488761087,   25
AT1G62300,    AT4G23190,            0.984271784909,   26
AT2G18380,    AT3G13110,            0.984168367828,   27
AT2G23320,    AT2G33120,            0.984158327233,   28
AT2G22540,    AT4G28480,            -0.98407361091,   29
AT2G28810,    AT3G02750,            0.984056541201,   30
AT2G01060,    AT5G47310,            0.984036509528,   31
AT1G49010,    AT5G09900,            -0.983981000528,   32
AT1G62300,    AT3G20340,            0.983976078634,   33
AT1G20980,    AT4G25500,            0.98397550025,   34
AT2G20110,    AT5G67320,            0.983894183933,   35
AT1G34190,    AT5G17670,            -0.983863639685,   36
AT1G49480,    AT3G20920,            0.983800484497,   37
AT2G18350,    AT3G56310,            0.983712286938,   38
AT2G32460,    AT1G09380,            0.983666147519,   39
AT2G18380,    AT5G42150,            0.983647379904,   40
AT2G23320,    AT1G09740,            0.983634825757,   41
AT1G49010,    AT5G11270,            0.983559081388,   42
AT2G18350,    AT3G53340,            0.983493754891,   43
AT2G30250,    AT5G30510,            -0.983461188453,   44
AT2G18550,    AT1G21525,            0.983412928358,   45
AT2G23290,    AT3G06680,            -0.983406356151,   46
AT2G18380,    AT3G06550,            0.983348084138,   47
AT1G74480,    AT1G30070,            0.983295531376,   48
AT1G69010,    AT1G48430,            0.983288896453,   49
AT1G18330,    AT3G61900,            0.983287262636,   50
AT1G69010,    AT1G19610,            0.983278470953,   51
AT1G69010,    AT4G32150,            0.983256507542,   52
