regulator,    target,    score,    rank
AT2G18550,    AT2G18680,            0.998491166245,   1
AT1G49560,    AT3G26560,            0.996865933052,   2
AT2G23320,    AT3G55900,            0.996734396862,   3
AT1G43700,    AT4G31408,            0.996670978104,   4
AT1G71450,    AT4G30650,            0.996168282826,   5
AT2G18350,    AT5G57910,            0.995889449591,   6
AT1G68670,    AT5G03240,            0.995783257002,   7
AT2G27300,    AT1G04350,            -0.995543209635,   8
AT1G08010,    AT5G15802,            0.995274653907,   9
AT2G23320,    AT2G33120,            0.995219820888,   10
AT1G69010,    AT1G07170,            0.995084517133,   11
AT1G27730,    AT1G19397,            0.995082997239,   12
AT1G79580,    AT5G18040,            0.994934523362,   13
AT1G68320,    AT5G23750,            0.994804165765,   14
AT1G74480,    AT1G16040,            0.994780414298,   15
AT2G20110,    AT5G67320,            0.994756300457,   16
AT1G62300,    AT4G23190,            0.994713696412,   17
AT2G01060,    AT5G47310,            0.99468522708,   18
AT2G22430,    AT4G23880,            0.994670861236,   19
AT1G02230,    AT3G62030,            -0.994668725504,   20
AT1G69010,    AT3G12587,            0.994639026991,   21
AT2G23320,    AT1G09740,            0.99458982824,   22
AT1G69010,    AT5G04600,            0.994534238559,   23
AT1G49010,    AT5G09900,            -0.994531967179,   24
AT1G27730,    AT5G12320,            -0.994409443871,   25
AT1G34190,    AT5G17670,            -0.994267762554,   26
AT1G62300,    AT3G20340,            0.994233784378,   27
AT1G69010,    AT2G44860,            0.994146112558,   28
AT2G20400,    AT3G18210,            0.994113970038,   29
AT2G18380,    AT5G42150,            0.994098747069,   30
AT1G49010,    AT5G11270,            0.994067095843,   31
AT1G49010,    AT3G10060,            0.994049195931,   32
AT1G20980,    AT4G25500,            0.994042262278,   33
AT2G23320,    AT5G39580,            0.993945963682,   34
AT1G49480,    AT3G20920,            0.993909424442,   35
AT2G18350,    AT3G56310,            0.993902452968,   36
AT1G80840,    AT3G14620,            0.993835764197,   37
AT2G20110,    AT4G10970,            0.993798031419,   38
AT1G55110,    AT1G62730,            0.993787759885,   39
AT1G27730,    AT5G06450,            0.993787160492,   40
AT1G34190,    AT1G23780,            0.993785845862,   41
AT1G69010,    AT1G48430,            0.993784225508,   42
AT2G18550,    AT1G09500,            0.993754001982,   43
AT2G20110,    AT5G39590,            0.993704823193,   44
AT2G28810,    AT3G02750,            0.993647195948,   45
AT1G68670,    AT1G24100,            -0.99364299547,   46
AT2G18350,    AT3G53340,            0.993613944267,   47
AT1G27730,    AT5G29040,            0.993605883353,   48
AT1G32870,    AT4G14320,            -0.993591824091,   49
AT1G80840,    AT2G40711,            0.993532050316,   50
AT2G30250,    AT5G30510,            -0.993475163709,   51
AT1G34190,    AT2G42680,            0.993453012475,   52
AT1G62300,    AT1G76970,            0.993452076419,   53
AT2G30250,    AT5G26770,            0.993445034268,   54
AT1G69010,    AT4G32150,            0.99342622946,   55
AT1G49010,    AT4G23885,            -0.993425126138,   56
AT2G18380,    AT3G13110,            0.993389119389,   57
AT1G80840,    AT3G23570,            0.993362319773,   58
AT2G18550,    AT1G68610,            0.993358064391,   59
AT2G30250,    AT4G37925,            -0.993336531007,   60
AT1G27730,    AT3G47060,            0.993154430943,   61
AT1G53910,    AT3G58680,            0.99314910319,   62
AT2G30250,    AT2G43750,            -0.993141912851,   63
AT2G18550,    AT1G21525,            0.993058969373,   64
AT2G18160,    AT3G18430,            0.993035809055,   65
AT1G18330,    AT3G61900,            0.993030341114,   66
AT2G23290,    AT3G06680,            -0.993025683388,   67
AT2G30250,    AT5G03740,            0.993018272557,   68
AT1G27730,    AT1G13880,            0.993001901642,   69
AT1G27730,    AT4G15780,            0.992949515146,   70
AT1G19000,    AT3G16740,            0.992942485348,   71
AT2G18550,    AT1G73080,            0.992931272242,   72
AT2G20400,    AT2G32160,            0.992913303869,   73
AT1G69010,    AT5G52980,            0.992896122666,   74
AT1G43700,    AT1G29470,            -0.99286228357,   75
AT1G49010,    AT5G51100,            0.992861103518,   76
