regulator,    target,    score,    rank
AT1G43700,    AT4G31408,            0.788258782767,   1
AT1G74480,    AT4G02050,            -0.735155400065,   2
AT2G23320,    AT3G55900,            0.533699703836,   3
AT1G75240,    AT4G39363,            -0.522192392412,   4
AT1G27730,    AT3G30844,            0.452692083082,   5
AT1G79580,    AT5G18040,            0.436851927911,   6
AT2G32460,    AT1G55530,            0.43076926059,   7
AT1G18330,    AT3G12290,            0.378622347361,   8
AT1G32870,    AT4G14320,            -0.375461538477,   9
AT1G19790,    AT5G59910,            0.368684958305,   10
AT1G19850,    AT2G33730,            -0.35385534802,   11
AT1G72740,    AT1G55670,            0.353576562249,   12
AT2G01930,    AT3G55750,            -0.349813617498,   13
AT1G72740,    AT5G02050,            0.345519162914,   14
AT1G72740,    AT5G26360,            0.321556097412,   15
AT1G70920,    AT3G04670,            0.319787184917,   16
AT2G02450,    AT1G59870,            -0.316735100477,   17
AT1G29280,    AT1G70200,            0.307592900935,   18
AT1G19790,    AT1G12840,            -0.306324595519,   19
AT1G53170,    AT1G31335,            -0.298169421692,   20
AT2G23340,    AT5G13790,            0.294892319215,   21
AT1G20910,    AT2G45695,            0.290645968116,   22
AT1G49560,    AT3G26560,            0.289860596602,   23
AT2G31220,    AT4G05070,            0.289619802332,   24
AT2G30590,    AT3G62580,            0.288194407658,   25
AT2G31220,    AT2G19740,            -0.284243993307,   26
AT1G20910,    AT3G47836,            0.281641076383,   27
AT1G49480,    AT3G06110,            0.278192208157,   28
AT2G23340,    AT2G23120,            0.278037926103,   29
AT1G19790,    AT5G62300,            -0.277882998132,   30
AT1G20910,    AT5G49970,            0.277643962986,   31
AT1G28470,    AT1G48920,            0.276959571042,   32
AT1G49010,    AT1G49380,            0.273757405388,   33
AT2G23340,    AT1G31170,            0.273616934825,   34
AT1G32870,    AT3G59540,            -0.273027173234,   35
AT1G68320,    AT5G23750,            0.27274141074,   36
AT1G69570,    AT3G26710,            -0.269446475979,   37
AT1G06180,    AT2G16800,            -0.268711990749,   38
AT1G32870,    AT1G08640,            -0.267882997278,   39
AT1G54330,    AT4G33666,            0.267423050195,   40
AT1G64620,    AT2G39681,            0.264179759412,   41
AT1G08010,    AT1G14980,            -0.263513725283,   42
AT1G08320,    AT5G60920,            -0.262077514751,   43
AT1G68670,    AT5G03240,            0.260965440816,   44
AT1G27730,    AT1G04960,            0.255552025629,   45
AT2G31230,    AT3G17170,            0.254715690973,   46
AT1G29280,    AT1G05140,            0.254546229013,   47
AT1G08320,    AT1G79270,            0.251700667717,   48
AT2G31230,    AT1G80600,            0.251502490643,   49
AT2G02450,    AT3G10090,            -0.251386539426,   50
AT1G18330,    AT1G55805,            0.244638384151,   51
AT2G02080,    AT5G25265,            0.241225371932,   52
AT1G69010,    AT2G35736,            0.239948931765,   53
AT1G32870,    AT1G78140,            -0.237694628532,   54
AT2G30590,    AT3G49120,            0.236307816579,   55
AT2G02820,    AT3G02060,            0.23044427598,   56
AT1G69690,    AT4G26555,            0.228602604504,   57
AT2G23340,    AT2G39080,            -0.225193657506,   58
AT2G18350,    AT5G57910,            0.222105137057,   59
AT2G02070,    AT1G06680,            0.220390718173,   60
AT1G64620,    AT4G34270,            0.220062013931,   61
AT2G02820,    AT1G15500,            0.219826535297,   62
AT1G06850,    AT2G20760,            -0.21923926806,   63
AT1G08320,    AT5G53940,            -0.218509383222,   64
AT1G68320,    AT4G11420,            0.218182166945,   65
AT2G23340,    AT4G34590,            0.21442385735,   66
AT1G12610,    AT2G43810,            0.214281951487,   67
AT1G08320,    AT4G10180,            -0.212943876834,   68
AT1G08320,    AT1G08560,            0.212354495974,   69
AT2G02450,    AT1G12650,            0.210630033182,   70
AT1G69780,    AT2G45420,            0.210528718568,   71
AT1G20910,    AT5G04440,            0.20913964646,   72
AT2G30590,    AT1G45230,            0.208284720659,   73
AT2G30590,    AT3G27380,            -0.208194397963,   74
AT2G30590,    AT4G04330,            0.207610412446,   75
AT1G20910,    AT2G27960,            0.207490770845,   76
AT2G30590,    AT4G14342,            0.207183447829,   77
AT1G20910,    AT3G17970,            0.207040986663,   78
AT1G29160,    AT1G22840,            -0.206953244882,   79
AT1G32870,    AT2G34810,            0.203504619131,   80
AT1G08320,    AT3G23700,            -0.202744336585,   81
AT1G20910,    AT1G64355,            0.202411769832,   82
AT1G75080,    AT5G25610,            -0.201085934491,   83
AT1G03800,    AT5G12120,            0.200325738446,   84
AT2G30590,    AT3G04720,            0.199500940484,   85
AT2G30590,    AT3G06760,            -0.198911401387,   86
AT1G79580,    AT3G58700,            -0.198698613082,   87
AT1G08320,    AT4G15550,            0.198401340991,   88
AT2G30590,    AT5G19855,            -0.197587566397,   89
AT1G77920,    AT3G22235,            0.197483707814,   90
AT1G68320,    AT5G03370,            0.195531025402,   91
AT2G31230,    AT2G30860,            0.195243628008,   92
AT1G08320,    AT2G04700,            -0.19523564655,   93
AT1G29280,    AT3G50060,            -0.194651411413,   94
AT1G74650,    AT1G16350,            0.194599534319,   95
AT1G68670,    AT1G24100,            -0.194135488988,   96
AT2G26960,    AT3G03341,            0.19303651585,   97
