regulator,    target,    score,    rank
AT1G34670,    AT2G48140,            0.993575723066,   1
AT1G69180,    AT5G62320,            0.993460886588,   2
AT2G18380,    AT1G24240,            0.993167432389,   3
AT1G34670,    AT3G12720,            0.992493651405,   4
AT1G34180,    AT2G31510,            0.992197899612,   5
AT1G34670,    AT5G09480,            0.992031943902,   6
AT1G53170,    AT4G26555,            -0.991808255643,   7
AT1G13260,    AT5G19790,            0.991696897927,   8
AT2G30340,    AT2G23540,            0.991440154452,   9
AT2G30340,    AT4G38080,            0.991106707611,   10
AT2G18380,    AT2G17560,            0.990601215028,   11
AT1G34670,    AT2G22510,            0.990483293554,   12
AT1G19850,    AT3G20410,            0.990345434536,   13
AT1G49560,    AT2G02360,            0.990224573564,   14
AT2G18350,    AT2G18280,            0.990085833478,   15
AT1G77920,    AT5G10560,            0.990014883313,   16
AT1G30210,    AT5G19730,            -0.989912851457,   17
AT1G19790,    AT3G56850,            0.989419907998,   18
AT1G77920,    AT1G54080,            0.989364668399,   19
AT1G06850,    AT2G17130,            0.989226766631,   20
AT1G01060,    AT3G22840,            0.989124510815,   21
AT2G18350,    AT5G37600,            0.988915016653,   22
AT1G19850,    AT4G26860,            -0.988839482142,   23
AT1G47655,    AT4G12917,            0.988834757051,   24
AT1G53230,    AT1G58590,            0.988667765212,   25
AT1G49560,    AT4G23270,            0.988627455306,   26
AT2G18160,    AT1G03440,            0.988464569478,   27
AT1G74650,    AT3G17930,            0.988294009314,   28
AT1G01060,    AT4G38580,            -0.988106839195,   29
AT2G20110,    AT5G63890,            0.988052370308,   30
AT2G23340,    AT1G77680,            0.988050393153,   31
AT1G29160,    AT5G52840,            0.987766223024,   32
AT1G01060,    AT5G42760,            0.987700468407,   33
AT2G03500,    AT4G35020,            0.987599447113,   34
AT1G69570,    AT3G17800,            0.987522830395,   35
AT1G01060,    AT2G30490,            0.987490070112,   36
AT1G49560,    AT3G18000,            0.987403934114,   37
AT2G23340,    AT4G35550,            0.987392781722,   38
AT1G28370,    AT3G59980,            0.987336667777,   39
AT1G47655,    AT5G50180,            0.987323697764,   40
AT1G71450,    AT5G06700,            0.987091891429,   41
AT1G74650,    AT1G58440,            -0.987067392567,   42
AT2G23340,    AT2G29450,            0.987064731849,   43
AT1G49560,    AT2G28840,            0.98694622906,   44
AT1G49560,    AT1G20620,            0.986911882334,   45
AT1G49010,    AT3G29240,            0.986871053048,   46
AT1G78700,    AT2G46870,            0.986798692092,   47
AT1G71450,    AT1G68760,            0.986772144692,   48
AT1G43700,    AT3G16850,            0.986708785516,   49
AT1G46768,    AT1G51610,            -0.986570900935,   50
AT1G43160,    AT5G16190,            0.986523058622,   51
AT1G02230,    AT1G07570,            -0.986478369632,   52
AT1G49480,    AT2G02800,            0.986333190896,   53
AT1G77920,    AT5G04230,            0.986255484617,   54
AT1G59640,    AT2G39770,            0.986239139236,   55
AT1G34670,    AT1G68850,            0.986208296789,   56
AT1G72010,    AT2G23980,            0.986084878543,   57
AT1G43160,    AT5G10410,            0.985882623331,   58
AT2G18380,    AT3G15410,            0.985819006623,   59
AT2G18380,    AT4G14716,            0.98576538091,   60
AT1G35460,    AT1G60590,            0.985750686418,   61
AT1G19850,    AT5G51020,            -0.985718478514,   62
AT1G06850,    AT1G12840,            0.985652974652,   63
AT1G34180,    AT3G18050,            0.985569795441,   64
AT1G77920,    AT3G48170,            0.985513599271,   65
AT1G71450,    AT4G29940,            0.985437811067,   66
AT1G71450,    AT5G23850,            0.985402868762,   67
AT1G74650,    AT4G02360,            -0.98504893216,   68
AT1G28470,    AT1G02560,            0.984967001368,   69
AT1G47655,    AT1G52827,            -0.984952184187,   70
AT1G49560,    AT1G51940,            0.98493480455,   71
AT2G23340,    AT3G50410,            0.98491387398,   72
AT1G79180,    AT1G09130,            0.984882172826,   73
AT1G19850,    AT5G62430,            -0.984811411594,   74
AT1G68670,    AT3G16500,            0.984797527205,   75
AT1G71450,    AT3G17120,            0.984793329685,   76
AT2G23340,    AT3G11170,            0.984783152113,   77
AT1G68670,    AT2G30700,            -0.98477994001,   78
AT2G02820,    AT3G07350,            -0.984746790847,   79
AT1G33240,    AT3G10670,            -0.984744154435,   80
AT1G59640,    AT2G46520,            0.984676905448,   81
AT1G18330,    AT5G02810,            0.984649690207,   82
AT1G74650,    AT1G20440,            -0.984615566104,   83
AT1G43160,    AT3G17810,            0.984607639302,   84
AT1G35460,    AT4G31310,            0.984601545855,   85
AT1G74840,    AT2G01450,            -0.984541159092,   86
AT2G23340,    AT2G32240,            0.984407964395,   87
AT2G18380,    AT5G24980,            0.984392221285,   88
AT1G43160,    AT3G04010,            0.984392185053,   89
AT2G18380,    AT2G04700,            0.984390450771,   90
AT2G18350,    AT5G12950,            0.984241112883,   91
AT1G55110,    AT3G62410,            0.984169232361,   92
AT1G34180,    AT4G39400,            0.984012315306,   93
AT1G53230,    AT5G28540,            0.983977659359,   94
AT1G49480,    AT5G38980,            0.983939779733,   95
AT1G77920,    AT1G05940,            0.983928161463,   96
AT1G49560,    AT3G23280,            0.983846044955,   97
AT1G30210,    AT5G64440,            0.983826225552,   98
AT1G18330,    AT4G05070,            0.983824087143,   99
AT1G30650,    AT4G10770,            -0.983731948003,   100
AT1G69010,    AT5G49480,            0.983710022382,   101
AT2G01930,    AT1G80770,            -0.98369811246,   102
AT2G23320,    AT1G68300,            0.983689242307,   103
AT1G49560,    AT3G26740,            0.983684771993,   104
