regulator,    target,    score,    rank
AT1G34670,    AT2G48140,            0.99828012202,   1
AT2G18380,    AT1G24240,            0.997915549739,   2
AT1G69180,    AT5G62320,            0.997242181041,   3
AT1G34670,    AT3G12720,            0.997059064789,   4
AT1G34670,    AT5G09480,            0.996971053521,   5
AT1G53170,    AT4G26555,            -0.996595086423,   6
AT2G30340,    AT2G23540,            0.996541806854,   7
AT1G34180,    AT2G31510,            0.996373075228,   8
AT2G30340,    AT4G38080,            0.996300797821,   9
AT1G13260,    AT5G19790,            0.99566937196,   10
AT1G49560,    AT2G02360,            0.995551659503,   11
AT2G18380,    AT2G17560,            0.9954965736,   12
AT1G77920,    AT5G10560,            0.99528324466,   13
AT1G34670,    AT2G22510,            0.995068392515,   14
AT1G30210,    AT5G19730,            -0.994845417955,   15
AT2G18350,    AT2G18280,            0.994793027787,   16
AT1G19850,    AT3G20410,            0.994340377743,   17
AT1G77920,    AT1G54080,            0.994324237273,   18
AT1G19790,    AT3G56850,            0.993884177214,   19
AT1G01060,    AT3G22840,            0.993834610616,   20
AT1G47655,    AT4G12917,            0.993737817616,   21
AT1G06850,    AT2G17130,            0.993706038962,   22
AT1G49560,    AT4G23270,            0.993651747136,   23
AT2G23340,    AT1G77680,            0.993503932719,   24
AT2G18350,    AT5G37600,            0.993479373643,   25
AT2G20110,    AT5G63890,            0.993373907051,   26
AT1G19850,    AT4G26860,            -0.993120825955,   27
AT1G74650,    AT3G17930,            0.993053155586,   28
AT1G71450,    AT1G68760,            0.992842286029,   29
AT1G01060,    AT5G42760,            0.992804034206,   30
AT1G53230,    AT1G58590,            0.992622854792,   31
AT2G03500,    AT4G35020,            0.992546995337,   32
AT1G69570,    AT3G17800,            0.992487171219,   33
AT2G18160,    AT1G03440,            0.99243041426,   34
AT1G47655,    AT5G50180,            0.992256627279,   35
AT1G49560,    AT3G18000,            0.992247982473,   36
AT2G23340,    AT2G29450,            0.992244319726,   37
AT1G01060,    AT2G30490,            0.992232771785,   38
AT2G23340,    AT4G35550,            0.992169801371,   39
AT1G29160,    AT5G52840,            0.992096709778,   40
AT1G43160,    AT5G16190,            0.992089094108,   41
AT1G01060,    AT4G38580,            -0.99208075334,   42
AT1G34670,    AT1G68850,            0.992060156123,   43
AT1G28370,    AT3G59980,            0.991965628327,   44
AT1G02230,    AT1G07570,            -0.991890710991,   45
AT1G46768,    AT1G51610,            -0.991525302869,   46
AT1G71450,    AT5G06700,            0.991498344603,   47
AT1G72010,    AT2G23980,            0.991466321003,   48
AT1G49560,    AT1G20620,            0.991317817098,   49
AT1G74650,    AT1G58440,            -0.99128295337,   50
AT1G78700,    AT2G46870,            0.991266036356,   51
AT1G59640,    AT2G39770,            0.991166510848,   52
AT2G18380,    AT3G15410,            0.991138744204,   53
AT1G43700,    AT3G16850,            0.991115029867,   54
AT1G49010,    AT3G29240,            0.991114005038,   55
AT2G18380,    AT4G14716,            0.991074261227,   56
AT1G49560,    AT2G28840,            0.990948179245,   57
AT1G77920,    AT5G04230,            0.990887745957,   58
AT1G71450,    AT4G29940,            0.990882124219,   59
AT1G06850,    AT1G12840,            0.990785115232,   60
AT1G19850,    AT5G51020,            -0.990698739738,   61
AT1G47655,    AT1G52827,            -0.99068618027,   62
AT1G43160,    AT5G10410,            0.990678796077,   63
AT1G49480,    AT2G02800,            0.990631211387,   64
AT2G23340,    AT3G11170,            0.990625715827,   65
AT1G77920,    AT3G48170,            0.990571898829,   66
AT1G79180,    AT1G09130,            0.990401827357,   67
AT1G43160,    AT3G04010,            0.990381362622,   68
AT1G71450,    AT5G23850,            0.99036396671,   69
AT1G35460,    AT1G60590,            0.990350604514,   70
AT2G23340,    AT3G50410,            0.990241345327,   71
AT1G34180,    AT3G18050,            0.990211866325,   72
AT1G59640,    AT2G46520,            0.990115684532,   73
AT1G35460,    AT4G31310,            0.990050062782,   74
AT2G18380,    AT2G04700,            0.990016223047,   75
AT1G43160,    AT3G17810,            0.989959802204,   76
AT1G33240,    AT3G10670,            -0.989943464936,   77
AT1G74650,    AT1G20440,            -0.98991925525,   78
AT2G02820,    AT3G07350,            -0.9898853851,   79
AT1G49560,    AT1G51940,            0.989622868752,   80
AT1G68670,    AT3G16500,            0.989592873153,   81
AT2G23340,    AT2G32240,            0.989530993764,   82
AT1G19850,    AT5G62430,            -0.989492536314,   83
AT1G30210,    AT5G64440,            0.989480170443,   84
AT2G01930,    AT1G80770,            -0.989479669307,   85
AT1G68670,    AT2G30700,            -0.989476717118,   86
AT1G28470,    AT1G02560,            0.989394121222,   87
AT1G74650,    AT4G02360,            -0.989360058354,   88
AT1G74840,    AT2G01450,            -0.989320110539,   89
AT1G34670,    AT5G41570,            0.989284319576,   90
AT1G71450,    AT3G58790,            0.989242169534,   91
AT1G77920,    AT1G05940,            0.989233943843,   92
AT2G18350,    AT5G12950,            0.989230816032,   93
