regulator,    target,    score,    rank
AT1G79580,    AT1G11850,            0.566920959048,   1
AT1G79580,    AT5G15320,            0.544783140795,   2
AT1G19790,    AT3G56850,            0.50329500429,   3
AT1G06280,    AT3G28070,            0.488981784938,   4
AT1G02250,    AT5G22440,            0.478811188198,   5
AT1G70920,    AT3G12560,            -0.462105847011,   6
AT1G70920,    AT1G51070,            -0.461525701885,   7
AT1G18330,    AT2G35240,            -0.458734155216,   8
AT1G02250,    AT5G56710,            0.456564746965,   9
AT1G18330,    AT5G02810,            0.455890987023,   10
AT1G02250,    AT3G18740,            0.452238493297,   11
AT1G02250,    AT4G26230,            0.446193291343,   12
AT2G01060,    AT1G09140,            0.433955184261,   13
AT1G49010,    AT3G21690,            0.42754634515,   14
AT1G02250,    AT2G39460,            0.427486472747,   15
AT1G19040,    AT2G42430,            0.416402612424,   16
AT1G19040,    AT3G27785,            0.412284413823,   17
AT1G65910,    AT1G20190,            -0.411415469846,   18
AT1G55110,    AT3G62410,            0.411073530186,   19
AT1G54330,    AT1G07590,            -0.409083494495,   20
AT1G18330,    AT5G58420,            -0.4089550926,   21
AT1G02250,    AT5G23740,            0.403751726141,   22
AT1G01060,    AT4G38580,            -0.40305584167,   23
AT1G19040,    AT4G21040,            0.400856715015,   24
AT2G03500,    AT3G50550,            0.400547650369,   25
AT1G19040,    AT4G21080,            0.399651365821,   26
AT2G18380,    AT5G24980,            0.393275260181,   27
AT1G28470,    AT1G02560,            0.38944742752,   28
AT1G69180,    AT3G46040,            -0.389295339156,   29
AT2G18060,    AT1G08640,            0.388548903514,   30
AT1G34670,    AT2G21100,            0.386492987655,   31
AT1G65910,    AT4G00780,            -0.383598999458,   32
AT1G69180,    AT3G53560,            -0.383440152904,   33
AT2G01060,    AT1G21580,            0.380833452655,   34
AT1G19850,    AT4G26860,            -0.380210944232,   35
AT1G54330,    AT4G36620,            0.379009562718,   36
AT2G18060,    AT3G63190,            0.377657844844,   37
AT2G02820,    AT1G32580,            0.377102852102,   38
AT1G35460,    AT1G62180,            0.376712870576,   39
AT1G49480,    AT2G02800,            0.376663295614,   40
AT1G02250,    AT1G25260,            0.3752775089,   41
AT1G54330,    AT1G59750,            0.375123613555,   42
AT1G68550,    AT2G19760,            -0.375091029531,   43
AT1G19040,    AT3G15950,            0.372872353173,   44
AT1G18330,    AT2G25080,            0.367881136638,   45
