regulator,    target,    score,    rank
AT1G77200,    AT4G04260,            0.994086124385,   1
AT1G29160,    AT1G47220,            -0.993665154966,   2
AT2G22540,    AT2G04500,            0.992730506264,   3
AT2G20400,    AT1G49230,            0.992582052877,   4
AT2G18380,    AT5G28200,            0.991933784653,   5
AT1G72740,    AT1G25400,            -0.989878208067,   6
AT1G01060,    AT1G26790,            0.989348018227,   7
AT1G69010,    AT5G35310,            0.988892701047,   8
AT1G28370,    AT1G09950,            0.988862526334,   9
AT1G36060,    AT3G22920,            -0.988782362776,   10
AT1G29280,    ATMG00840,            -0.988757284171,   11
AT2G03340,    AT5G47070,            -0.988229892886,   12
AT1G80840,    AT5G59730,            0.988095868539,   13
AT1G06180,    AT3G28350,            0.988072279679,   14
AT1G53910,    AT3G53600,            -0.987929499356,   15
AT2G22540,    AT2G14960,            0.987815936016,   16
AT1G64620,    AT1G33600,            -0.987793074792,   17
AT1G52150,    AT4G08560,            -0.98768024146,   18
AT1G53230,    AT4G03840,            0.98760739588,   19
AT1G29160,    AT3G54940,            -0.987162027283,   20
AT1G68320,    AT3G60580,            0.987014936416,   21
AT1G76420,    AT1G62690,            0.986657644063,   22
AT1G43700,    AT2G46150,            -0.98656571268,   23
AT1G30490,    AT5G56640,            -0.986136468831,   24
AT1G01060,    AT2G42930,            0.985810495413,   25
AT1G69780,    AT2G05090,            0.985653782666,   26
AT1G68670,    AT1G26400,            -0.985489571896,   27
AT1G28370,    AT3G02800,            0.985022330509,   28
AT1G29160,    AT5G06320,            -0.98500445983,   29
AT1G29860,    AT5G52390,            0.984974538161,   30
AT1G33240,    AT5G39520,            -0.984037898404,   31
AT1G64620,    AT4G11480,            -0.983749751408,   32
AT1G80840,    AT2G38470,            0.98368454597,   33
AT1G68320,    AT5G40690,            -0.983431555319,   34
AT1G72740,    AT1G24140,            -0.982868843189,   35
AT1G32150,    AT4G22610,            0.982863555123,   36
AT1G76890,    AT2G33830,            0.982717290041,   37
AT2G22540,    AT1G44414,            0.982604706203,   38
AT1G14687,    AT5G18160,            -0.982516769893,   39
AT2G23320,    AT4G35280,            0.98227150604,   40
AT2G22540,    AT1G21910,            0.982269096845,   41
AT1G27730,    AT1G65510,            0.982157542823,   42
AT1G19210,    AT1G68500,            -0.982086813092,   43
AT1G02250,    AT2G46860,            -0.982080315133,   44
AT1G49010,    AT1G33813,            0.981920588205,   45
AT2G18550,    AT4G27550,            -0.98187767168,   46
AT1G32150,    AT2G15740,            0.981811260201,   47
AT1G29860,    AT2G42850,            -0.981725180404,   48
AT2G03500,    AT5G24860,            -0.981493210584,   49
AT1G30490,    AT1G44446,            -0.981338702663,   50
AT1G76890,    AT1G43700,            0.981187309632,   51
AT1G01060,    AT3G43730,            0.981110798999,   52
AT1G76420,    AT5G45770,            0.981054469667,   53
AT1G69780,    AT2G31910,            -0.98095103884,   54
AT2G22540,    AT3G25780,            0.980772197644,   55
AT2G23290,    AT2G17880,            0.98065520136,   56
AT1G77920,    AT1G52690,            -0.980257109103,   57
AT1G33240,    AT1G52060,            0.979936954694,   58
AT1G72740,    AT5G40750,            -0.979713738276,   59
AT2G03500,    AT5G19700,            -0.979679061627,   60
AT1G34180,    AT2G23270,            0.979497468788,   61
AT1G74650,    AT3G04550,            -0.979431408369,   62
AT2G22430,    AT1G11700,            0.97941719059,   63
AT2G28810,    AT5G60770,            -0.979187191564,   64
AT1G51700,    AT3G56880,            0.978927571618,   65
AT1G19850,    AT3G25130,            0.978860465365,   66
AT1G69010,    AT4G17380,            0.978739148096,   67
AT1G80840,    AT5G39670,            0.978655071949,   68
AT1G68320,    AT4G34850,            0.978604948502,   69
AT1G12260,    AT2G23400,            0.978473020345,   70
AT1G49560,    AT1G35183,            0.977777249726,   71
AT1G19850,    AT2G42250,            0.977673534997,   72
AT1G76420,    AT4G23250,            0.977651644421,   73
AT1G09540,    AT1G11850,            0.977430294887,   74
AT2G32460,    AT2G12210,            0.977302539683,   75
AT1G49010,    AT5G50940,            -0.977158078686,   76
AT1G68320,    AT3G19710,            0.976958780627,   77
AT1G34670,    AT4G28350,            -0.976859136391,   78
AT1G70920,    AT2G34100,            0.976692939553,   79
AT1G19000,    AT1G80440,            0.976665891539,   80
AT2G01060,    AT4G31330,            0.976444623979,   81
AT2G02080,    AT4G03580,            0.976444368207,   82
AT1G68670,    AT4G07600,            0.975868566805,   83
AT1G65910,    AT2G03550,            -0.975832425987,   84
AT1G19040,    AT2G30900,            0.97573024343,   85
AT1G64620,    AT3G25750,            0.975679670278,   86
AT1G14687,    AT3G30310,            -0.975541646567,   87
AT1G76890,    AT1G23910,            -0.975538923328,   88
AT2G04038,    AT5G32610,            0.975520587969,   89
AT1G01060,    AT1G17545,            0.975508784021,   90
AT1G80840,    AT4G17490,            0.975314404421,   91
AT1G19000,    AT5G49450,            0.975303661049,   92
AT1G53910,    AT5G58680,            -0.975264614057,   93
AT1G80840,    AT2G37430,            0.975209642994,   94
AT1G36060,    AT2G36640,            -0.97499295161,   95
AT2G31230,    AT4G07370,            0.974951570333,   96
AT1G69180,    AT3G14450,            -0.974909466955,   97
AT1G64620,    AT1G73220,            -0.974871910682,   98
AT1G80840,    AT3G01830,            0.974832434348,   99
AT1G68320,    AT2G43380,            0.974779826078,   100
AT1G20910,    AT4G25950,            -0.974765374938,   101
AT1G49010,    AT3G50150,            0.974692084614,   102
AT2G20400,    AT3G28155,            -0.974555581596,   103
AT1G14687,    AT4G29230,            -0.974554948174,   104
AT1G80840,    AT2G32030,            0.974553731342,   105
AT1G76890,    AT5G14760,            -0.974495034593,   106
AT1G74840,    AT1G13450,            0.974362299547,   107
AT1G50640,    AT1G15830,            0.974032599896,   108
AT2G03500,    AT3G60270,            -0.97391613366,   109
AT1G01720,    AT4G37180,            0.973781464675,   110
AT1G80840,    AT4G36500,            0.973746340004,   111
AT2G18550,    AT2G03370,            0.973727785444,   112
AT2G20110,    AT5G56920,            0.973701160024,   113
AT1G13260,    AT2G02490,            0.973640586473,   114
AT1G14687,    AT3G42460,            0.973474947748,   115
AT2G18350,    AT1G08860,            -0.973402424421,   116
AT1G13260,    AT3G17610,            -0.973376000758,   117
AT1G06850,    AT5G43800,            0.973317454563,   118
AT1G51700,    AT5G55090,            0.973257552228,   119
AT1G69490,    AT5G21110,            -0.972753757359,   120
AT2G30340,    AT4G36700,            -0.972682665224,   121
AT1G34190,    AT3G25185,            -0.972483309613,   122
AT1G34670,    AT1G35860,            0.972327406845,   123
AT1G76890,    AT4G26150,            -0.972316628145,   124
AT1G74480,    AT1G19610,            0.972292717919,   125
AT1G69780,    AT2G04640,            -0.97229101259,   126
AT1G68320,    AT5G43450,            -0.972199074276,   127
AT2G01940,    AT1G01030,            -0.972160430441,   128
AT1G25550,    AT3G58230,            -0.972132092178,   129
AT2G03500,    AT4G09940,            -0.97212038837,   130
AT1G68670,    AT1G56600,            0.972109508148,   131
AT1G79580,    AT5G25180,            0.971982813377,   132
AT1G49480,    AT3G12470,            -0.971932903077,   133
AT1G43700,    AT5G30820,            -0.971922351368,   134
AT1G76890,    AT5G56870,            0.971863847965,   135
AT2G01940,    AT5G29584,            -0.971854436611,   136
AT1G19210,    AT3G55980,            0.971842353714,   137
AT1G01720,    AT4G23180,            0.971728535144,   138
AT2G02070,    AT1G29080,            0.971724790712,   139
AT1G77920,    AT5G19110,            -0.971688968844,   140
AT1G76890,    AT5G44130,            0.971670220636,   141
AT1G18330,    AT2G38510,            0.971510011649,   142
AT1G69180,    AT1G61940,            0.971495053208,   143
AT1G19210,    AT1G76650,            0.971292166183,   144
AT1G32870,    AT4G16460,            -0.971220029659,   145
AT2G23290,    AT5G26615,            -0.971205135928,   146
AT1G65910,    AT3G50270,            0.971167262988,   147
AT1G68320,    ATMG00880,            0.971008855028,   148
AT2G22430,    AT1G05370,            0.970919782374,   149
AT1G78700,    AT1G12630,            0.970903632268,   150
AT1G08320,    AT1G31920,            0.970821782151,   151
AT1G25550,    AT3G42590,            0.970782854263,   152
AT1G29160,    AT5G28630,            -0.970771399238,   153
AT2G30250,    AT3G10500,            0.970709087817,   154
AT1G29280,    AT1G48220,            -0.970706237657,   155
AT1G34180,    AT3G24050,            -0.970529015634,   156
AT2G01930,    AT4G26540,            0.970522949498,   157
AT2G04038,    AT4G18920,            0.970502190256,   158
AT1G19850,    AT4G24150,            0.97048081698,   159
AT2G03340,    AT5G45340,            -0.970407836919,   160
AT1G72740,    AT5G15250,            -0.970252853315,   161
AT1G51700,    AT1G28300,            0.970211433257,   162
AT1G19210,    AT1G17420,            0.970193713063,   163
AT2G23340,    AT1G69260,            -0.970111799237,   164
AT1G51700,    AT1G73800,            0.970091094466,   165
AT2G23290,    AT4G19730,            0.970072073198,   166
AT1G77920,    AT4G30460,            -0.969806070051,   167
AT1G80840,    AT1G61810,            0.969783897858,   168
AT1G12260,    AT1G51805,            -0.969729463497,   169
AT1G16490,    AT1G47360,            0.969637067675,   170
AT1G68670,    AT1G61410,            0.969602898366,   171
AT1G44830,    AT5G54960,            -0.969493493672,   172
AT1G33240,    AT1G73510,            0.969448021589,   173
AT1G13260,    AT2G32270,            0.969163429487,   174
AT1G33240,    AT5G26270,            -0.969087086792,   175
AT1G79580,    AT3G46170,            -0.969062672691,   176
AT1G18330,    AT3G13540,            0.969038570905,   177
AT1G34190,    AT1G21130,            0.969036941941,   178
AT2G24430,    AT1G18250,            0.968940500307,   179
AT1G71450,    AT1G73050,            -0.968706688106,   180
AT1G49010,    AT2G14560,            0.968649987643,   181
AT2G22540,    AT2G43290,            0.968618891631,   182
AT1G44830,    AT2G21660,            -0.968543469102,   183
AT1G13260,    AT3G20400,            0.968441755207,   184
AT1G25340,    AT3G62640,            0.968431589804,   185
AT2G22540,    AT5G37770,            0.968424294892,   186
AT1G19850,    AT5G06900,            0.968300817566,   187
AT2G23320,    AT4G28085,            0.968286680168,   188
AT1G02250,    AT2G26880,            0.968073024356,   189
AT1G65910,    AT5G62920,            -0.967926940023,   190
AT1G51700,    AT1G27620,            -0.96773081629,   191
AT1G74650,    AT2G44940,            -0.967377747851,   192
AT1G80840,    AT5G64905,            0.967355497886,   193
AT1G36060,    AT4G22020,            -0.96724682354,   194
AT1G68320,    AT4G17280,            -0.967208860711,   195
AT2G31230,    AT2G40330,            0.967207118241,   196
AT1G69780,    AT3G42160,            0.967188224819,   197
AT2G01060,    AT2G45560,            -0.967168966681,   198
AT1G29860,    AT3G48360,            -0.967161631624,   199
AT1G22810,    AT2G35715,            0.967154246152,   200
AT1G20910,    AT2G23860,            -0.967152349894,   201
AT2G23320,    AT3G50900,            0.967125579753,   202
AT1G51700,    AT5G52750,            0.967098547302,   203
AT1G06180,    AT5G26625,            0.966974002015,   204
AT1G34180,    AT4G31630,            -0.966946032674,   205
AT1G29860,    AT5G05340,            0.966925357093,   206
AT1G32150,    AT3G13130,            0.966751920076,   207
AT1G75240,    AT1G32670,            0.966540692466,   208
AT2G20400,    AT2G07730,            -0.966537797038,   209
AT1G76890,    AT1G49870,            -0.966524149802,   210
AT1G01720,    AT4G36655,            0.966493750203,   211
AT1G75240,    AT1G06020,            -0.966416393003,   212
AT1G19210,    AT1G20823,            0.966291981025,   213
AT1G29160,    AT3G16800,            -0.966082934014,   214
AT1G53170,    AT2G22430,            0.966054260518,   215
AT2G01930,    AT3G06630,            -0.966040705623,   216
AT1G69180,    AT1G09530,            -0.965942234258,   217
AT1G27730,    AT4G39070,            -0.965752606396,   218
AT1G52150,    AT2G15050,            0.965673152471,   219
AT1G76890,    AT4G01460,            -0.965599763505,   220
AT1G19850,    AT5G52890,            0.965461838683,   221
AT2G03500,    AT5G57310,            0.96544641739,   222
AT1G18330,    AT5G53520,            -0.965420614242,   223
AT1G64620,    AT3G16550,            -0.965367982545,   224
AT1G72740,    AT3G56610,            -0.96531817459,   225
