regulator,    target,    score,    rank
AT1G19850,    AT1G15045,            -0.993456431997,   1
AT2G30340,    AT4G05600,            0.99246072682,   2
AT1G03840,    AT2G13720,            0.992157062013,   3
AT1G75240,    AT4G07515,            0.991553796079,   4
AT1G29280,    AT3G30650,            0.991366419239,   5
AT1G50640,    AT4G25410,            0.991270800061,   6
AT1G34190,    AT5G09430,            -0.991259314274,   7
AT1G22070,    AT5G54470,            -0.990171215513,   8
AT1G32150,    AT5G23030,            0.988816102743,   9
AT1G32150,    AT3G21720,            -0.98854889999,   10
AT1G32150,    AT1G03870,            0.988059661423,   11
AT2G20110,    AT5G21030,            -0.987511830896,   12
AT1G32150,    AT1G62480,            0.986251651424,   13
AT1G34370,    AT1G08430,            0.985731426245,   14
AT1G19000,    AT5G46370,            -0.985675026362,   15
AT1G44830,    AT3G30290,            -0.985437894258,   16
AT1G74650,    AT1G07880,            0.985413260897,   17
AT2G30250,    AT5G62420,            -0.98528677906,   18
AT1G14687,    AT5G12270,            -0.984907640191,   19
AT1G22810,    AT4G14380,            0.984841382078,   20
AT1G76420,    AT5G52320,            -0.984443209686,   21
AT1G69010,    AT4G19170,            0.983773601762,   22
AT1G14687,    AT2G03340,            -0.983730398549,   23
AT1G68670,    AT5G05430,            -0.983695920359,   24
AT1G19000,    AT5G20330,            0.983675540123,   25
AT1G34670,    AT3G13240,            -0.983459662165,   26
AT1G77920,    AT3G44950,            0.9833274698,   27
AT1G08320,    AT3G42710,            0.983284707724,   28
AT1G27730,    AT2G16730,            0.983103404123,   29
AT1G28470,    AT3G08770,            0.983064112768,   30
AT1G76420,    AT1G19320,            0.982967565978,   31
AT1G22810,    AT3G13660,            0.982861064713,   32
AT2G18350,    AT5G05390,            -0.982358967008,   33
AT2G03500,    AT3G01830,            -0.982326331776,   34
AT1G44830,    AT4G00180,            -0.982203155051,   35
AT1G30490,    AT1G68450,            0.982057527908,   36
AT2G02070,    AT5G05900,            0.982017175925,   37
AT1G08320,    AT2G02950,            -0.981573442068,   38
AT1G74650,    AT4G16230,            0.981408063283,   39
AT1G69180,    AT1G71390,            -0.981407421479,   40
AT1G50640,    AT4G38770,            -0.981345169258,   41
AT1G22810,    AT1G70460,            0.981114647358,   42
AT1G32150,    AT1G04040,            0.981102175266,   43
AT1G12630,    AT4G37160,            0.980973800514,   44
AT1G18330,    AT2G14450,            0.980915975889,   45
AT1G32150,    AT3G61300,            0.980845494203,   46
AT2G18380,    AT5G66650,            -0.980580932712,   47
AT2G03500,    AT1G17230,            0.980214569295,   48
AT1G77920,    AT2G27080,            -0.98012867823,   49
AT1G30490,    AT4G39000,            -0.979954933952,   50
AT2G01060,    AT1G48390,            -0.979909700498,   51
AT1G32150,    AT4G29020,            -0.979678710765,   52
AT1G72740,    AT1G74890,            -0.979495550196,   53
AT1G09540,    AT1G49250,            -0.979300018729,   54
AT2G01940,    AT4G11480,            0.979199315052,   55
AT1G19000,    AT3G55840,            0.979117013213,   56
AT2G01060,    AT2G27240,            0.979093097787,   57
AT1G28470,    AT3G28510,            0.979087326516,   58
AT1G32150,    AT3G16240,            0.979037839504,   59
AT2G22430,    AT4G18290,            -0.978885772029,   60
AT1G32150,    AT4G09990,            0.978730019157,   61
AT1G19210,    AT1G02540,            -0.97871130326,   62
AT1G22810,    AT5G56880,            0.978628754967,   63
AT1G01720,    AT5G52100,            0.978546620815,   64
AT1G20980,    AT1G49570,            0.978524032727,   65
AT1G78700,    AT2G38760,            0.978374459795,   66
AT1G32150,    AT4G30320,            0.978109995744,   67
AT1G30490,    AT4G38690,            -0.977945146501,   68
AT1G13260,    AT1G50530,            -0.977925454916,   69
AT1G01060,    AT4G33980,            -0.977886727352,   70
AT1G32150,    AT3G47790,            -0.977587114549,   71
AT1G68320,    AT2G45680,            -0.977555494452,   72
AT1G70920,    AT2G14540,            -0.977426542708,   73
AT1G12260,    AT1G05990,            0.977328477822,   74
AT1G33240,    AT4G13195,            -0.977078723966,   75
AT1G32150,    AT2G23410,            0.977071944684,   76
AT2G23320,    AT1G14580,            -0.97703701912,   77
AT2G24430,    AT2G43880,            -0.977035517688,   78
AT2G30250,    AT4G37840,            0.976878317416,   79
AT2G23320,    AT4G13690,            -0.976771955813,   80
AT1G19210,    AT5G40920,            -0.976558968851,   81
AT1G52880,    AT1G30850,            -0.976495634065,   82
AT1G19210,    AT1G64640,            0.97646795387,   83
AT1G20980,    AT4G12270,            -0.976441708102,   84
AT2G02080,    AT2G24880,            -0.976420166907,   85
