regulator,    target,    score,    rank
AT1G19850,    AT1G15045,            -0.997007185551,   1
AT1G03840,    AT2G13720,            0.995582058427,   2
AT1G29280,    AT3G30650,            0.99525851867,   3
AT1G75240,    AT4G07515,            0.995202368928,   4
AT1G34190,    AT5G09430,            -0.994631374416,   5
AT1G50640,    AT4G25410,            0.994454270222,   6
AT1G22070,    AT5G54470,            -0.994041141256,   7
AT2G30340,    AT4G05600,            0.993851152324,   8
AT1G32150,    AT5G23030,            0.993301262415,   9
AT1G32150,    AT1G03870,            0.99231650565,   10
AT1G32150,    AT3G21720,            -0.991981156428,   11
AT2G20110,    AT5G21030,            -0.991657248207,   12
AT1G34370,    AT1G08430,            0.990380897683,   13
AT1G74650,    AT1G07880,            0.990263612676,   14
AT1G32150,    AT1G62480,            0.990154715643,   15
AT2G30250,    AT5G62420,            -0.989956317623,   16
AT1G22810,    AT4G14380,            0.98995307345,   17
AT1G19000,    AT5G46370,            -0.989688604499,   18
AT1G44830,    AT3G30290,            -0.989641496375,   19
AT1G76420,    AT5G52320,            -0.989092686449,   20
AT1G34670,    AT3G13240,            -0.988894884416,   21
AT1G14687,    AT5G12270,            -0.98869764285,   22
AT1G22810,    AT3G13660,            0.988671683185,   23
AT1G14687,    AT2G03340,            -0.988586394363,   24
AT1G08320,    AT3G42710,            0.98847054483,   25
AT1G68670,    AT5G05430,            -0.988365055915,   26
AT1G69010,    AT4G19170,            0.988277520079,   27
AT1G19000,    AT5G20330,            0.988217756125,   28
AT1G27730,    AT2G16730,            0.988036604184,   29
AT1G28470,    AT3G08770,            0.987975827853,   30
AT1G77920,    AT3G44950,            0.987776157533,   31
AT1G76420,    AT1G19320,            0.987765007408,   32
AT2G18350,    AT5G05390,            -0.987412577628,   33
AT2G03500,    AT3G01830,            -0.987398177374,   34
AT2G02070,    AT5G05900,            0.987077159942,   35
AT1G44830,    AT4G00180,            -0.986971653203,   36
AT1G30490,    AT1G68450,            0.986947503769,   37
AT1G74650,    AT4G16230,            0.98678219184,   38
AT1G69180,    AT1G71390,            -0.986581710851,   39
AT1G32150,    AT1G04040,            0.986443277928,   40
AT1G08320,    AT2G02950,            -0.986337421657,   41
AT1G22810,    AT1G70460,            0.98620534848,   42
AT1G12630,    AT4G37160,            0.985968024721,   43
AT1G32150,    AT3G61300,            0.985713703586,   44
AT1G50640,    AT4G38770,            -0.985625570199,   45
AT2G18380,    AT5G66650,            -0.985571345979,   46
AT1G77920,    AT2G27080,            -0.985189087042,   47
AT1G30490,    AT4G39000,            -0.985141961378,   48
AT2G01940,    AT4G11480,            0.985118532391,   49
AT2G01060,    AT1G48390,            -0.985073289997,   50
AT1G18330,    AT2G14450,            0.984903204843,   51
AT2G03500,    AT1G17230,            0.984881837625,   52
