regulator,    target,    score,    rank
AT1G28470,    AT4G20790,            0.996350615548,   1
AT1G19850,    AT1G77240,            0.995164108153,   2
AT1G25550,    AT2G23400,            -0.994949038578,   3
AT2G02820,    AT3G56230,            0.994798850705,   4
AT1G19850,    AT1G01530,            0.9945185077,   5
AT1G12630,    AT1G35200,            -0.994482202687,   6
AT1G77200,    AT4G03720,            0.994192023459,   7
AT1G69780,    AT2G39040,            0.993057340151,   8
AT1G69780,    AT1G12080,            0.992864674746,   9
AT2G30340,    AT1G09400,            -0.992577316127,   10
AT1G52880,    AT2G01200,            0.991745200351,   11
AT2G24430,    AT1G26390,            0.991705838567,   12
AT1G51700,    AT5G35770,            0.991538825369,   13
AT2G02080,    AT4G31230,            -0.991482599083,   14
AT2G24430,    AT3G19430,            -0.991304007803,   15
AT2G02820,    AT4G26320,            0.991186474308,   16
AT1G55110,    AT3G29430,            -0.990584213063,   17
AT2G18350,    AT5G35510,            0.990504009382,   18
AT1G12630,    AT1G68700,            -0.990477015895,   19
AT1G01060,    AT5G25140,            -0.990372094141,   20
AT2G24430,    AT4G34580,            -0.989966491006,   21
AT2G02080,    AT1G07330,            -0.989665366334,   22
AT2G18380,    AT5G64590,            0.989449186732,   23
AT2G03500,    AT1G79580,            0.989127697557,   24
AT1G77920,    AT5G08000,            0.989105246265,   25
AT2G18350,    AT4G02310,            0.989055247983,   26
AT1G69780,    AT4G01140,            0.988960910326,   27
AT1G28160,    AT3G13784,            -0.988828440625,   28
AT2G18380,    AT4G13480,            0.988817009551,   29
AT1G69780,    AT5G04120,            0.988654674117,   30
AT1G46768,    AT1G06980,            -0.988634122469,   31
AT1G01060,    AT3G07650,            -0.988598373001,   32
AT2G28810,    AT4G30320,            -0.988534467993,   33
AT1G69490,    AT1G12480,            0.988388126354,   34
AT2G01060,    AT4G14020,            0.988261955557,   35
AT1G12260,    AT1G10810,            0.987960980898,   36
AT1G52150,    AT2G29220,            0.987870735021,   37
AT2G20400,    AT1G14490,            0.987634684591,   38
AT2G23320,    AT3G54150,            0.987608973397,   39
AT1G08320,    AT3G28160,            0.987251491439,   40
AT2G01060,    AT4G15630,            0.98709626456,   41
AT1G74840,    AT1G76590,            0.986730487297,   42
AT2G02820,    AT3G18200,            0.986686948908,   43
AT1G34180,    AT3G47130,            0.98668490449,   44
AT1G74840,    AT1G61930,            -0.986167036227,   45
AT1G13260,    AT2G25900,            0.986023057457,   46
AT2G23340,    AT1G66090,            0.985876679543,   47
AT1G12260,    AT4G01630,            0.985867144318,   48
AT1G12630,    AT5G55350,            -0.985782791525,   49
AT1G16490,    AT2G13720,            0.985736579548,   50
AT2G31230,    AT4G08780,            0.98562282766,   51
AT1G79580,    AT2G30925,            0.985588571501,   52
AT1G03840,    AT3G04070,            -0.985471330258,   53
AT1G69780,    AT1G12600,            0.985192971376,   54
AT2G22430,    AT4G27657,            0.984765179602,   55
