regulator,    target,    score,    rank
AT1G68320,    AT2G16005,            0.998023108571,   1
AT1G53230,    AT5G50160,            0.996591723693,   2
AT1G03840,    AT3G57770,            -0.996350216577,   3
AT1G01720,    AT2G41650,            -0.996177651982,   4
AT1G19000,    AT4G01920,            -0.996130143709,   5
AT1G30650,    AT3G30610,            0.995870186806,   6
AT2G02080,    AT4G39630,            -0.99583044159,   7
AT1G79580,    AT1G64560,            -0.995653781985,   8
AT1G01720,    AT1G23410,            -0.995541547552,   9
AT1G20910,    AT3G17160,            0.995414480496,   10
AT2G28810,    AT1G73780,            -0.995412071709,   11
AT1G19210,    AT3G53250,            0.995341520955,   12
AT1G01720,    AT4G25340,            -0.995179271268,   13
AT2G22540,    AT2G02690,            -0.995004504003,   14
AT1G80840,    AT4G02250,            0.994972137064,   15
AT2G02080,    AT4G27830,            0.994948153868,   16
AT1G19210,    AT2G22960,            -0.994946326463,   17
AT2G03340,    AT5G07310,            0.994891952856,   18
AT1G30210,    AT1G33340,            -0.994783766118,   19
AT2G02820,    AT2G21185,            0.994499329913,   20
AT1G34670,    AT1G54540,            0.99445605988,   21
AT1G68670,    AT2G14860,            -0.994437190168,   22
AT1G33240,    AT2G30240,            0.994292470652,   23
AT1G65910,    AT3G26210,            -0.994176973263,   24
AT1G55110,    AT2G05850,            0.994154154612,   25
AT1G69010,    AT1G72890,            0.994143041911,   26
AT2G18380,    AT1G51850,            0.994065992326,   27
AT2G02080,    AT1G02370,            -0.99402618008,   28
AT1G51700,    AT3G27785,            0.993992362471,   29
AT1G76420,    AT3G13672,            0.993905053993,   30
AT1G13260,    AT3G46400,            -0.993800672699,   31
AT1G69780,    AT2G22330,            -0.993758090991,   32
AT1G69780,    AT4G21340,            0.993751132967,   33
AT2G04038,    AT4G08300,            0.993739828642,   34
AT1G18330,    AT3G56350,            -0.993739342348,   35
AT1G20980,    AT5G48010,            -0.993678017644,   36
AT1G47655,    AT5G54250,            0.993626179872,   37
AT2G27300,    AT1G25340,            -0.993523478327,   38
AT1G29280,    AT2G47750,            0.993478475227,   39
AT2G01060,    AT5G53200,            0.993367082551,   40
AT1G30490,    AT3G44950,            0.993315655962,   41
AT1G74650,    AT1G17630,            0.993315536375,   42
AT1G02250,    AT1G50090,            -0.993309284677,   43
AT1G53910,    AT4G21820,            -0.993264670456,   44
AT1G49010,    AT2G24660,            -0.993226844561,   45
AT1G20910,    AT3G15990,            -0.99322060094,   46
AT1G52880,    AT1G52560,            0.993209534366,   47
AT1G74650,    AT1G76120,            0.993128551228,   48
AT1G29860,    AT2G11150,            0.993126874368,   49
AT1G52880,    AT2G46270,            0.993053119007,   50
AT1G69780,    AT1G78990,            0.993016737168,   51
AT1G16490,    AT3G51740,            -0.992895099778,   52
AT1G19000,    AT4G31000,            -0.992854956256,   53
AT1G49010,    AT3G49830,            -0.992840076384,   54
