regulator,    target,    score,    rank
AT1G49480,    AT3G15400,            0.432862301354,   1
AT2G28810,    AT1G73780,            -0.418205889349,   2
AT1G01060,    AT2G33080,            -0.396799924978,   3
AT1G64620,    AT5G62140,            0.394775268045,   4
AT1G03840,    AT3G57770,            -0.391037394982,   5
AT2G18060,    AT5G43220,            0.39000962935,   6
AT1G53230,    AT3G61720,            0.385660493582,   7
AT2G26960,    AT3G45910,            -0.378111066798,   8
AT1G79580,    AT5G49770,            0.376165421647,   9
AT1G32150,    AT5G34460,            -0.36981428022,   10
AT1G34670,    AT3G50400,            0.369536323294,   11
AT1G79580,    AT2G04600,            -0.367398482144,   12
AT1G79580,    AT1G37010,            -0.359048287621,   13
AT2G26960,    AT3G45510,            0.356611299977,   14
AT1G79580,    AT3G23330,            0.355065677738,   15
AT2G26960,    AT4G24010,            0.350150409792,   16
AT1G53230,    AT5G07500,            -0.349530250208,   17
AT2G20400,    AT4G05340,            -0.349091847963,   18
AT1G53230,    AT5G50160,            0.345734098363,   19
AT2G26960,    AT5G46270,            -0.345603172587,   20
AT1G79580,    AT1G64560,            -0.345164238947,   21
AT2G18060,    AT5G15830,            0.34231361178,   22
AT1G53230,    AT3G25880,            0.339692052174,   23
AT1G72740,    AT1G67670,            0.336442391526,   24
AT2G18060,    AT2G03110,            -0.336208150955,   25
AT1G63030,    AT3G27780,            -0.335456670176,   26
AT1G68320,    AT2G16005,            0.335228960805,   27
AT1G22810,    AT5G28670,            0.330860578733,   28
AT1G64620,    AT2G25600,            0.325522526968,   29
AT2G02450,    AT1G42697,            -0.324389881729,   30
AT1G30210,    AT1G33340,            -0.323979637164,   31
AT1G79580,    AT3G57250,            -0.322698832816,   32
AT1G69180,    AT5G44400,            0.319232814967,   33
AT1G01060,    AT3G50610,            -0.318544559393,   34
AT2G32460,    AT1G31620,            -0.316975490696,   35
AT1G68320,    AT4G08140,            -0.312713933689,   36
AT2G23320,    AT1G60980,            -0.31205110165,   37
AT2G18060,    AT2G23470,            -0.31106462709,   38
AT2G06200,    AT5G10230,            -0.310962113647,   39
AT1G79580,    AT1G48730,            -0.309105020457,   40
AT1G34670,    AT2G12870,            0.308642928901,   41
AT2G18060,    AT2G38910,            -0.30854828018,   42
AT2G18060,    AT5G02730,            0.308373627277,   43
AT1G64620,    AT3G10120,            -0.308305699365,   44
AT2G26960,    AT5G02300,            -0.307984932019,   45
AT1G79580,    AT1G48660,            -0.306664157063,   46
AT1G34670,    AT5G24940,            0.306381156977,   47
AT2G18060,    AT3G47250,            0.305801384991,   48
AT1G77200,    AT4G04730,            -0.305257314867,   49
AT1G77920,    AT1G10460,            -0.304195707193,   50
AT2G06200,    AT2G07721,            -0.303680513047,   51
AT1G53230,    AT3G55190,            -0.303314412654,   52
AT1G09540,    AT5G63140,            -0.303029828088,   53
AT1G64620,    AT5G06670,            -0.296490763166,   54
AT1G53230,    AT1G03630,            -0.296267888871,   55
AT2G32460,    AT5G52710,            -0.293800197304,   56
AT2G23320,    AT1G35900,            -0.293531666158,   57
AT1G22810,    AT1G15830,            0.293473894459,   58
AT2G02450,    AT1G39350,            0.292842510344,   59
AT1G77200,    AT2G21140,            0.291268075498,   60
AT1G79580,    AT4G11690,            0.290805088713,   61
AT1G69180,    AT4G17695,            -0.290426189988,   62
AT1G01060,    AT4G10990,            0.289035180956,   63
AT1G53230,    AT5G32490,            0.288948595784,   64
AT1G64620,    AT2G06020,            -0.288577189784,   65
AT1G69780,    AT4G21340,            0.287720880838,   66
AT2G20400,    AT3G04410,            0.286402151427,   67
AT2G26960,    AT2G04760,            0.286059151477,   68
AT2G18060,    AT2G39330,            0.285161996864,   69
AT1G01060,    AT2G15070,            0.284787157653,   70
AT1G51700,    AT3G30640,            -0.284163055584,   71
AT1G69180,    AT2G36040,            -0.283073341529,   72
AT1G29280,    AT1G04630,            -0.282685931135,   73
AT1G79580,    AT3G15270,            -0.282437901515,   74
AT2G26960,    AT1G56710,            0.280527174583,   75
AT1G79580,    AT1G35150,            -0.279123556454,   76
AT1G72740,    AT2G04790,            0.278109709739,   77
AT1G79580,    AT2G13150,            -0.276285835698,   78
AT1G53230,    AT1G79100,            -0.27527037519,   79
AT2G18060,    AT2G05160,            0.274543449604,   80
AT2G26960,    AT1G51110,            0.273145618589,   81
AT1G64620,    AT4G13150,            0.273102918749,   82
AT1G69780,    AT1G78990,            0.272703113405,   83
AT1G34670,    AT2G48140,            0.272604857135,   84
AT1G74480,    AT1G35647,            -0.271291698522,   85
AT1G69010,    AT1G27790,            -0.270346784466,   86
AT1G79580,    AT5G07200,            0.268736816453,   87
AT1G64620,    AT1G32980,            0.268645563931,   88
AT1G53230,    AT3G22210,            0.26752518655,   89
AT1G79580,    AT5G57260,            0.265965463631,   90
AT1G63030,    AT5G51250,            -0.265836585522,   91
AT1G29280,    AT2G47750,            0.264399554255,   92
AT1G64620,    AT1G60000,            -0.264077596101,   93
AT1G79580,    AT5G28090,            0.263400451761,   94
AT1G63030,    AT1G32730,            0.263045042862,   95
AT1G63030,    AT1G41900,            -0.263000189485,   96
AT2G23320,    AT4G14280,            0.262243855641,   97
AT2G23320,    AT5G35710,            -0.260480552516,   98
AT1G63030,    AT4G04840,            0.260235577676,   99
AT2G18380,    AT4G31060,            -0.259576309725,   100
AT1G09540,    AT3G04540,            0.258944550401,   101
AT1G68320,    AT5G38320,            -0.257918276849,   102
AT1G53230,    AT1G17840,            -0.256695867356,   103
AT1G72740,    AT3G02500,            0.254246806778,   104
AT1G06850,    AT3G45360,            0.252787034635,   105
AT1G34670,    AT5G07180,            0.251502376874,   106
AT1G79580,    AT3G27620,            0.250061572854,   107
AT1G01060,    AT3G16020,            -0.249695868448,   108
AT1G72740,    AT3G05440,            0.24952731764,   109
AT2G26960,    AT3G52600,            0.249027988442,   110
AT2G20110,    AT5G06710,            0.248619562975,   111
AT1G77200,    AT3G42270,            -0.248000265484,   112
AT1G63030,    AT3G22350,            -0.24758213044,   113
AT1G01720,    AT5G59240,            -0.247460874522,   114
AT1G75240,    AT1G16530,            0.247136357573,   115
AT2G20400,    AT5G66430,            -0.246681607533,   116
AT2G03500,    AT4G29540,            0.246352368583,   117
AT2G26960,    AT3G21340,            0.246249563619,   118
AT2G18060,    AT2G29410,            0.245037629249,   119
AT1G49480,    AT2G28440,            -0.243510378239,   120
AT1G13260,    AT2G31480,            -0.243194169087,   121
AT1G09540,    AT4G28810,            0.242490765725,   122
AT1G63030,    AT1G77340,            0.241961859601,   123
AT1G30490,    AT2G42540,            -0.24141993477,   124
AT2G23320,    AT1G57850,            0.241212681964,   125
AT1G64620,    AT1G68880,            0.241108093182,   126
AT2G18060,    AT3G12720,            0.240599380253,   127
AT1G03840,    AT4G32540,            0.240396472941,   128
AT2G20400,    AT1G03300,            0.240361201343,   129
AT1G77920,    AT3G53320,            -0.240258003373,   130
AT2G23320,    AT4G03640,            0.24011231454,   131
AT2G20400,    AT5G60090,            0.239166895341,   132
AT2G18380,    AT1G60060,            0.239067520403,   133
AT1G01060,    AT4G23960,            -0.238830784314,   134
