regulator,    target,    score,    rank
AT1G34190,    AT1G67670,            0.995578278917,   1
AT1G19210,    AT5G05990,            0.994041288609,   2
AT1G25550,    AT5G67520,            -0.994020850685,   3
AT2G23320,    AT4G02190,            -0.993825813004,   4
AT1G72740,    AT2G36730,            0.9938099179,   5
AT1G77200,    AT4G12000,            -0.993253343807,   6
AT1G19000,    AT1G67980,            -0.992932279797,   7
AT2G24430,    AT3G16220,            0.992931108866,   8
AT2G30250,    AT4G23090,            0.992847303413,   9
AT1G19210,    AT3G49240,            0.992513151303,   10
AT1G72740,    AT3G48120,            0.992447019271,   11
AT1G33240,    AT1G50090,            -0.992405409164,   12
AT1G06180,    AT5G06100,            0.992150874135,   13
AT1G18330,    AT5G10760,            -0.992143291955,   14
AT1G77200,    AT1G17380,            0.992125286889,   15
AT2G01060,    AT2G41040,            0.992087273015,   16
AT1G49010,    AT3G01970,            -0.991912495665,   17
AT1G72740,    AT3G42860,            0.991850709826,   18
AT2G18550,    AT3G57860,            -0.991712259398,   19
AT2G23320,    AT1G21530,            -0.991547566517,   20
AT2G26960,    AT1G31190,            -0.991507150528,   21
AT1G75240,    AT2G27880,            -0.991495798262,   22
AT2G01060,    AT4G01010,            0.991237966913,   23
AT2G01930,    AT3G29792,            -0.991175309509,   24
AT1G02250,    AT2G38350,            0.991144705288,   25
AT1G13260,    AT4G25790,            0.991041159237,   26
AT1G19210,    AT3G12685,            0.991001635859,   27
AT2G15740,    AT2G31770,            0.9909779426,   28
AT2G01060,    AT3G51110,            0.990956227803,   29
AT1G20980,    AT1G56320,            0.990903735226,   30
AT1G69570,    AT1G54700,            0.99088527289,   31
AT2G18550,    AT2G15970,            0.990786573133,   32
AT2G30250,    AT5G62040,            -0.990697843456,   33
AT1G33240,    AT3G47770,            0.990377713845,   34
AT1G13260,    AT4G02270,            0.990367324166,   35
AT1G09540,    AT2G03210,            0.990365183061,   36
AT2G23340,    AT2G29690,            -0.990342438804,   37
AT1G19000,    AT2G34230,            0.990323343683,   38
AT1G72740,    AT1G02475,            0.99021493424,   39
AT1G28160,    AT3G09735,            -0.990187746018,   40
AT1G49480,    AT3G03480,            -0.990122076595,   41
AT2G23340,    AT4G30340,            -0.990026063284,   42
AT1G64620,    AT4G04980,            -0.990004649502,   43
AT2G28810,    AT3G42990,            -0.989924622941,   44
AT1G49480,    AT5G57720,            0.989871140774,   45
AT2G01060,    AT3G19810,            0.98983847735,   46
AT1G34190,    AT4G34290,            -0.989837406927,   47
AT1G22810,    AT1G06680,            0.989834190196,   48
AT1G19000,    AT1G44478,            0.989811055142,   49
AT1G34670,    AT5G41040,            0.989775120775,   50
AT1G19210,    AT5G47640,            -0.98973044393,   51
AT1G49480,    AT5G41310,            0.989660648229,   52
AT1G62300,    AT2G33530,            -0.989585877788,   53
AT2G24430,    AT5G53520,            -0.98956953766,   54
AT2G01940,    AT3G03290,            -0.98956400392,   55
AT1G19210,    AT3G56620,            -0.989529998082,   56
AT1G77200,    AT2G37790,            0.989518102856,   57
AT2G01930,    AT4G11720,            0.989499515032,   58
AT1G19850,    AT5G62330,            0.989497834938,   59
AT1G28470,    AT2G19610,            0.989474867664,   60
AT2G02070,    AT1G13600,            0.989392348935,   61
AT1G72740,    AT4G02790,            0.989375175573,   62
AT1G55110,    AT2G26440,            0.989371728913,   63
AT1G77200,    AT5G26110,            0.989288434955,   64
AT1G72740,    AT1G04940,            0.989259020911,   65
AT2G23340,    AT1G04560,            0.989192472924,   66
AT1G68670,    AT2G36690,            0.989082927191,   67
AT2G01060,    AT3G29185,            0.988969470816,   68
AT2G23290,    AT4G07460,            -0.988955659235,   69
AT2G01060,    AT3G42950,            0.988877853243,   70
AT1G19210,    AT4G00030,            0.988844060313,   71
AT1G19000,    AT4G14680,            -0.988785745709,   72
AT2G01930,    AT3G02060,            -0.988771144041,   73
AT1G77200,    AT3G05130,            0.988666584189,   74
AT1G28160,    AT3G61950,            0.988618367117,   75
AT2G18160,    AT5G59220,            -0.988490576946,   76
AT1G19000,    AT3G20150,            -0.988404635463,   77
AT1G43160,    AT3G14480,            0.988380271242,   78
AT1G69780,    AT1G49220,            0.988318826884,   79
AT1G53910,    AT2G36470,            -0.988233350283,   80
AT1G19210,    AT5G07630,            0.988168860228,   81
AT2G02070,    AT3G05460,            0.988138245736,   82
AT1G52150,    AT1G13920,            -0.988112469849,   83
AT1G18330,    AT2G35260,            -0.988107083559,   84
AT2G23340,    AT5G65100,            0.988014038945,   85
AT2G01060,    AT1G73270,            0.987999414571,   86
AT1G08320,    AT1G47470,            -0.987957333412,   87
