regulator,    target,    score,    rank
AT1G34190,    AT1G67670,            0.998086917242,   1
AT1G19210,    AT5G05990,            0.997961871209,   2
AT1G72740,    AT2G36730,            0.997436453318,   3
AT2G23320,    AT4G02190,            -0.997415207966,   4
AT1G77200,    AT4G12000,            -0.997229883981,   5
AT1G25550,    AT5G67520,            -0.997192577915,   6
AT1G19000,    AT1G67980,            -0.996998168872,   7
AT2G24430,    AT3G16220,            0.996746650415,   8
AT2G30250,    AT4G23090,            0.996325506773,   9
AT1G19210,    AT3G49240,            0.996148451849,   10
AT1G77200,    AT1G17380,            0.995959925184,   11
AT1G18330,    AT5G10760,            -0.995803014924,   12
AT2G01060,    AT2G41040,            0.995728085926,   13
AT1G72740,    AT3G48120,            0.995716189632,   14
AT1G72740,    AT3G42860,            0.995715270651,   15
AT1G49010,    AT3G01970,            -0.995651204174,   16
AT1G33240,    AT1G50090,            -0.995644872844,   17
AT2G26960,    AT1G31190,            -0.995619805079,   18
AT2G18550,    AT3G57860,            -0.995474560824,   19
AT2G23320,    AT1G21530,            -0.995332388794,   20
AT1G13260,    AT4G25790,            0.995299521738,   21
AT1G19210,    AT3G12685,            0.995279314556,   22
AT1G06180,    AT5G06100,            0.995233052884,   23
AT1G20980,    AT1G56320,            0.995154821149,   24
AT2G01060,    AT4G01010,            0.995062953515,   25
AT2G30250,    AT5G62040,            -0.994932983482,   26
AT1G75240,    AT2G27880,            -0.99476300564,   27
AT1G69570,    AT1G54700,            0.994675359132,   28
AT1G02250,    AT2G38350,            0.994640492815,   29
AT2G18550,    AT2G15970,            0.994584280005,   30
AT1G09540,    AT2G03210,            0.994542374594,   31
AT1G64620,    AT4G04980,            -0.994518090964,   32
AT2G28810,    AT3G42990,            -0.994491302925,   33
AT1G13260,    AT4G02270,            0.994475590703,   34
AT1G28160,    AT3G09735,            -0.994469931761,   35
AT2G01060,    AT3G19810,            0.994468316807,   36
AT2G01060,    AT3G51110,            0.994410349943,   37
AT2G01930,    AT3G29792,            -0.994373326564,   38
AT1G19000,    AT2G34230,            0.994355454979,   39
AT1G72740,    AT1G02475,            0.994226072649,   40
AT2G15740,    AT2G31770,            0.994087487753,   41
AT1G77200,    AT2G37790,            0.994067988412,   42
AT1G19000,    AT1G44478,            0.994057607136,   43
AT1G33240,    AT3G47770,            0.994032210525,   44
AT1G19210,    AT5G47640,            -0.993973053785,   45
AT1G19850,    AT5G62330,            0.993833433849,   46
AT1G49480,    AT3G03480,            -0.993821846497,   47
AT1G72740,    AT4G02790,            0.993801024983,   48
AT1G77200,    AT5G26110,            0.993797399401,   49
AT1G19210,    AT4G00030,            0.993775273386,   50
AT2G01930,    AT4G11720,            0.993713871458,   51
AT1G34670,    AT5G41040,            0.993677985847,   52
AT2G01940,    AT3G03290,            -0.9936432256,   53
AT2G23340,    AT2G29690,            -0.993630053706,   54
AT1G34190,    AT4G34290,            -0.993614913883,   55
AT1G28470,    AT2G19610,            0.993592484222,   56
AT1G49480,    AT5G57720,            0.993592162982,   57
AT1G72740,    AT1G04940,            0.993544946362,   58
AT2G01060,    AT3G29185,            0.993410005069,   59
AT2G24430,    AT5G53520,            -0.99340459542,   60
AT2G23340,    AT4G30340,            -0.993344884615,   61
AT1G19210,    AT3G56620,            -0.993341121615,   62
AT1G19210,    AT5G07630,            0.993290651997,   63
AT1G49480,    AT5G41310,            0.993252539783,   64
AT1G22810,    AT1G06680,            0.993247448983,   65
AT2G01060,    AT3G42950,            0.993246347694,   66
AT1G55110,    AT2G26440,            0.99322624393,   67
AT1G62300,    AT2G33530,            -0.99307966023,   68
AT1G19000,    AT3G20150,            -0.993071495888,   69
AT1G28160,    AT3G61950,            0.993055486692,   70
AT2G02070,    AT1G13600,            0.993047294143,   71
AT1G19000,    AT4G14680,            -0.993014840122,   72
AT2G23340,    AT1G04560,            0.993001084649,   73
AT1G69780,    AT1G49220,            0.992803837618,   74
AT1G77200,    AT5G09790,            0.992799487774,   75
AT2G01060,    AT1G73270,            0.992714087288,   76
AT1G77200,    AT3G05130,            0.992686632945,   77
AT1G52150,    AT1G13920,            -0.992646803939,   78
AT2G23290,    AT4G07460,            -0.992630862272,   79
AT2G01930,    AT3G02060,            -0.992599709693,   80
AT1G68670,    AT2G36690,            0.992562787572,   81
AT1G08320,    AT1G47470,            -0.99246273177,   82
AT1G72740,    AT1G20816,            0.992384085699,   83
AT1G18330,    AT2G35260,            -0.992310955906,   84
AT2G18550,    AT5G55010,            0.992304088075,   85
AT2G28810,    AT3G62820,            -0.992276100424,   86
AT1G77200,    AT3G12080,            0.992217060248,   87
AT1G43160,    AT3G14480,            0.992211893745,   88
