regulator,    target,    score,    rank
AT1G16490,    AT2G41590,            0.998156255418,   1
AT2G04038,    AT5G67370,            -0.997789407012,   2
AT1G51140,    AT1G08590,            0.997766829519,   3
AT2G20110,    AT4G29740,            0.997708916498,   4
AT1G80840,    AT1G26530,            0.997646793281,   5
AT1G55110,    AT3G62410,            0.997274961776,   6
AT1G19210,    AT3G17600,            -0.997101022985,   7
AT1G32150,    AT5G37560,            0.996715153633,   8
AT1G49010,    AT3G20770,            0.996647730288,   9
AT1G69010,    AT1G19250,            -0.996606044111,   10
AT2G03500,    AT2G28085,            -0.99654709706,   11
AT1G33240,    AT3G10500,            0.996077052472,   12
AT1G20980,    AT1G60320,            -0.995924893781,   13
AT1G51140,    AT1G09170,            0.99591415088,   14
AT1G64620,    AT1G65940,            0.995881373985,   15
AT2G23320,    AT4G29170,            0.995871408835,   16
AT1G28470,    AT1G22890,            -0.995618959817,   17
AT1G52150,    AT3G47295,            -0.995595032368,   18
AT2G22430,    AT5G46000,            -0.995528232089,   19
AT2G02450,    AT4G07740,            0.995525129382,   20
AT2G28810,    AT5G65230,            0.995489972704,   21
AT1G09540,    AT4G16630,            -0.995441365943,   22
AT1G16490,    AT2G20250,            0.995421056044,   23
AT1G52880,    AT1G08090,            -0.995369078956,   24
AT1G74840,    AT1G12900,            0.995294112495,   25
AT1G13260,    AT1G19890,            0.995249411796,   26
AT1G74650,    AT1G09390,            0.995229106058,   27
AT2G23320,    AT2G32670,            0.995174879248,   28
AT1G64620,    AT1G30470,            0.995124182349,   29
AT1G08320,    AT4G26640,            -0.995089533482,   30
AT1G49480,    AT1G75940,            0.995050575566,   31
AT1G19850,    AT3G01220,            -0.994962233667,   32
AT1G51140,    AT4G14680,            -0.994930901866,   33
AT2G23320,    AT3G16220,            0.994889995885,   34
AT1G51140,    AT4G28703,            -0.994884474829,   35
AT2G23320,    AT1G05950,            0.994878361299,   36
AT1G68200,    AT5G16720,            -0.994861184512,   37
AT2G18060,    AT3G13980,            -0.994761541349,   38
AT2G23340,    AT5G10930,            0.994642798257,   39
AT1G32870,    AT1G05320,            0.994626099654,   40
AT1G28370,    AT3G45530,            -0.994554444422,   41
AT1G72740,    AT5G24910,            -0.994503533406,   42
AT1G72740,    AT3G25440,            0.994483957157,   43
AT2G22430,    AT5G64060,            0.994412835057,   44
AT2G23320,    AT4G12330,            -0.994342419202,   45
AT1G79580,    AT5G12990,            0.994256628022,   46
AT2G23340,    AT3G45960,            -0.994178080365,   47
AT1G19000,    AT1G64110,            -0.994173858635,   48
AT1G19040,    AT3G28420,            -0.994065195923,   49
AT1G76890,    AT5G67480,            0.994054804971,   50
AT1G77920,    AT1G57850,            0.994007037831,   51
AT2G20400,    AT1G69490,            0.99394792899,   52
AT1G19850,    AT4G19520,            -0.993916064306,   53
AT1G20910,    AT1G30135,            0.993852316859,   54
AT1G59640,    AT1G01520,            0.993843323743,   55
AT1G69010,    AT1G53230,            0.993825186549,   56
AT1G55110,    AT2G22330,            0.993823542581,   57
AT1G69780,    AT4G35550,            0.993700058463,   58
AT1G53170,    AT5G67230,            0.993700006064,   59
AT2G23320,    AT5G24330,            0.993653820451,   60
AT1G33240,    AT1G13270,            -0.993591207497,   61
AT1G80840,    AT2G44380,            -0.993567354303,   62
AT2G23320,    AT2G39410,            -0.993531481466,   63
AT2G23340,    AT5G16610,            -0.993497812003,   64
AT2G23320,    AT5G26010,            -0.993494875902,   65
AT1G78700,    AT3G01060,            -0.993430674654,   66
AT1G53170,    AT4G25490,            0.993408248233,   67
AT1G74840,    AT4G13230,            -0.993297250359,   68
AT1G68550,    AT2G46310,            0.993295420359,   69
AT1G52880,    AT1G71160,            0.993243185117,   70
AT1G68200,    AT5G28130,            -0.993155087927,   71
AT1G19000,    AT3G28160,            -0.993152117228,   72
AT2G18550,    AT2G33330,            -0.993124080547,   73
AT1G76890,    AT5G47710,            -0.993085104045,   74
AT1G19850,    AT1G13470,            0.9930625074,   75
AT1G19850,    AT5G54050,            -0.993060180732,   76
AT1G51140,    AT1G12150,            0.993007909569,   77
AT1G30490,    AT3G23090,            -0.992989217498,   78
AT1G09540,    AT4G30170,            0.992916977495,   79
AT1G12630,    AT5G33340,            0.992912438729,   80
AT1G34180,    AT3G20420,            -0.992873588302,   81
AT1G71450,    AT3G10030,            -0.992868698203,   82
AT1G69780,    AT1G71960,            0.99286442491,   83
AT2G02070,    AT2G23290,            0.992858057019,   84
AT1G75390,    AT4G14130,            0.992838130984,   85
AT2G26960,    AT1G43320,            0.992814210578,   86
AT1G69570,    AT5G19260,            0.99280814975,   87
AT1G52150,    AT4G35820,            -0.992788535207,   88
AT1G79580,    AT2G03110,            -0.992742187607,   89
AT2G23320,    AT5G59580,            0.992590840773,   90
AT1G69570,    AT1G69935,            0.992533842037,   91
AT1G47655,    AT1G55200,            0.992508653397,   92
AT1G71450,    AT3G48010,            -0.992482978223,   93
AT1G32870,    AT1G48930,            0.992442825642,   94
