regulator,    target,    score,    rank
AT1G29280,    AT2G14410,            -0.517023862807,   1
AT2G18060,    AT5G49640,            0.503746243683,   2
AT2G18380,    AT4G03153,            0.503196312226,   3
AT2G18060,    AT3G13980,            -0.487607087996,   4
AT1G34180,    AT3G20420,            -0.442377471547,   5
AT2G18380,    AT2G21000,            -0.429099710404,   6
AT2G18060,    AT3G43120,            -0.406088170517,   7
AT1G77920,    AT3G10580,            0.397143546139,   8
AT1G77920,    AT5G27170,            -0.395764762681,   9
AT1G69180,    AT1G73780,            0.380263910214,   10
AT1G12630,    AT3G01970,            -0.379185397355,   11
AT1G29160,    AT5G47610,            -0.378044586449,   12
AT2G18060,    AT3G43860,            0.37462219296,   13
AT1G52150,    AT3G47295,            -0.373247096564,   14
AT1G69010,    AT3G29796,            -0.371240887832,   15
AT2G18060,    AT4G30300,            -0.364143795153,   16
AT1G77920,    AT3G58080,            0.361273341093,   17
AT2G18060,    AT1G41770,            0.356294838214,   18
AT1G75390,    AT4G14130,            0.352702596053,   19
AT2G22430,    AT5G46000,            -0.347076412079,   20
AT2G04038,    AT5G67370,            -0.346728778523,   21
AT2G22430,    AT5G39700,            -0.345755190584,   22
AT1G29160,    AT5G05050,            0.336192618484,   23
AT1G34190,    AT5G51720,            -0.335964878268,   24
AT1G19850,    AT3G01220,            -0.334528239725,   25
AT1G12260,    AT3G12203,            -0.333062608479,   26
AT1G74650,    AT1G13910,            0.331490197343,   27
AT2G02080,    AT5G01440,            -0.328057249247,   28
AT1G12260,    AT4G09540,            0.326988780823,   29
AT1G52880,    AT1G71160,            0.323755277713,   30
AT1G34180,    AT4G07850,            -0.318939476904,   31
AT2G18380,    AT3G59270,            0.31714480369,   32
AT2G18550,    AT4G32800,            -0.30920354026,   33
AT2G18380,    AT3G16040,            0.306823423199,   34
AT1G29280,    AT3G44830,            0.304045981155,   35
AT1G20980,    AT1G60320,            -0.301794572426,   36
AT2G02450,    AT4G07740,            0.301547920681,   37
AT1G52150,    AT1G67635,            0.298171889469,   38
AT2G18060,    AT2G19890,            -0.290167311103,   39
AT1G29160,    AT3G50610,            -0.290134122438,   40
AT1G49010,    AT3G20770,            0.289498742709,   41
AT1G29160,    AT2G44940,            0.289098088712,   42
AT1G12630,    AT1G47350,            -0.28879720168,   43
AT1G02250,    AT3G25130,            -0.286880167601,   44
AT1G77920,    AT2G34315,            0.286080184648,   45
AT1G13260,    AT1G19890,            0.285847818115,   46
AT1G12630,    AT5G33340,            0.285118699826,   47
AT1G71450,    AT3G10030,            -0.284468809333,   48
AT1G12630,    AT5G11320,            0.283770982305,   49
AT1G52150,    AT4G35820,            -0.281678417818,   50
AT2G22430,    AT1G08380,            0.280980242907,   51
AT1G54330,    AT4G28395,            0.280859957432,   52
AT2G01930,    AT3G15170,            -0.280752101902,   53
AT2G22430,    AT5G64060,            0.280597601233,   54
AT2G32460,    AT3G28870,            0.279200136336,   55
AT1G69010,    AT2G29920,            -0.277450391562,   56
AT1G02250,    AT4G21020,            -0.276700157176,   57
AT1G29160,    AT5G04140,            0.276036788598,   58
AT1G72740,    AT3G45940,            -0.275951256463,   59
AT1G49010,    AT2G07110,            -0.274733958372,   60
AT1G74480,    AT1G74180,            -0.274342884408,   61
AT1G19000,    AT1G23570,            0.272773109402,   62
AT1G52150,    AT5G46300,            -0.271205398656,   63
AT1G75390,    AT1G47360,            -0.271138014022,   64
AT1G06180,    AT1G31400,            -0.270798991346,   65
AT1G19040,    AT5G35820,            -0.270604566201,   66
AT1G68200,    AT5G28130,            -0.27029850728,   67
AT1G47655,    AT5G45960,            0.269647008621,   68
AT1G69010,    AT3G02380,            -0.269377191272,   69
AT1G34180,    AT1G05670,            0.269333806277,   70
AT2G18060,    AT3G05600,            -0.269286931659,   71
AT2G28810,    AT2G43530,            -0.26901198729,   72
AT2G03500,    AT3G16600,            0.2683576872,   73
AT1G06180,    AT5G41490,            0.267092359395,   74
AT1G77200,    AT5G51440,            -0.266921593904,   75
AT2G04038,    AT1G62760,            0.26676453806,   76
AT1G20980,    AT1G62763,            -0.266535019159,   77
AT1G52880,    AT5G46590,            0.265988057003,   78
AT2G22540,    AT5G51900,            -0.265205156172,   79
AT1G75390,    AT3G23720,            0.264932092166,   80
