regulator,    target,    score,    rank
AT1G34190,    AT1G62070,            -0.995917039401,   1
AT1G79580,    AT3G01015,            0.994030392937,   2
AT2G02080,    AT2G04020,            0.993964008452,   3
AT1G12260,    AT4G30300,            0.993277315838,   4
AT2G02820,    AT4G03330,            -0.992669784979,   5
AT1G69010,    AT3G20770,            0.99263197601,   6
AT2G23320,    AT4G19570,            -0.992399243306,   7
AT1G69010,    AT4G09900,            0.992050265887,   8
AT1G69780,    AT3G21960,            -0.992022941318,   9
AT2G30340,    AT2G30300,            0.991924160988,   10
AT1G13260,    AT5G52390,            -0.991805744716,   11
AT1G34670,    AT1G71400,            0.991740822639,   12
AT1G20910,    AT3G48650,            -0.991576115374,   13
AT2G02820,    AT3G46650,            0.991549517521,   14
AT1G13260,    AT2G02100,            -0.991315195681,   15
AT1G43160,    AT5G58860,            -0.991287091911,   16
AT1G06180,    AT3G18990,            -0.991181163791,   17
AT1G65910,    AT1G49750,            0.990977458055,   18
AT1G30490,    AT2G25230,            -0.990662994719,   19
AT1G30490,    AT1G17910,            0.990617912542,   20
AT1G43700,    AT1G55430,            -0.990603128764,   21
AT1G69570,    AT1G31210,            0.990545079921,   22
AT1G33240,    AT5G64510,            -0.990453339031,   23
AT1G53910,    AT5G06960,            0.990357836537,   24
AT2G23320,    AT1G23320,            -0.990274373525,   25
AT1G49480,    AT3G44970,            0.990268072615,   26
AT2G18350,    AT4G11660,            -0.990083858125,   27
AT1G71450,    AT5G14130,            0.990026371218,   28
AT1G19850,    AT2G24080,            0.98997255017,   29
AT2G18060,    AT3G04420,            -0.989920922599,   30
AT2G30340,    AT4G34160,            0.9897389269,   31
AT1G18330,    AT1G16030,            0.989709088541,   32
AT1G20910,    AT5G48800,            -0.989688699092,   33
AT1G51700,    AT1G05880,            -0.989676385761,   34
AT2G24430,    AT4G28430,            0.989661069816,   35
AT1G29160,    AT5G02460,            0.989633858345,   36
AT1G74840,    AT4G34220,            0.98952405542,   37
AT2G23320,    AT4G23810,            0.989521931771,   38
AT1G72740,    AT5G39440,            -0.98947687314,   39
AT1G49480,    AT2G26960,            0.989428979121,   40
AT2G03500,    AT5G25810,            0.989397834599,   41
AT1G36060,    AT2G40250,            0.989288568078,   42
AT1G50640,    AT3G23890,            0.989245735174,   43
AT1G50640,    AT4G20250,            0.989194960525,   44
AT2G01060,    AT3G17520,            -0.98894731464,   45
AT1G28470,    AT1G11530,            -0.988919858819,   46
AT1G44830,    AT3G19430,            0.988886865057,   47
AT2G23320,    AT4G18250,            0.988689488187,   48
AT1G18330,    AT1G51300,            -0.988685753506,   49
AT1G19850,    AT2G15780,            0.988677515285,   50
AT2G20400,    AT1G69970,            -0.988507587051,   51
AT1G34670,    AT2G25160,            -0.98843067957,   52
AT2G30250,    AT5G44410,            -0.988388490161,   53
AT2G23320,    AT5G42490,            -0.988371422178,   54
AT1G53230,    AT4G17245,            -0.988357393874,   55
AT1G53910,    AT1G56520,            0.988268386843,   56
AT1G33240,    AT5G43800,            0.988113728047,   57
AT2G02820,    AT5G52950,            -0.988078396831,   58
AT2G01060,    AT4G32730,            0.987946590213,   59
AT2G22430,    AT3G62040,            0.987843859551,   60
AT1G68320,    AT1G31320,            0.987786043541,   61
AT1G12630,    AT4G15290,            0.987715392765,   62
AT1G09540,    AT1G66380,            0.987592627491,   63
AT1G75240,    AT2G45280,            -0.987590946226,   64
AT2G31230,    AT1G20350,            -0.987559797242,   65
AT2G23290,    AT1G43140,            0.987556513094,   66
AT1G32870,    AT5G07060,            -0.987518152178,   67
AT2G01060,    AT4G09950,            0.987513425289,   68
AT1G74480,    AT5G48750,            -0.987457816842,   69
AT1G64620,    AT3G26490,            0.987415452965,   70
AT1G20910,    AT2G05640,            -0.987367872075,   71
AT1G71450,    AT2G32830,            -0.987268811678,   72
AT2G22430,    AT5G24660,            0.9871642977,   73
AT1G33240,    AT1G21950,            -0.987142504976,   74
AT2G30340,    AT1G28290,            0.987022103428,   75
AT1G32150,    AT3G13784,            0.986984682463,   76
AT1G14687,    AT5G52850,            -0.986948564596,   77
AT1G14687,    AT3G21860,            0.986914284784,   78
AT2G28810,    AT2G28560,            -0.986836337184,   79
AT1G47655,    AT5G65130,            0.986805718865,   80
AT1G32150,    AT3G23340,            -0.986645596834,   81
AT1G08320,    AT3G60790,            -0.986532972361,   82
AT1G32150,    AT5G10580,            -0.986516194183,   83
AT1G51140,    AT3G19710,            -0.98649273758,   84
AT2G28810,    AT1G80080,            -0.986455059186,   85
AT1G33240,    AT4G39190,            -0.986352431471,   86
AT1G19000,    AT5G47900,            0.98631059167,   87
AT1G68550,    AT4G31730,            0.986279181523,   88
AT1G74650,    AT2G28930,            -0.986247820892,   89
AT1G69010,    AT3G17180,            -0.986230106615,   90
AT1G34670,    AT5G22270,            0.98608639465,   91
AT2G01930,    AT5G40030,            -0.986021299964,   92
AT1G16490,    AT4G04490,            -0.985877388416,   93
AT1G01720,    AT3G29590,            0.985795358843,   94
AT1G16490,    AT3G05360,            -0.985769011923,   95
AT1G53910,    AT1G27460,            -0.985748498229,   96
AT1G36060,    AT4G34260,            0.985736905807,   97
AT1G25550,    AT5G17260,            0.985707985324,   98
AT1G77920,    AT5G48850,            0.985693008063,   99
AT1G19000,    AT1G78970,            -0.985676299113,   100
AT1G43160,    AT2G22430,            0.985647533258,   101
