regulator,    target,    score,    rank
AT1G34190,    AT1G62070,            -0.998833511658,   1
AT2G02080,    AT2G04020,            0.997051735209,   2
AT1G79580,    AT3G01015,            0.99698375657,   3
AT1G12260,    AT4G30300,            0.996900333956,   4
AT2G02820,    AT4G03330,            -0.996280460999,   5
AT1G69010,    AT3G20770,            0.996216010786,   6
AT2G23320,    AT4G19570,            -0.996037991249,   7
AT1G69010,    AT4G09900,            0.99595006199,   8
AT1G69780,    AT3G21960,            -0.995495908288,   9
AT1G34670,    AT1G71400,            0.99534086483,   10
AT2G30340,    AT2G30300,            0.995296689309,   11
AT2G02820,    AT3G46650,            0.995215087362,   12
AT1G20910,    AT3G48650,            -0.995212478493,   13
AT1G13260,    AT5G52390,            -0.99510723197,   14
AT1G69570,    AT1G31210,            0.995073436722,   15
AT1G13260,    AT2G02100,            -0.995021999268,   16
AT1G06180,    AT3G18990,            -0.994848204067,   17
AT1G43160,    AT5G58860,            -0.994660638605,   18
AT1G33240,    AT5G64510,            -0.99457753747,   19
AT1G30490,    AT2G25230,            -0.994575874283,   20
AT1G30490,    AT1G17910,            0.994360878577,   21
AT1G53910,    AT5G06960,            0.994340896673,   22
AT1G65910,    AT1G49750,            0.994323038557,   23
AT1G18330,    AT1G16030,            0.99431451354,   24
AT1G71450,    AT5G14130,            0.994132986414,   25
AT2G23320,    AT1G23320,            -0.993884330917,   26
AT1G51700,    AT1G05880,            -0.993788562986,   27
AT1G43700,    AT1G55430,            -0.99376196316,   28
AT1G49480,    AT2G26960,            0.99373240588,   29
AT1G49480,    AT3G44970,            0.993718390279,   30
AT1G74840,    AT4G34220,            0.993546309411,   31
AT1G20910,    AT5G48800,            -0.993516160324,   32
AT2G23320,    AT4G23810,            0.993484778032,   33
AT2G18060,    AT3G04420,            -0.99345549295,   34
AT1G28470,    AT1G11530,            -0.993385548407,   35
AT2G24430,    AT4G28430,            0.993376019682,   36
AT1G36060,    AT2G40250,            0.993363861818,   37
AT1G72740,    AT5G39440,            -0.993274785015,   38
AT1G19850,    AT2G24080,            0.993242306762,   39
AT2G30340,    AT4G34160,            0.993207045244,   40
AT1G19850,    AT2G15780,            0.993154405033,   41
AT2G03500,    AT5G25810,            0.993111684349,   42
AT2G23320,    AT5G42490,            -0.992985437751,   43
AT2G18350,    AT4G11660,            -0.992975644185,   44
AT1G29160,    AT5G02460,            0.992843842556,   45
AT1G50640,    AT3G23890,            0.992806506635,   46
AT2G01060,    AT3G17520,            -0.992792154863,   47
AT2G22430,    AT3G62040,            0.992764211457,   48
AT1G18330,    AT1G51300,            -0.992710203993,   49
AT1G50640,    AT4G20250,            0.992696530492,   50
AT1G44830,    AT3G19430,            0.992640579676,   51
AT1G68320,    AT1G31320,            0.992565800586,   52
AT2G20400,    AT1G69970,            -0.992417994124,   53
AT1G53230,    AT4G17245,            -0.992376955515,   54
AT2G30250,    AT5G44410,            -0.992330136441,   55
AT1G75240,    AT2G45280,            -0.992320372178,   56
AT1G53910,    AT1G56520,            0.992311971734,   57
AT2G01060,    AT4G32730,            0.99231173015,   58
AT1G09540,    AT1G66380,            0.992200003601,   59
AT2G31230,    AT1G20350,            -0.992199246917,   60
AT2G02820,    AT5G52950,            -0.992193984401,   61
AT1G33240,    AT5G43800,            0.992190876127,   62
AT2G23320,    AT4G18250,            0.992141817203,   63
AT1G12630,    AT4G15290,            0.992106002804,   64
AT1G33240,    AT1G21950,            -0.992050526367,   65
AT1G34670,    AT2G25160,            -0.992036160658,   66
AT2G23290,    AT1G43140,            0.991849278751,   67
AT1G32870,    AT5G07060,            -0.991767442259,   68
AT1G74480,    AT5G48750,            -0.99175921158,   69
AT2G22430,    AT5G24660,            0.991704389317,   70
AT1G14687,    AT3G21860,            0.99158166824,   71
AT1G20910,    AT2G05640,            -0.991414823293,   72
AT1G64620,    AT3G26490,            0.991410424911,   73
AT2G28810,    AT1G80080,            -0.991377764525,   74
AT1G14687,    AT5G52850,            -0.991362068841,   75
AT1G71450,    AT2G32830,            -0.991346706487,   76
AT2G01060,    AT4G09950,            0.991220499289,   77
AT1G51140,    AT3G19710,            -0.991052394774,   78
AT1G08320,    AT3G60790,            -0.991024388842,   79
AT1G69010,    AT3G17180,            -0.991016228597,   80
AT2G28810,    AT2G28560,            -0.991007894169,   81
AT2G01930,    AT5G40030,            -0.990952151051,   82
AT1G32150,    AT5G10580,            -0.990942971646,   83
AT1G32150,    AT3G23340,            -0.990917808448,   84
AT1G33240,    AT4G39190,            -0.990880813946,   85
AT1G34670,    AT5G22270,            0.990831787917,   86
AT1G47655,    AT5G65130,            0.990759112153,   87
AT1G32150,    AT3G13784,            0.990745289524,   88
AT1G19000,    AT5G47900,            0.990730982758,   89
AT1G34180,    AT3G18450,            -0.990660962232,   90
AT2G30340,    AT1G28290,            0.990659462302,   91
AT1G68550,    AT4G31730,            0.990580549185,   92
AT1G16490,    AT3G05360,            -0.990576178009,   93
AT1G77920,    AT5G48850,            0.990474299748,   94
AT1G74650,    AT2G28930,            -0.990366812959,   95
AT1G25550,    AT5G17260,            0.990355444208,   96
AT1G53910,    AT1G27460,            -0.990283625123,   97
AT1G36060,    AT4G34260,            0.990260263559,   98
AT1G53910,    AT2G33680,            -0.990133405977,   99
AT1G29280,    AT4G04440,            -0.990080983112,   100
AT1G43160,    AT2G22430,            0.990011904077,   101
AT1G64620,    AT5G27900,            -0.990004820528,   102
AT1G19000,    AT1G78970,            -0.990000212504,   103
AT1G01720,    AT3G29590,            0.989983491957,   104
AT1G16490,    AT4G04490,            -0.98997966512,   105
AT2G01060,    AT1G64590,            -0.989950690149,   106
AT1G77200,    AT3G56670,            0.989917555633,   107
AT1G34670,    AT1G05450,            0.98980829112,   108
AT1G32870,    AT2G42560,            -0.989792631843,   109
AT1G16490,    AT5G24080,            -0.989701966186,   110
AT1G16490,    AT1G34140,            -0.989683562547,   111
AT1G12260,    AT2G15080,            -0.989638970903,   112
AT1G69180,    AT3G50410,            -0.989631263305,   113
AT1G30650,    AT5G53100,            0.989593234416,   114
AT1G54330,    AT1G43010,            -0.989576068651,   115
AT1G32870,    AT5G60520,            -0.989496519842,   116
AT1G77200,    AT5G48860,            0.989482288143,   117
AT1G80840,    AT5G45820,            0.98941041367,   118
AT1G30650,    AT4G27220,            0.989360198422,   119
AT1G34670,    AT3G55090,            0.989356655861,   120
AT1G70920,    AT3G26200,            -0.989326546455,   121
AT1G78700,    AT3G53200,            0.989318192044,   122
AT1G53910,    AT1G72670,            -0.989316831281,   123
AT1G69180,    AT1G13930,            -0.989300093775,   124
AT1G74840,    AT4G15480,            -0.989263090864,   125
AT2G23340,    AT1G57630,            -0.989213816461,   126
AT2G01930,    AT3G58350,            -0.989024756474,   127
AT2G02070,    AT2G22330,            -0.988987308856,   128
AT1G27730,    AT1G32080,            -0.988977474367,   129
AT1G69180,    AT4G35670,            0.98896736291,   130
AT1G06850,    AT3G44900,            -0.988936332959,   131
AT1G77920,    AT5G53840,            0.988932633637,   132
AT1G52150,    AT4G09860,            0.988913980469,   133
AT2G22430,    AT1G43160,            0.988859139843,   134
AT1G32150,    AT4G36740,            0.988830116419,   135
AT1G13260,    AT3G45430,            0.988811713596,   136
AT1G55110,    AT3G44840,            0.988776715573,   137
AT1G29860,    AT2G34315,            -0.98873833612,   138
AT2G01060,    AT4G18650,            -0.988706467078,   139
AT1G25340,    AT3G02500,            0.988695938368,   140
AT1G16490,    AT2G22750,            0.988695734138,   141
AT1G50640,    AT2G21320,            -0.988601693617,   142
AT1G34180,    AT2G18050,            0.988584477646,   143
AT1G71450,    AT4G11650,            -0.988577156623,   144
AT1G34670,    AT5G12420,            0.9885293329,   145
AT2G02070,    AT4G28530,            -0.988467235193,   146
AT1G25340,    AT2G15520,            0.988422085882,   147
AT1G77920,    AT5G47990,            0.988392342153,   148
AT1G01060,    AT5G27160,            0.988387930994,   149
AT2G18350,    AT1G79840,            0.988363549281,   150
AT1G62300,    AT5G64190,            -0.988357182433,   151
AT1G29160,    AT3G32130,            -0.988286879459,   152
AT2G30250,    AT5G65230,            0.988237329964,   153
AT1G32870,    AT1G32780,            -0.988111540044,   154
AT1G77920,    AT1G55260,            0.988070473045,   155
AT1G25550,    AT1G12090,            0.987964909438,   156
AT2G26960,    AT4G04630,            0.987963271445,   157
AT1G69690,    AT5G58910,            -0.987938555193,   158
AT2G02070,    AT2G41280,            -0.987908656916,   159
AT2G18550,    AT1G34370,            0.987893375157,   160
AT1G25550,    AT4G16150,            -0.987813551854,   161
AT1G78700,    AT1G59630,            -0.987802441235,   162
AT1G32150,    AT5G66590,            0.987646096633,   163
AT1G47655,    AT2G31980,            0.987639096564,   164
AT1G06850,    AT4G27930,            0.987635620339,   165
AT2G18350,    AT1G67710,            -0.98762502226,   166
AT1G77200,    AT2G33460,            0.987566314194,   167
AT1G79580,    AT5G18660,            -0.987540397502,   168
AT1G16490,    AT3G45680,            0.987535753093,   169
AT1G19210,    AT2G29800,            0.987476328364,   170
AT2G30250,    AT3G10600,            -0.987468216292,   171
AT1G68670,    AT5G17170,            -0.987462988208,   172
AT1G19210,    AT4G24600,            -0.98741745775,   173
AT2G01940,    AT5G01880,            -0.987406773957,   174
AT1G09540,    AT4G03070,            0.987349819013,   175
AT2G23340,    AT2G20880,            0.987338040326,   176
AT1G12630,    AT3G18250,            -0.987241167765,   177
AT1G25550,    AT5G53880,            0.98719171695,   178
AT1G13260,    AT4G20450,            0.987186758048,   179
AT1G16490,    AT4G17785,            -0.987168997399,   180
AT1G69780,    AT5G25160,            -0.987158649478,   181
