regulator,    target,    score,    rank
AT1G14687,    AT3G15400,            0.551375975142,   1
AT1G79580,    AT1G36550,            0.520845187874,   2
AT1G19850,    AT2G24080,            0.513270907523,   3
AT2G02450,    AT2G15190,            -0.43742067923,   4
AT1G27730,    AT2G21420,            0.412185061017,   5
AT1G27730,    AT1G32080,            -0.389246845867,   6
AT1G72740,    AT5G39440,            -0.381350970887,   7
AT1G27730,    AT2G10620,            0.374698374695,   8
AT1G34180,    AT3G26160,            -0.368825834109,   9
AT1G27730,    AT2G37900,            0.367775274099,   10
AT1G65910,    AT1G49750,            0.362168183243,   11
AT1G02250,    AT1G37826,            0.355929310405,   12
AT1G19850,    AT2G39850,            0.350992256799,   13
AT1G27730,    AT3G16130,            0.346478654775,   14
AT1G02250,    AT4G21550,            -0.345376861365,   15
AT1G27730,    AT4G12350,            0.345035571692,   16
AT1G34370,    AT1G13040,            -0.339698481237,   17
AT1G53170,    AT5G51470,            0.339184700786,   18
AT1G27730,    AT1G33320,            -0.336936876869,   19
AT1G53170,    AT1G10585,            -0.336166253207,   20
AT2G18380,    AT3G09640,            0.335009312455,   21
AT1G69490,    AT1G20120,            0.334638905762,   22
AT1G27730,    AT5G35230,            -0.327272555519,   23
AT1G34180,    AT1G68420,            -0.326494455979,   24
AT1G65910,    AT2G44470,            -0.323707889289,   25
AT2G28810,    AT2G27160,            0.322946395077,   26
AT2G06200,    AT5G16790,            0.322854121938,   27
AT1G64620,    AT5G53690,            0.318404757632,   28
AT1G02250,    AT1G73050,            0.314976658398,   29
AT1G02250,    AT2G34100,            -0.313694033,   30
AT2G18060,    AT3G04420,            -0.31137207634,   31
AT2G24430,    AT4G28430,            0.311092626893,   32
AT1G02250,    AT1G37060,            0.309157549423,   33
AT1G02250,    AT5G32550,            -0.308817277624,   34
AT2G02080,    AT2G04020,            0.308205007244,   35
AT1G27730,    AT5G47460,            -0.306359445522,   36
AT1G01060,    AT4G29450,            0.305461424595,   37
AT1G19850,    AT4G27670,            0.304518512935,   38
AT1G19850,    AT5G34450,            0.304506051628,   39
AT2G27300,    AT2G25360,            -0.303625179986,   40
AT1G72740,    AT1G21870,            -0.301535451019,   41
AT1G34180,    AT1G32600,            0.298682574275,   42
AT2G02450,    AT2G34870,            -0.298673046708,   43
AT2G18060,    AT4G38870,            -0.29746459891,   44
AT1G30490,    AT2G25230,            -0.297404979967,   45
AT1G53170,    AT5G60110,            0.296171653509,   46
AT1G69010,    AT4G09900,            0.295585312292,   47
AT1G01060,    AT2G04570,            0.294746781564,   48
AT1G72740,    AT2G32310,            -0.294128069784,   49
AT2G24430,    AT1G54560,            0.292841641458,   50
AT1G01060,    AT4G22430,            -0.292359939646,   51
AT1G30490,    AT1G33470,            0.291875162506,   52
AT1G25340,    AT2G15520,            0.291468924814,   53
AT1G27730,    AT1G35030,            0.290325883776,   54
AT1G02250,    AT1G42570,            -0.289892063065,   55
AT1G27730,    AT5G42760,            -0.288393065207,   56
AT1G30210,    AT1G68530,            -0.287894169934,   57
AT1G80840,    AT4G10780,            0.284212850004,   58
AT1G53170,    AT1G31450,            -0.281583553382,   59
AT2G18060,    AT4G04890,            0.281565503321,   60
AT1G19850,    AT3G13240,            0.2803969004,   61
AT2G04038,    AT2G28180,            -0.279640207059,   62
AT2G31230,    AT3G47320,            -0.279592570281,   63
AT2G18060,    AT2G32780,            0.279411355682,   64
AT1G19850,    AT1G57750,            0.279326653926,   65
AT2G18060,    AT3G14300,            -0.276322829575,   66
AT2G28810,    AT2G28560,            -0.275647320851,   67
AT1G06850,    AT4G27930,            0.274583000066,   68
AT1G02250,    AT5G59660,            -0.271418453493,   69
AT1G02250,    AT2G41480,            -0.269856045967,   70
AT2G24430,    AT3G21020,            0.269524108802,   71
AT1G02250,    AT1G26220,            -0.269420581038,   72
AT1G64620,    AT3G18870,            -0.268512613964,   73
AT1G64620,    AT3G26490,            0.268512562721,   74
AT1G02250,    AT4G38120,            0.268305321683,   75
AT1G19850,    AT4G07840,            0.268229311788,   76
AT2G18060,    AT1G05740,            -0.268089038336,   77
AT1G34190,    AT1G62070,            -0.267549962052,   78
AT1G02250,    AT3G62490,            -0.26729814553,   79
AT1G02250,    AT5G25960,            -0.266891953363,   80
AT1G69570,    AT2G41450,            -0.264257226642,   81
AT1G46768,    AT3G06895,            0.264059058915,   82
AT2G02080,    AT2G24950,            0.263956109089,   83
AT1G02250,    AT1G32800,            -0.263190760047,   84
AT1G19850,    AT2G15780,            0.263180600874,   85
AT1G68320,    AT1G80880,            0.263060879457,   86
AT2G03500,    AT1G49810,            0.262332433565,   87
AT1G64620,    AT3G43500,            -0.261872489192,   88
AT1G02250,    AT1G23690,            -0.261864997452,   89
AT1G69010,    AT3G17180,            -0.261152622384,   90
AT1G53170,    AT2G20510,            0.260841936486,   91
AT1G65910,    AT3G43750,            0.258903522085,   92
AT1G46768,    AT5G35890,            -0.258371423362,   93
AT1G74650,    AT2G28930,            -0.258172064251,   94
AT1G29280,    AT4G08490,            -0.257694486355,   95
AT2G28810,    AT5G38760,            -0.257043071641,   96
AT1G69010,    AT3G30750,            -0.25693639778,   97
AT1G27730,    AT2G12210,            0.256195603662,   98
AT1G53230,    AT4G17245,            -0.25579973192,   99
AT1G64620,    AT1G65570,            0.254140804786,   100
AT1G69570,    AT3G02270,            0.254021957019,   101
AT1G65910,    AT2G04710,            -0.253143718494,   102
AT1G18330,    AT1G23420,            -0.25255912391,   103
AT1G69010,    AT3G20770,            0.252250715388,   104
AT1G46768,    AT1G60260,            0.252199266722,   105
AT1G46768,    AT2G16230,            -0.251807838185,   106
AT1G72740,    AT2G10850,            -0.250819826538,   107
AT1G69570,    AT1G31210,            0.25074361737,   108
AT1G29160,    AT3G32130,            -0.25053054628,   109
AT1G19850,    AT3G58230,            0.248448271099,   110
AT1G72740,    AT2G47750,            0.247741787295,   111
AT2G18060,    AT1G20160,            -0.247037132108,   112
AT1G02250,    AT1G26240,            0.245730067009,   113
AT2G04038,    AT4G25920,            0.24509819527,   114
AT1G29860,    AT5G10970,            0.244889311313,   115
AT1G65910,    AT4G31800,            0.244023107106,   116
AT1G01060,    AT4G38160,            0.243471439993,   117
AT2G03340,    AT5G16080,            -0.243343620092,   118
AT1G29860,    AT1G36940,            -0.242264062792,   119
AT1G02250,    AT2G23720,            0.241242112455,   120
AT1G52150,    AT3G30510,            -0.240894750796,   121
AT1G65910,    AT3G13390,            -0.24077964187,   122
AT1G30210,    AT2G47150,            -0.240681590568,   123
AT2G18060,    AT1G32000,            0.240063414934,   124
AT2G28810,    AT5G07480,            0.240041645701,   125
AT1G64620,    AT2G25500,            0.239968883955,   126
AT2G30250,    AT3G55580,            -0.239748434383,   127
AT1G79580,    AT5G45570,            0.239442587106,   128
AT2G18380,    AT5G57240,            0.239023611472,   129
AT1G19850,    AT1G78740,            -0.238673958241,   130
AT1G19850,    AT3G11160,            0.238555014428,   131
AT1G19850,    AT3G58870,            -0.238388941593,   132
AT1G69010,    AT5G43030,            -0.23811687942,   133
AT2G18060,    AT5G63540,            0.23800995426,   134
AT1G69570,    AT2G02980,            0.23677439074,   135
AT1G27730,    AT1G69230,            -0.236742625589,   136
AT1G77200,    AT5G67550,            -0.236105801172,   137
AT1G02250,    AT5G53960,            -0.235559239533,   138
AT1G30490,    AT5G04110,            0.235553232045,   139
AT1G79580,    AT3G26830,            -0.23477829813,   140
AT1G30490,    AT5G18220,            -0.234460821342,   141
AT1G77920,    AT1G55260,            0.233978232008,   142
AT1G29860,    AT1G49430,            0.233545583404,   143
AT1G19850,    AT2G22410,            0.233052986456,   144
AT1G28370,    AT2G46730,            -0.232654078766,   145
AT1G53170,    AT4G07540,            0.23213186859,   146
AT1G19850,    AT4G22100,            -0.231716209126,   147
AT1G28470,    AT1G11530,            -0.231502694777,   148
AT2G18380,    AT3G03200,            0.230974874197,   149
AT1G74650,    AT5G65280,            0.230898768325,   150
AT1G79580,    AT3G01015,            0.230063144931,   151
AT1G62300,    AT5G64190,            -0.22936087426,   152
AT2G03340,    AT2G36440,            -0.229330993654,   153
AT2G18060,    AT3G21340,            -0.229022591688,   154
AT1G19850,    AT3G14700,            -0.228898336549,   155
AT1G64620,    AT2G06020,            0.22801494244,   156
AT2G01930,    AT4G03890,            0.227943602802,   157
AT1G29860,    AT1G35480,            -0.227644054989,   158
AT1G65910,    AT5G66020,            0.22726290162,   159
AT1G29860,    AT1G64410,            -0.226519529674,   160
AT2G18060,    AT4G37180,            -0.226514288159,   161
AT2G18380,    AT5G09640,            -0.225995750607,   162
AT1G46768,    AT2G42930,            -0.225855562462,   163
AT2G02450,    AT3G02380,            -0.225411878739,   164
AT1G22810,    AT5G18370,            0.223892526206,   165
AT1G28470,    AT3G31380,            -0.223815970844,   166
AT1G18330,    AT1G24400,            -0.223803055833,   167
AT1G53170,    AT5G57680,            0.222057325043,   168
AT2G30250,    AT3G10600,            -0.221653187439,   169
AT1G30490,    AT3G16360,            -0.221589279309,   170
AT1G72740,    AT3G13400,            -0.221489856408,   171
AT1G74650,    AT2G37590,            0.221123939228,   172
AT1G77200,    AT3G56670,            0.220738395796,   173
AT1G65910,    AT4G23520,            -0.220581399015,   174
AT2G04038,    AT5G53950,            0.220518921817,   175
AT2G18060,    AT3G23010,            0.2202528418,   176
AT1G59640,    AT1G55570,            0.219181396619,   177
AT2G18060,    AT1G59680,            -0.21911504493,   178
AT1G76890,    AT5G21150,            0.218869217011,   179
AT1G46768,    AT4G02090,            0.218711017254,   180
AT1G53170,    AT1G23130,            0.218681772701,   181
AT1G64620,    AT4G16730,            -0.217805632694,   182
AT1G72740,    AT5G36930,            -0.217589219876,   183
AT2G18060,    AT5G46200,            -0.217143755936,   184
AT1G02250,    AT1G19670,            -0.216619416499,   185
AT1G01060,    AT4G10490,            0.215560562367,   186
AT1G49010,    AT3G49020,            -0.215171467943,   187
AT2G18060,    AT1G60180,            0.214756736138,   188
AT1G14687,    AT3G21860,            0.214673849352,   189
AT1G32150,    AT3G23340,            -0.214308231688,   190
AT1G29160,    AT5G02460,            0.213860718516,   191
AT1G49010,    AT4G18500,            0.213452966441,   192
AT2G04038,    AT5G52480,            0.213277293459,   193
AT2G04038,    AT3G15310,            0.212799743895,   194
AT2G02820,    AT5G52950,            -0.212534711994,   195
AT1G09540,    AT1G47280,            -0.212042963865,   196
AT1G30210,    AT4G33450,            0.211942377403,   197
AT1G29280,    AT1G34545,            -0.211590047894,   198
AT1G77200,    AT5G48860,            0.211397491763,   199
AT1G74650,    AT3G30370,            0.211326532757,   200
AT2G20110,    AT3G29185,            -0.211121023263,   201
AT1G53170,    AT1G47680,            0.210205087317,   202
AT1G18330,    AT1G51300,            -0.209844381233,   203
AT1G46768,    AT1G36095,            -0.209832916547,   204
