regulator,    target,    score,    rank
AT1G79580,    AT1G35500,            0.524408080032,   1
AT1G49560,    AT2G15870,            -0.465470333825,   2
AT1G08320,    AT5G02900,            -0.449118320239,   3
AT2G02080,    AT1G63400,            0.43429597446,   4
AT1G49560,    AT2G29150,            -0.429453890476,   5
AT1G27730,    AT1G72940,            0.425746767751,   6
AT1G49560,    AT5G07660,            -0.412906068974,   7
AT1G75240,    AT1G30140,            -0.410443612132,   8
AT1G74480,    AT3G30830,            0.406459286017,   9
AT1G19210,    AT1G64260,            0.400245660446,   10
AT2G31230,    AT5G53950,            -0.395379018998,   11
AT1G74480,    AT3G30585,            0.389845735342,   12
AT1G68200,    AT1G35040,            -0.387887761788,   13
AT1G68200,    AT3G42310,            -0.387443724951,   14
AT1G18330,    AT3G32280,            0.381102085441,   15
AT1G49560,    AT4G27450,            0.364933433477,   16
AT2G31230,    AT3G31410,            0.364539027714,   17
AT1G08320,    AT2G14030,            -0.361390087043,   18
AT1G49560,    AT1G32780,            -0.349206790344,   19
AT1G34180,    AT1G08090,            -0.346498576645,   20
AT2G24430,    AT5G11410,            0.346294345904,   21
AT1G49560,    AT2G14040,            0.346217955836,   22
AT1G49560,    AT1G20290,            -0.344349985816,   23
AT1G08320,    AT5G62120,            -0.340765718744,   24
AT1G08320,    AT3G14950,            -0.34018638931,   25
AT1G34180,    AT5G18160,            0.330960808973,   26
AT1G68200,    AT5G45930,            -0.33087159306,   27
AT1G34180,    AT4G03380,            0.330528135987,   28
AT1G01720,    AT2G24410,            -0.323085770371,   29
AT2G01940,    AT5G66940,            0.320753099678,   30
AT2G03500,    AT1G69720,            -0.32038600264,   31
AT1G19210,    AT1G18520,            0.31876176456,   32
AT2G27300,    AT2G18540,            0.314543501272,   33
AT1G08320,    AT1G24600,            -0.314088309907,   34
AT1G09540,    AT1G02190,            0.311189539487,   35
AT1G01060,    AT1G41820,            -0.310944309971,   36
AT2G18060,    AT4G31940,            0.308766791191,   37
AT1G68320,    AT1G33811,            0.307484612883,   38
AT2G01060,    AT4G07660,            -0.306002107125,   39
AT2G20110,    AT4G16000,            -0.303250961298,   40
AT2G27300,    AT2G46860,            -0.303189157149,   41
AT2G27300,    AT1G60450,            -0.302586604306,   42
AT2G03500,    AT5G40360,            0.301738192213,   43
AT2G26960,    AT3G15270,            0.300122718903,   44
AT1G08320,    AT2G23570,            0.298617745913,   45
AT1G77200,    AT5G13790,            -0.298042979659,   46
AT1G19210,    AT5G25470,            -0.296831570164,   47
AT1G08320,    AT5G10800,            -0.296125100543,   48
AT1G01060,    AT4G22680,            0.292344525796,   49
AT1G32150,    AT5G34460,            -0.288875697104,   50
AT1G75240,    AT2G02670,            -0.286900759041,   51
AT1G34180,    AT5G02570,            -0.28682657682,   52
AT2G31230,    AT2G42000,            0.286559767354,   53
AT2G18060,    AT2G19360,            0.280612230757,   54
AT1G34180,    AT1G64010,            0.279723703936,   55
AT2G01940,    AT5G27610,            -0.279095700182,   56
AT1G70920,    AT4G05470,            0.275859254309,   57
AT1G49560,    AT3G57920,            0.275125972073,   58
AT1G08320,    AT1G32600,            0.272523117993,   59
AT2G20110,    AT2G16060,            0.271562513573,   60
AT1G80840,    AT3G01580,            -0.271519955372,   61
AT1G08320,    AT5G33370,            -0.271481640448,   62
AT1G08320,    AT2G16190,            -0.270716573711,   63
AT2G27300,    AT5G37030,            0.270280906413,   64
AT1G01060,    AT4G31740,            -0.268528143927,   65
AT2G27300,    AT2G30925,            0.267628369135,   66
AT2G18060,    AT5G05050,            0.261413910915,   67
AT1G19850,    AT4G10990,            -0.260352211686,   68
AT1G19850,    AT3G14440,            0.260245640029,   69
AT2G27300,    AT5G65410,            0.25987036278,   70
AT1G08320,    AT3G22130,            -0.259246321304,   71
AT1G68320,    AT5G14380,            0.258880363483,   72
AT1G19850,    AT4G01390,            -0.258725041217,   73
AT1G68320,    AT1G10060,            0.25797868581,   74
AT2G18060,    AT2G38920,            0.2577276588,   75
AT1G75240,    AT3G29020,            0.257632683936,   76
AT2G18060,    AT5G28870,            0.257010180891,   77
AT2G31230,    AT2G18080,            0.255877428482,   78
AT1G70920,    AT1G56160,            0.25390734445,   79
AT2G01940,    AT2G22340,            -0.252118241832,   80
AT1G34180,    AT1G26400,            0.251969056428,   81
AT2G20110,    AT5G10500,            0.247852889686,   82
AT1G79580,    AT3G22370,            -0.24703146407,   83
AT2G03500,    ATMG00850,            0.246895803347,   84
AT1G28470,    AT2G07020,            -0.245618649708,   85
AT1G79580,    AT1G31620,            0.245191383334,   86
AT1G34180,    AT2G15640,            -0.245005182389,   87
AT1G19850,    AT3G26280,            -0.244337534632,   88
AT2G31230,    AT3G25630,            0.241093578639,   89
AT2G03340,    AT1G42250,            0.240929901819,   90
AT1G75240,    AT1G21860,            0.240569655026,   91
AT1G49560,    AT2G20540,            0.240261874217,   92
AT1G19850,    AT5G41440,            0.239981270469,   93
AT2G20110,    AT2G16005,            -0.23952134352,   94
