regulator,    target,    score,    rank
AT1G01060,    AT3G32280,            0.557485175739,   1
AT2G30340,    AT4G38830,            -0.497806371031,   2
AT1G74650,    AT2G43000,            0.488651474363,   3
AT1G08320,    AT1G17610,            0.480480555694,   4
AT1G25340,    AT2G26390,            -0.437307309995,   5
AT1G74650,    AT3G09640,            -0.412886042399,   6
AT2G27300,    AT1G26380,            -0.404169291575,   7
AT1G30650,    AT2G02550,            0.402287338523,   8
AT2G28810,    AT5G06020,            0.392204818928,   9
AT2G28810,    AT5G42640,            0.390891768602,   10
AT1G79580,    AT1G73280,            0.384293571332,   11
AT2G27300,    AT5G56510,            0.383796438055,   12
AT1G79580,    AT1G41795,            -0.373608508677,   13
AT2G30340,    AT2G03460,            -0.366645783446,   14
AT2G27300,    AT2G34600,            -0.356919499087,   15
AT1G30650,    AT2G04300,            0.356831741838,   16
AT2G28810,    AT2G05020,            0.356720488762,   17
AT2G28810,    AT1G61710,            0.354495726909,   18
AT1G74650,    AT1G12030,            -0.349624239251,   19
AT1G79580,    AT1G14220,            -0.343714483312,   20
AT1G79580,    AT5G54030,            -0.342341081705,   21
AT1G14687,    AT3G49920,            -0.33807734078,   22
AT1G74650,    AT1G70720,            0.335650404892,   23
AT1G19210,    AT2G28170,            0.329670372575,   24
AT1G69780,    AT1G26240,            0.304659460729,   25
AT1G25340,    AT1G78050,            -0.303909777042,   26
AT1G74650,    AT4G21640,            -0.299642784769,   27
AT1G74650,    AT1G75920,            0.29780998464,   28
AT1G19850,    AT2G39590,            0.297086640143,   29
AT2G27300,    AT4G27220,            0.293316568284,   30
AT2G02080,    AT3G16930,            0.286766272648,   31
AT1G68670,    AT4G01250,            0.286592638582,   32
AT2G31230,    AT3G30810,            -0.280911669609,   33
AT1G79580,    AT3G31915,            0.279925649637,   34
AT1G34180,    AT2G13920,            0.278760604266,   35
AT1G19210,    AT1G35210,            0.275260118331,   36
AT1G30650,    AT5G41380,            0.275009630844,   37
AT1G30650,    AT3G12955,            0.274876977102,   38
AT2G28810,    AT5G46115,            0.273215126256,   39
AT2G28810,    AT4G16150,            0.272773777666,   40
AT1G30650,    AT4G00680,            0.27260164023,   41
AT2G28810,    AT3G44210,            0.270238328434,   42
AT2G28810,    AT5G58910,            0.268986872709,   43
AT1G25340,    AT5G13130,            0.267598835108,   44
AT1G19210,    AT3G04420,            0.267208028353,   45
AT2G27300,    AT3G42380,            0.265726776417,   46
AT2G27300,    AT3G57140,            0.265110801113,   47
AT2G31230,    AT3G30400,            -0.262133342802,   48
AT1G02250,    AT1G52790,            -0.258074095655,   49
AT1G02250,    AT4G05310,            -0.257615854971,   50
AT1G19850,    AT5G37990,            0.257468839408,   51
AT1G32150,    AT4G40090,            -0.257180822373,   52
AT1G30650,    AT1G73510,            -0.252564871169,   53
AT2G30340,    AT2G02140,            -0.251664890533,   54
AT1G68670,    AT5G25810,            -0.25134691628,   55
AT1G68670,    AT5G65390,            0.249921359296,   56
AT1G68670,    AT5G14960,            -0.24728780323,   57
AT1G19210,    AT5G09690,            0.246857864055,   58
AT1G69780,    AT4G12550,            -0.246658581691,   59
AT1G30650,    ATMG00880,            0.245760303048,   60
AT1G25340,    AT3G43020,            0.245445990774,   61
AT2G30340,    AT1G36120,            0.244564813331,   62
AT2G27300,    AT4G09360,            0.243529793568,   63
AT2G27300,    AT2G28970,            0.243503622763,   64
AT1G79580,    AT1G47540,            -0.243419979436,   65
AT1G71450,    AT3G62180,            0.242201787441,   66
AT2G18060,    AT5G01110,            0.241965121959,   67
AT1G25340,    AT3G49760,            -0.241634649874,   68
AT1G74650,    AT1G79450,            -0.240300545599,   69
AT1G19210,    AT5G10830,            0.239780797684,   70
AT1G78700,    AT5G25430,            0.239501519935,   71
AT2G28810,    AT1G65340,            0.239454557455,   72
AT1G43700,    AT5G63450,            -0.239175923606,   73
AT2G30340,    AT3G51680,            -0.23845789339,   74
AT2G27300,    AT4G21050,            -0.237750346257,   75
AT2G28810,    AT4G12410,            0.237261707629,   76
AT1G18330,    AT1G08670,            -0.230350147741,   77
AT1G02250,    AT2G17470,            -0.23028962968,   78
AT1G34180,    AT1G74220,            0.227375755794,   79
AT1G71450,    AT1G13610,            0.227164963623,   80
AT2G18060,    AT3G12250,            0.227156069903,   81
AT1G74650,    AT2G29040,            -0.224649783534,   82
AT2G27300,    AT1G29960,            0.223922792611,   83
AT2G22540,    AT5G01080,            0.223352134082,   84
AT1G13260,    AT4G38820,            -0.222637394931,   85
AT2G30340,    AT3G30330,            0.222350582172,   86
AT1G54330,    AT4G26930,            0.22164883889,   87
AT1G34180,    AT5G40590,            0.221007790956,   88
AT1G54330,    AT5G01380,            -0.220677596725,   89
AT2G04038,    AT4G17380,            0.220422402111,   90
AT1G30650,    AT2G43670,            0.220281776368,   91
AT1G36060,    AT3G05790,            0.219904569598,   92
AT2G06200,    AT3G60120,            -0.218074014284,   93
AT2G27300,    AT2G10465,            0.217927810892,   94
AT1G74650,    AT3G60420,            0.217082472522,   95
AT1G19850,    AT1G71490,            -0.217049649445,   96
AT1G43700,    AT5G52120,            -0.214310688639,   97
AT2G28810,    AT2G22950,            0.21393001176,   98
AT1G76420,    AT3G56260,            -0.213887504581,   99
AT2G04038,    AT1G14100,            0.213595983687,   100
AT1G43700,    AT2G23540,            -0.213573445706,   101
AT2G30340,    AT2G16450,            -0.213032876502,   102
AT2G04038,    AT4G17980,            0.212673732179,   103
AT1G18330,    AT5G55770,            -0.210627293562,   104
AT1G19210,    AT1G24430,            0.210547711954,   105
AT1G74650,    AT5G28570,            0.209695792513,   106
AT2G18380,    AT1G05860,            0.209597621444,   107
AT1G01250,    AT3G26040,            0.209023899096,   108
AT1G18330,    AT1G50760,            -0.205196901952,   109
AT2G03500,    AT5G66980,            0.204961105051,   110
AT1G79580,    AT1G28590,            0.204386644726,   111
AT2G18060,    AT3G22360,            -0.20399933723,   112
AT1G74650,    AT2G13900,            -0.203789273275,   113
AT2G02820,    AT1G68940,            -0.203037903078,   114
AT1G79580,    AT4G38080,            0.201665727303,   115
AT1G09540,    AT1G69860,            0.201189970211,   116
AT1G69780,    AT4G12980,            0.200706290903,   117
AT2G22540,    AT3G14820,            0.200316080486,   118
AT1G77200,    AT5G37970,            0.19987581316,   119
AT1G74650,    AT2G03360,            0.199782924762,   120
AT1G77200,    AT5G64690,            0.199678420695,   121
AT2G31230,    AT5G25830,            -0.199581529732,   122
AT1G18330,    AT3G07150,            -0.199488524536,   123
AT2G22540,    AT4G22760,            0.19898497915,   124
AT1G32150,    AT1G05490,            -0.198654024771,   125
AT2G31230,    AT5G08220,            0.198531702773,   126
