regulator,    target,    score,    rank
AT1G74480,    AT1G35647,            0.615466005509,   1
AT1G69010,    AT4G03690,            -0.587669272505,   2
AT1G72740,    AT1G43240,            -0.500395604304,   3
AT1G76420,    AT4G18860,            0.446630170289,   4
AT1G34180,    AT2G19630,            0.443993935013,   5
AT1G74480,    AT3G42080,            0.412724567995,   6
AT1G12610,    AT4G03170,            -0.386800250778,   7
AT1G69010,    AT2G07380,            -0.380333396442,   8
AT2G18160,    AT4G05510,            -0.37027199342,   9
AT1G69010,    AT3G13640,            -0.365666551195,   10
AT1G75240,    AT1G75940,            -0.360012174207,   11
AT1G19040,    AT1G29720,            -0.35755694916,   12
AT1G69010,    AT5G28950,            -0.348022102291,   13
AT1G19850,    AT4G10250,            0.336677243732,   14
AT1G75240,    AT2G36210,            0.334344010661,   15
AT1G49480,    AT1G48690,            0.333462946802,   16
AT2G18350,    AT3G28520,            0.331575459108,   17
AT2G30250,    AT5G44120,            -0.324365920197,   18
AT1G16490,    AT5G40180,            0.322848082341,   19
AT2G30250,    AT5G44620,            0.322212188727,   20
AT2G28810,    AT1G63320,            0.322056008339,   21
AT2G18160,    AT5G54470,            0.319839120648,   22
AT1G49560,    AT5G21030,            0.312556704388,   23
AT1G12630,    AT2G21680,            -0.312183120079,   24
AT1G12260,    AT1G09400,            -0.31017541014,   25
AT1G75240,    AT4G26340,            -0.309057235824,   26
AT1G22810,    AT4G32780,            0.307946794917,   27
AT1G19040,    AT3G57260,            -0.304714468956,   28
AT1G52150,    AT5G15720,            0.303948679828,   29
AT1G69010,    AT5G15000,            -0.297013027469,   30
AT1G52150,    AT2G10020,            -0.296734509171,   31
AT2G22540,    AT3G32220,            0.29045201448,   32
AT2G18160,    AT1G22630,            -0.287493134228,   33
AT1G19040,    AT2G19420,            0.286520464589,   34
AT1G49480,    AT1G20020,            0.286203622553,   35
AT1G19040,    AT1G61430,            0.283361492721,   36
AT1G49560,    AT4G14460,            0.282573735763,   37
AT1G19040,    AT1G11610,            0.277688588206,   38
AT1G69010,    AT3G60290,            -0.275092943844,   39
AT1G74480,    AT2G31690,            0.275018154949,   40
AT2G30250,    AT2G47120,            -0.274982440384,   41
AT2G31230,    AT5G05420,            0.274215431056,   42
AT1G29280,    AT4G26740,            -0.274017548762,   43
AT1G12260,    AT3G46380,            -0.272003847693,   44
AT1G53910,    AT2G11130,            0.271478122985,   45
