regulator,    target,    score,    rank
AT2G20110,    AT4G04430,            -0.551327520899,   1
AT1G29860,    AT5G47740,            -0.464187577991,   2
AT1G29860,    AT3G60920,            0.450312938306,   3
AT2G18380,    AT1G67990,            0.390206993387,   4
AT1G29860,    AT4G08370,            0.383549250193,   5
AT1G76420,    AT5G22550,            0.373321863802,   6
AT1G74480,    AT4G34410,            -0.349325122302,   7
AT2G18380,    AT5G11820,            0.347870155305,   8
AT1G68320,    AT1G80880,            -0.347558859878,   9
AT1G28370,    AT5G05550,            -0.343943725924,   10
AT2G18380,    AT2G24800,            0.342104210979,   11
AT1G12630,    AT1G78780,            0.340062699747,   12
AT1G68320,    AT4G31100,            -0.335295380741,   13
AT1G32150,    AT5G55090,            0.315786032913,   14
AT1G74840,    AT3G25650,            -0.314806002643,   15
AT1G68320,    AT1G70820,            -0.308979107357,   16
AT1G74480,    AT2G20080,            -0.306776243123,   17
AT1G18330,    AT1G68640,            -0.304726465371,   18
AT1G79580,    AT1G64170,            0.302904256179,   19
AT1G29860,    AT2G01800,            -0.30244392737,   20
AT2G22540,    AT5G12030,            -0.301672425232,   21
AT1G74480,    AT3G57270,            -0.301405317786,   22
AT1G74480,    AT5G49290,            -0.298294317207,   23
AT2G02820,    AT5G47190,            0.297159890506,   24
AT1G18330,    AT3G51240,            -0.294380381563,   25
AT1G22070,    AT5G03350,            -0.291680914915,   26
AT1G76420,    AT4G30690,            -0.291489384881,   27
AT2G18350,    AT5G27870,            0.291328822957,   28
AT1G28470,    AT3G46660,            -0.291043839979,   29
AT1G28370,    AT2G10370,            0.289603910373,   30
AT1G75390,    AT2G19320,            0.285958329478,   31
AT1G74480,    AT3G45060,            -0.284339909859,   32
AT1G27730,    AT3G58060,            -0.281341367612,   33
AT1G74480,    AT2G21690,            0.280238903596,   34
AT1G14687,    AT3G55670,            0.278760670673,   35
AT1G76420,    AT2G15890,            -0.278475119467,   36
AT1G74480,    AT5G46200,            -0.274308588292,   37
AT1G74480,    AT3G52080,            -0.274181341666,   38
AT2G18350,    AT3G60490,            -0.273855178286,   39
AT1G32150,    AT2G38240,            0.269821143319,   40
AT1G28370,    AT5G66815,            -0.26918822261,   41
AT1G14687,    AT2G24210,            -0.267146905053,   42
AT2G18380,    AT4G15480,            -0.26513315389,   43
AT1G74480,    AT2G07230,            0.264878598869,   44
AT1G76420,    AT2G23210,            0.26482917361,   45
AT2G02080,    AT5G57530,            -0.26387213124,   46
AT1G18330,    AT5G15150,            0.263179228275,   47
AT2G18380,    AT3G18700,            0.261397123942,   48
AT2G18350,    AT4G12480,            -0.260192714472,   49
AT2G06200,    AT3G53480,            -0.258845284194,   50
AT2G02080,    AT5G03790,            -0.257913696861,   51
AT2G18380,    AT5G58540,            0.257583386105,   52
AT1G28370,    AT3G16050,            0.256204352544,   53
AT1G12630,    AT3G15800,            0.256087994307,   54
AT1G29860,    AT1G25330,            -0.254176170663,   55
AT1G68200,    AT5G44010,            0.254088142346,   56
AT2G18380,    AT1G23640,            0.252260540519,   57
AT2G04038,    AT2G13720,            0.252111826886,   58
AT1G36060,    AT1G54420,            0.251934215959,   59
AT1G18330,    AT4G36370,            0.250756809984,   60
AT1G74650,    AT5G27610,            0.250256993597,   61
AT1G28370,    AT1G79250,            -0.249055225187,   62
AT1G27730,    AT2G22600,            -0.248660454375,   63
AT2G02820,    AT5G27190,            0.247864704425,   64
AT1G28370,    AT5G25620,            0.246000040735,   65
AT2G02080,    AT1G68060,            0.245132320042,   66
AT1G32150,    AT1G52970,            0.244654599802,   67
AT1G69010,    AT4G03156,            -0.243888063056,   68
AT1G74840,    AT1G16150,            0.242608031964,   69
AT2G18380,    AT1G61120,            -0.242278678838,   70
AT1G74480,    AT3G09735,            0.242178174655,   71
AT1G29860,    AT3G50720,            -0.240256506836,   72
AT1G68320,    AT1G17810,            0.238820215035,   73
AT1G74840,    AT3G26390,            0.237476718466,   74
AT1G28370,    AT3G26550,            -0.235381915987,   75
AT2G18380,    AT3G19890,            0.235003522073,   76
AT2G04038,    AT2G02380,            0.234961328657,   77
AT1G49010,    AT1G04640,            0.234339177662,   78
AT1G74840,    AT1G12940,            0.23427906582,   79
AT1G74650,    AT2G46040,            -0.234272029525,   80
AT2G18350,    AT2G03410,            0.233386363043,   81
AT2G18380,    AT4G34690,            0.233091303897,   82
AT1G76420,    AT1G31370,            0.233070368024,   83
AT2G02070,    AT5G46300,            -0.231967856171,   84
AT2G26960,    AT2G44880,            0.231660963558,   85
AT1G18330,    AT4G29540,            -0.230818465623,   86
AT1G30490,    AT1G12770,            -0.230617600055,   87
AT1G12610,    AT1G37900,            0.230568040212,   88
AT1G74650,    AT1G20190,            -0.229117540124,   89
AT1G08320,    AT4G21820,            -0.227322335943,   90
AT1G74480,    AT2G33520,            0.226598709325,   91
