regulator,    target,    score,    rank
AT1G47655,    AT2G34890,            -0.594691270319,   1
AT1G51140,    AT3G23720,            0.570098434896,   2
AT1G28160,    AT5G03020,            0.470642602673,   3
AT2G22540,    AT5G18810,            0.467659967144,   4
AT2G22430,    AT1G12490,            -0.416525431268,   5
AT1G12260,    AT1G33000,            -0.406875318013,   6
AT2G18060,    AT3G63360,            0.403642987481,   7
AT2G22430,    AT1G03890,            -0.400118840227,   8
AT2G22430,    AT2G10660,            -0.393947282923,   9
AT1G74480,    AT3G42080,            -0.366268303028,   10
AT2G28810,    AT1G72600,            0.365869511321,   11
AT1G47655,    AT1G06225,            -0.363007938528,   12
AT2G22540,    AT2G23240,            0.362707210151,   13
AT1G47655,    AT1G14940,            0.362194600603,   14
AT2G02080,    AT3G43100,            -0.359467530526,   15
AT1G19850,    AT2G27570,            0.358524083949,   16
AT2G22430,    AT2G32740,            -0.358132642495,   17
AT2G01940,    AT3G45940,            0.353737015955,   18
AT1G69570,    AT5G63260,            0.351617603242,   19
AT1G28160,    AT3G14180,            -0.348248282529,   20
AT1G75390,    AT1G05740,            0.340792851824,   21
AT1G69570,    AT4G09350,            -0.338280704852,   22
AT1G47655,    AT3G53720,            -0.337681995119,   23
AT1G69570,    AT1G79900,            -0.334215777627,   24
AT1G03840,    AT2G18120,            0.333423040321,   25
AT1G47655,    AT1G35380,            -0.328230218928,   26
AT1G28160,    AT5G24316,            0.327640290313,   27
AT1G75390,    AT4G34940,            0.327108129036,   28
AT1G47655,    AT1G09370,            -0.32514852749,   29
AT1G18330,    AT4G19480,            0.324165254705,   30
AT1G28160,    AT2G32570,            0.32047947149,   31
AT1G75390,    AT4G02910,            0.319081043154,   32
AT1G47655,    AT5G39160,            0.318693868356,   33
AT1G18330,    AT1G61950,            -0.317807166901,   34
AT2G01940,    AT5G65590,            -0.315109972584,   35
AT2G01940,    AT1G69540,            0.314008877003,   36
AT1G47655,    AT1G20730,            0.313977853577,   37
AT1G47655,    AT2G21200,            0.31382397994,   38
