regulator,    target,    score,    rank
AT1G30490,    AT5G10030,            0.992794918772,   1
AT1G12260,    AT3G60280,            -0.992155434482,   2
AT1G18330,    AT5G57200,            -0.991967565587,   3
AT1G75240,    AT4G02310,            -0.9919172274,   4
AT1G71450,    AT2G27380,            0.99146560717,   5
AT1G34190,    AT5G17970,            0.990505987758,   6
AT1G43160,    AT5G05730,            0.990269042344,   7
AT2G01060,    AT3G23880,            0.989990770137,   8
AT1G22810,    AT4G36010,            0.989929433621,   9
AT1G49010,    AT1G03840,            0.989765386035,   10
AT2G04038,    AT2G18700,            0.98932092437,   11
AT1G28370,    AT3G04640,            0.989025700893,   12
AT2G20110,    AT2G20660,            0.98860972757,   13
AT1G30650,    AT1G77820,            0.98819114547,   14
AT1G80840,    AT2G18690,            0.987807221331,   15
AT1G19210,    AT1G74930,            0.987755252309,   16
AT1G34180,    AT1G70090,            -0.987592856693,   17
AT1G09540,    AT1G72240,            -0.987565654993,   18
AT2G22540,    AT2G15880,            0.987401178869,   19
AT1G19850,    AT2G01060,            0.987367085701,   20
AT2G30250,    AT2G26620,            -0.987200632251,   21
AT1G28370,    AT5G65300,            0.987015927912,   22
AT1G01060,    AT2G02120,            -0.986964845832,   23
AT1G25550,    AT5G52710,            0.986856158196,   24
AT1G51700,    AT5G12270,            -0.986839869921,   25
AT1G29160,    AT1G67880,            -0.986806458748,   26
AT1G29160,    AT4G24570,            -0.98668822865,   27
AT1G27730,    AT4G07600,            -0.986504242541,   28
AT1G29160,    AT1G77640,            -0.986141772875,   29
AT2G24430,    AT2G10940,            0.985924034005,   30
AT1G80840,    AT1G25400,            0.985340368633,   31
AT1G53170,    AT3G53600,            0.984833847744,   32
AT1G28370,    AT1G66160,            0.984701557205,   33
AT1G80840,    AT2G33580,            0.984552677768,   34
AT1G80840,    AT5G28630,            0.98446129652,   35
AT1G29860,    AT5G19880,            -0.984445988944,   36
AT2G23290,    AT4G13700,            -0.984440542553,   37
AT1G51700,    AT3G04060,            -0.984373904712,   38
AT1G29860,    AT4G21200,            0.984367283478,   39
AT1G01060,    AT4G23610,            0.98435562286,   40
AT1G74480,    AT1G52880,            0.984242587306,   41
AT1G09540,    AT5G39820,            -0.984217895315,   42
AT1G19210,    AT2G41640,            0.984199432383,   43
AT1G80840,    AT1G07000,            0.983995029511,   44
AT1G29280,    AT5G25280,            0.983882662382,   45
AT1G53910,    AT3G49700,            -0.983792219091,   46
AT2G20110,    AT4G27150,            -0.983790946857,   47
AT1G28470,    AT5G39230,            0.98376522283,   48
AT1G77200,    AT3G25490,            0.983747264255,   49
AT1G30650,    AT2G17490,            -0.983509173215,   50
AT1G80840,    AT1G19020,            0.983450236882,   51
AT1G18330,    AT3G22020,            -0.983438231305,   52
AT1G01060,    AT1G28050,            -0.983353048718,   53
AT1G27730,    AT2G25735,            0.983275738908,   54
