regulator,    target,    score,    rank
AT1G80840,    AT1G65390,            0.997104345517,   1
AT1G49480,    AT5G57530,            -0.996271535952,   2
AT1G33240,    AT1G22990,            0.995945864328,   3
AT2G28810,    AT4G23600,            0.995179927421,   4
AT1G80840,    AT5G04340,            0.994644826336,   5
AT2G32460,    AT1G20910,            0.994238657435,   6
AT1G01060,    AT4G09020,            -0.993984390672,   7
AT1G30210,    AT1G01060,            -0.993780464688,   8
AT1G52880,    AT4G35670,            -0.993592514386,   9
AT1G01060,    AT2G28900,            -0.993443911989,   10
AT1G29160,    AT3G06160,            0.993347470982,   11
AT1G80840,    AT1G66160,            0.993056038427,   12
AT1G06850,    AT3G47160,            -0.993005788433,   13
AT2G18160,    AT3G29575,            -0.992934119516,   14
AT1G01060,    AT3G09260,            -0.992925243825,   15
AT1G80840,    AT5G20230,            0.992846350853,   16
AT1G01060,    AT3G50500,            -0.99283500291,   17
AT1G01060,    AT3G46970,            -0.992808433501,   18
AT1G30490,    AT4G18990,            0.992707434442,   19
AT1G49560,    AT1G33760,            -0.992667943192,   20
AT1G28370,    AT2G20880,            0.992630456303,   21
AT1G01060,    AT4G30650,            -0.992592941748,   22
AT1G68670,    AT1G55850,            -0.992579413505,   23
AT1G68320,    AT1G52710,            -0.992559169464,   24
AT1G69490,    AT3G12320,            0.992518977678,   25
AT1G01060,    AT5G03240,            -0.992452013979,   26
AT1G74840,    AT3G11150,            0.992405062174,   27
AT1G29160,    AT1G07880,            0.992359615613,   28
AT1G64620,    AT1G13270,            -0.992345490287,   29
AT1G01720,    AT2G32140,            0.992327749711,   30
AT1G01060,    AT3G05880,            -0.992027428485,   31
AT1G32870,    AT5G52260,            0.991963894098,   32
AT1G27730,    AT1G52400,            -0.991865176322,   33
AT1G01060,    AT5G67480,            -0.991776807816,   34
AT1G64620,    AT5G43180,            0.991646937585,   35
AT1G01060,    AT2G22450,            -0.991602099016,   36
AT1G27730,    AT1G19380,            0.991583039452,   37
AT1G55110,    AT1G77210,            -0.991378247696,   38
AT1G55110,    AT1G33560,            0.991300700034,   39
AT2G28810,    AT3G45140,            0.991199778696,   40
AT1G01060,    AT2G26510,            -0.991183346453,   41
AT1G52150,    AT5G65730,            0.991151207282,   42
AT1G30210,    AT5G64860,            0.991114558482,   43
AT2G23320,    AT1G77820,            -0.99109910645,   44
AT1G01060,    AT4G04330,            -0.990961804252,   45
AT1G22070,    AT5G24470,            0.99077112963,   46
AT1G01060,    AT1G27630,            -0.990754216771,   47
AT1G28370,    AT4G29740,            0.990724070379,   48
AT2G22430,    AT3G06500,            0.990722354341,   49
AT1G27730,    AT4G24570,            0.990643828507,   50
AT1G01060,    AT5G09630,            -0.99044157421,   51
AT1G68550,    AT3G02840,            0.990280861104,   52
AT1G06850,    AT1G51940,            -0.990184422777,   53
AT2G30250,    AT4G12410,            0.990172050985,   54
AT1G74840,    AT5G06570,            0.990156493805,   55
AT1G49560,    AT4G26270,            0.990082944183,   56
AT1G01060,    AT4G05330,            -0.990032441647,   57
AT1G51700,    AT3G22200,            -0.990017314388,   58
AT1G77920,    AT3G18560,            -0.990001875839,   59
AT1G06850,    AT1G06460,            -0.989995019607,   60
AT1G01060,    AT3G52180,            -0.989978097027,   61
AT1G74480,    AT3G52270,            -0.989934250847,   62
AT1G01060,    AT4G26670,            -0.989906755102,   63
AT1G18330,    AT5G44260,            0.989738364273,   64
AT1G53170,    AT3G53600,            0.989700791033,   65
AT1G25340,    AT5G25830,            -0.989607779007,   66
AT2G15740,    AT3G46620,            0.989421875496,   67
AT1G06850,    AT2G28720,            -0.989230723878,   68
AT1G69780,    AT3G56260,            -0.989173689554,   69
AT1G27730,    AT1G19050,            0.989171216241,   70
AT1G53170,    AT3G63060,            0.989034283699,   71
AT1G01060,    AT1G65870,            0.989027806945,   72
AT1G64620,    AT3G47420,            0.988987334609,   73
AT1G74840,    AT5G60680,            0.988917883263,   74
AT2G22430,    AT5G16900,            0.988884294356,   75
AT1G01060,    AT3G18080,            -0.988600554214,   76
AT1G69490,    AT2G42860,            0.988593714911,   77
AT1G76890,    AT1G32640,            -0.988542931723,   78
AT1G74840,    AT5G12990,            0.988416717385,   79
AT1G55110,    AT2G22980,            -0.988416619788,   80
AT1G30210,    AT3G26740,            0.988413963633,   81
AT1G68670,    AT5G67030,            0.988413150373,   82
AT1G77920,    AT1G49220,            0.988353960382,   83
