regulator,    target,    score,    rank
AT2G18350,    AT2G17060,            0.595260389908,   1
AT1G08320,    AT1G63590,            0.566892101007,   2
AT1G28470,    AT3G23450,            -0.559683338458,   3
AT2G30590,    AT1G11915,            0.50034674052,   4
AT1G74480,    AT3G52270,            -0.492060742996,   5
AT1G51140,    AT2G17170,            -0.492038907331,   6
AT1G28470,    AT4G18560,            0.478574147711,   7
AT1G69180,    AT3G11980,            0.467774206622,   8
AT1G30650,    AT2G05010,            -0.459584281088,   9
AT1G28470,    AT5G18870,            -0.448446586296,   10
AT1G79580,    AT2G36020,            0.448045126494,   11
AT1G74650,    AT5G62750,            -0.443903178259,   12
AT1G78700,    AT5G43120,            0.437976144462,   13
AT1G69180,    AT4G03170,            -0.435355019957,   14
AT1G28470,    AT2G23720,            -0.4302832564,   15
AT1G29860,    AT1G77340,            0.42985677215,   16
AT1G28470,    AT5G66430,            0.429332208714,   17
AT1G28470,    AT2G04580,            0.426843286639,   18
AT2G31230,    AT5G57080,            0.41953894617,   19
AT1G51140,    AT3G60560,            -0.41583891428,   20
AT1G34370,    AT2G40250,            0.415523655969,   21
AT1G69180,    AT5G60310,            0.413794139208,   22
AT1G69180,    AT2G07650,            -0.406833961303,   23
AT1G20980,    AT5G27810,            -0.405274828096,   24
AT1G69180,    AT1G03700,            0.404909902562,   25
AT1G16490,    AT5G49190,            0.401525333191,   26
AT1G03840,    AT1G22110,            0.401259690465,   27
AT1G29860,    AT5G02730,            0.400782247707,   28
AT1G69180,    AT1G47540,            -0.400445943284,   29
AT1G22810,    AT4G15350,            0.395636428268,   30
AT1G30650,    AT4G22530,            0.393208575999,   31
AT1G28470,    AT4G07730,            0.390251093408,   32
AT1G29860,    AT2G26700,            0.388481889825,   33
AT1G74650,    AT2G29250,            0.387266377583,   34
AT2G31230,    AT2G42940,            -0.38688197977,   35
AT1G20980,    AT5G38195,            -0.384245329144,   36
AT2G30590,    AT5G12450,            -0.381252233781,   37
AT2G20110,    AT2G04675,            -0.375393162956,   38
AT1G25340,    AT1G52840,            0.374642738984,   39
AT2G18550,    AT2G36120,            -0.373979194651,   40
AT1G32870,    AT1G34500,            0.373896285366,   41
AT1G20980,    AT2G42140,            -0.372787268814,   42
AT2G30590,    AT3G49380,            -0.371248979098,   43
AT1G22810,    AT5G17460,            -0.370892786216,   44
AT1G32870,    AT5G52260,            0.366514418948,   45
AT1G03840,    AT3G56390,            0.365802896172,   46
AT1G22810,    AT4G09850,            -0.365532561866,   47
AT1G29860,    AT5G61050,            -0.364220425735,   48
AT1G22810,    AT2G06630,            0.36412889575,   49
AT1G29860,    AT4G15060,            0.363774011889,   50
AT1G29280,    AT4G12330,            0.361233616643,   51
AT1G27730,    AT1G72940,            0.359554505052,   52
AT1G29860,    AT3G30220,            0.359094799822,   53
AT1G51140,    AT3G54420,            0.358635843433,   54
AT1G28470,    AT5G10090,            -0.357374770852,   55
