regulator,    target,    score,    rank
AT1G33240,    AT3G01580,            0.99975958951,   1
AT1G75240,    AT4G23110,            0.998488466861,   2
AT1G28470,    AT4G28395,            -0.99810191145,   3
AT1G49480,    AT5G52720,            0.99804673772,   4
AT2G30250,    AT5G61940,            0.997468097501,   5
AT1G19000,    AT3G29600,            -0.996828101745,   6
AT2G02070,    AT5G43120,            -0.996812276288,   7
AT1G80840,    AT5G44010,            -0.996687782867,   8
AT1G28470,    AT5G61460,            0.996495412441,   9
AT2G03500,    AT2G01800,            -0.996357185396,   10
AT1G16490,    AT5G66370,            -0.996069762982,   11
AT1G02250,    AT4G02740,            0.99600292639,   12
AT1G43160,    AT5G09700,            -0.995996076493,   13
AT2G20110,    AT1G75690,            0.99597658338,   14
AT1G19850,    AT2G01060,            0.995861054348,   15
AT2G20110,    AT1G34500,            0.995726745299,   16
AT2G18550,    AT1G05580,            -0.995639354144,   17
AT1G52150,    AT2G16620,            -0.995421955027,   18
AT1G49480,    AT1G74880,            0.995358490927,   19
AT2G03500,    AT2G33640,            0.995199906884,   20
AT1G32870,    AT3G27620,            0.995116801673,   21
AT1G77200,    AT1G12950,            -0.995040404539,   22
AT2G23320,    AT4G03880,            -0.99497974756,   23
AT1G28470,    AT4G11480,            0.994923317211,   24
AT1G79580,    AT2G16660,            -0.994913321154,   25
AT1G30490,    AT2G02990,            0.994836340031,   26
AT2G28810,    AT3G27730,            -0.994818914814,   27
AT2G18380,    AT2G42340,            -0.994784876238,   28
AT1G28470,    AT4G26460,            0.994704296826,   29
AT2G02070,    AT2G02670,            -0.994683812333,   30
AT2G18380,    AT4G38560,            -0.994494693189,   31
AT1G14687,    AT5G39720,            0.994408719846,   32
AT1G18330,    AT1G44800,            -0.994375702213,   33
AT1G19210,    AT1G20680,            0.994371984171,   34
AT1G29280,    AT5G04950,            0.994344179755,   35
AT1G13260,    AT5G17040,            -0.99427947553,   36
AT2G01930,    AT3G12250,            0.994217002763,   37
AT2G18550,    AT5G47500,            -0.99412256415,   38
AT2G23290,    AT2G31590,            0.993912514442,   39
AT2G06200,    AT4G35820,            -0.993905915143,   40
AT1G28470,    AT4G15830,            -0.99377213832,   41
AT1G29280,    AT4G02190,            -0.993733273666,   42
AT1G76420,    AT1G26250,            0.993717463633,   43
AT1G19210,    AT1G14930,            -0.993684940841,   44
AT1G20910,    AT4G25950,            -0.993645483584,   45
AT1G62300,    AT5G06820,            0.993620897698,   46
AT1G49010,    AT2G17000,            0.993529563345,   47
AT2G23320,    AT1G49190,            0.99348448239,   48
AT1G18330,    AT1G53940,            0.99346982462,   49
AT1G28370,    AT1G28480,            0.993437001506,   50
AT1G20910,    AT5G56110,            0.993373981744,   51
AT2G18380,    AT1G10770,            -0.993286849126,   52
AT2G20110,    AT1G03660,            0.993192943348,   53
AT1G19850,    AT2G04560,            -0.99318635173,   54
AT1G74650,    AT1G18990,            0.993176387762,   55
AT2G31230,    AT4G01490,            -0.993145914989,   56
AT1G32870,    AT4G30230,            0.992936926641,   57
AT1G51140,    AT5G25290,            0.992920304704,   58
AT1G51700,    AT1G49230,            -0.992856466489,   59
AT1G64620,    AT3G19550,            0.992716316651,   60
AT1G68670,    AT5G49140,            -0.992698567572,   61
AT1G18330,    AT3G27980,            0.992648807918,   62
AT1G75240,    AT3G09790,            0.992647015241,   63
AT1G34190,    AT5G27870,            0.992618975062,   64
AT2G18550,    AT1G10370,            0.992553076415,   65
AT2G01930,    AT5G23480,            0.99251916242,   66
AT1G27730,    AT5G09940,            0.992487362597,   67
AT1G28470,    AT4G22030,            0.992394154307,   68
AT1G77920,    AT2G38470,            -0.992313862365,   69
AT1G06180,    AT1G33960,            0.992312516554,   70
AT1G77200,    AT2G33230,            0.992291015837,   71
AT1G69780,    AT1G76590,            -0.99226596788,   72
AT1G30490,    AT2G22990,            -0.992059772422,   73
AT1G19000,    AT5G33350,            0.9920427702,   74
AT1G43160,    AT5G28550,            0.992020173028,   75
AT2G23340,    AT4G17340,            -0.991986585396,   76
AT1G79580,    AT1G11040,            0.991978015921,   77
AT1G19000,    AT5G17340,            0.991963079291,   78
AT1G30490,    AT3G22760,            -0.991929643671,   79
AT1G51700,    AT1G56430,            -0.991873189885,   80
AT1G30650,    AT1G44060,            -0.991797594876,   81
AT2G23290,    AT3G53040,            0.991731113158,   82
AT2G18550,    AT3G03260,            0.991722261293,   83
AT1G80840,    AT1G35570,            0.991688534241,   84
AT2G20110,    AT1G27640,            0.991654884874,   85
AT1G77200,    AT2G14020,            -0.991606838144,   86
AT1G69570,    AT1G70400,            -0.991485670721,   87
AT2G23340,    AT3G28920,            0.991476810538,   88
AT1G47655,    AT5G13080,            0.991449337463,   89
AT1G13260,    AT5G59860,            0.991429037561,   90
AT2G28810,    AT2G19420,            -0.991394208643,   91
AT1G64620,    AT1G32650,            0.991350689923,   92
AT2G18550,    AT3G61220,            0.991346691097,   93
AT2G31230,    AT2G42430,            0.991287366484,   94
AT1G01060,    AT2G17880,            0.991268343101,   95
AT2G01060,    AT1G12090,            -0.991254170699,   96
AT1G77200,    AT4G31060,            0.991205188801,   97
AT1G28470,    AT3G48770,            0.991199255675,   98
AT1G34190,    AT2G29220,            0.991180409016,   99
AT1G49010,    AT1G12100,            0.991164955664,   100
AT1G69690,    AT5G60200,            -0.991127149481,   101
AT1G18330,    AT3G23880,            0.991122754627,   102
AT1G28370,    AT2G10340,            -0.991114010815,   103
AT1G77200,    AT2G34610,            0.990961280057,   104
AT1G77200,    AT4G04230,            0.990948762475,   105
AT2G20110,    AT5G06570,            0.990925125167,   106
AT1G30210,    AT3G54820,            0.990811084023,   107
AT1G76420,    AT1G62760,            -0.990809695561,   108
AT1G28470,    AT2G14030,            -0.990784892567,   109
AT1G18330,    AT1G11530,            0.990751377845,   110
AT2G18060,    AT5G18910,            -0.990750643326,   111
AT1G28470,    AT4G31630,            -0.990734636937,   112
AT2G23340,    AT5G03860,            -0.990702723701,   113
AT2G20110,    AT3G60420,            0.990634799564,   114
AT1G28470,    AT5G16570,            0.990536265843,   115
AT1G01060,    AT2G24780,            -0.99050845094,   116
AT1G20910,    AT2G23860,            -0.990498692368,   117
AT2G24430,    AT2G39850,            -0.990433200984,   118
AT1G64620,    AT1G54240,            0.990337736904,   119
AT2G01060,    AT4G00416,            0.990336420717,   120
AT1G54330,    AT3G29670,            0.990336298956,   121
AT1G33240,    AT3G17520,            0.990324835626,   122
AT2G28810,    AT4G35725,            -0.990315107138,   123
AT1G25550,    AT5G40040,            -0.990298508088,   124
AT1G32150,    AT5G64210,            0.990275076966,   125
AT1G69180,    AT5G04120,            -0.990268624263,   126
AT1G28370,    AT1G74930,            0.990228802174,   127
AT2G18380,    AT5G51180,            -0.990149554593,   128
AT2G23340,    AT2G17050,            0.990070685494,   129
AT2G31230,    AT1G50750,            0.989925270916,   130
AT1G49480,    AT3G10030,            0.989918741925,   131
AT2G23340,    AT5G44210,            -0.989896068462,   132
AT1G22810,    AT3G44350,            0.989836363604,   133
AT1G68670,    AT1G48660,            -0.989763727534,   134
AT1G79580,    AT1G65110,            0.989701359513,   135
AT2G18160,    AT4G15480,            -0.989672700174,   136
AT1G34180,    AT1G77830,            0.989620809854,   137
AT2G20400,    AT3G60490,            -0.989594498646,   138
AT2G23320,    AT4G37180,            0.989494932823,   139
AT1G19210,    AT5G57260,            0.989467482692,   140
AT1G28470,    AT3G52110,            -0.989427207209,   141
AT1G30650,    AT5G52140,            0.989426823395,   142
AT1G51700,    AT2G45340,            0.989409600227,   143
AT1G13260,    AT1G09090,            0.989286043331,   144
