regulator,    target,    score,    rank
AT1G33240,    AT3G01580,            0.855736084137,   1
AT1G49480,    AT1G74880,            0.518232399114,   2
AT1G06850,    AT2G07430,            0.407719426288,   3
AT1G68550,    AT4G25200,            -0.398817871666,   4
AT1G33240,    AT2G23230,            0.391994360766,   5
AT2G06200,    AT3G03830,            -0.386992991232,   6
AT1G08320,    AT5G52130,            0.377301374816,   7
AT1G53910,    AT4G35700,            -0.368871209526,   8
AT1G74480,    AT1G54955,            0.367456248656,   9
AT1G68320,    AT4G14380,            -0.362158209724,   10
AT1G01060,    AT2G17880,            0.360528045838,   11
AT1G74650,    AT1G18990,            0.354048873221,   12
AT1G75240,    AT4G23110,            0.35113970442,   13
AT1G74480,    AT1G55370,            0.338760307542,   14
AT1G55110,    AT5G05150,            -0.329134088503,   15
AT2G22540,    AT3G48420,            0.328169842376,   16
AT1G06180,    AT1G33960,            0.323622878671,   17
AT1G77200,    AT2G14020,            -0.323174031845,   18
AT2G22540,    AT1G33900,            -0.321913799816,   19
AT1G78700,    AT2G14580,            0.318405031511,   20
AT1G74650,    AT3G18070,            -0.318365554092,   21
AT1G01060,    AT2G24780,            -0.313154060238,   22
AT2G20110,    AT1G27640,            0.311524353421,   23
AT1G69010,    AT5G27480,            -0.311021583244,   24
AT1G74650,    AT4G11660,            0.306124529929,   25
AT1G49480,    AT5G52720,            0.30471931316,   26
AT1G33240,    AT3G17520,            0.304315973604,   27
AT1G49560,    AT1G13140,            0.301993672909,   28
AT2G30340,    AT3G46780,            0.300944597996,   29
AT2G02070,    AT2G17160,            -0.300938853916,   30
AT1G43700,    AT2G22520,            0.299137133478,   31
AT1G70920,    AT3G61940,            -0.297779330369,   32
AT2G23290,    AT3G53040,            0.295937729053,   33
AT2G30340,    AT4G21360,            0.295175288555,   34
AT1G74480,    AT3G28630,            -0.294105238241,   35
AT1G30650,    AT1G44060,            -0.293935441184,   36
AT1G43700,    AT3G32100,            0.293927477151,   37
AT1G33240,    AT5G35130,            0.293439265789,   38
AT1G74480,    AT4G26020,            -0.290760389759,   39
AT2G20110,    AT2G02640,            -0.290172083971,   40
AT1G27730,    AT3G51810,            0.289573081866,   41
AT1G43700,    AT2G14490,            0.2891176452,   42
AT1G43700,    AT3G43420,            0.287652460411,   43
AT1G19040,    AT1G37826,            0.287106856461,   44
AT2G18380,    AT3G44210,            -0.285836192109,   45
AT1G68320,    AT5G01380,            0.284615126291,   46
AT1G74480,    AT4G23760,            0.283636350808,   47
AT1G79580,    AT1G11040,            0.283389609319,   48
AT1G64620,    AT2G18920,            0.283274456568,   49
AT2G27300,    AT4G39110,            0.283203642717,   50
AT1G28470,    AT5G61460,            0.283035229683,   51
AT1G77200,    AT4G08030,            0.282782508732,   52
AT1G79580,    AT2G16660,            -0.282058066364,   53
AT1G74650,    AT1G68270,            0.281959842133,   54
AT1G14687,    AT3G18560,            -0.281695968364,   55
AT1G01060,    AT3G29775,            -0.281434468093,   56
AT1G19040,    AT1G72760,            0.280678968456,   57
AT1G74480,    AT5G04210,            -0.280029798063,   58
AT1G64620,    AT3G19550,            0.278462649299,   59
AT2G30340,    AT3G42390,            0.278429399393,   60
AT1G19040,    AT1G22090,            -0.278290859854,   61
AT2G02070,    AT1G14430,            -0.276289770723,   62
AT1G74480,    AT1G30140,            0.276236592953,   63
AT1G68320,    AT2G19320,            0.275893995316,   64
AT2G02070,    AT5G27440,            -0.274995079437,   65
AT1G43700,    AT4G31680,            0.274151476652,   66
AT1G01060,    AT1G36510,            -0.273118631587,   67
AT2G01940,    AT4G25490,            0.272975933909,   68
AT1G14687,    AT3G30650,            0.272789536135,   69
AT2G23320,    AT4G03880,            -0.272231003777,   70
AT2G02070,    AT5G43120,            -0.271504278301,   71
AT2G23290,    AT2G31590,            0.26997600489,   72
AT1G68320,    AT1G61610,            0.26997075823,   73
AT1G43700,    ATMG00050,            0.269955800748,   74
AT1G28470,    AT5G49870,            -0.269056433681,   75
AT1G74480,    AT4G16910,            -0.267050049037,   76
AT1G33240,    AT3G49280,            0.266779663041,   77
AT2G02070,    AT2G13620,            0.266273974864,   78
AT1G08320,    AT5G18340,            -0.265576137381,   79
AT1G28470,    AT2G14030,            -0.265347804477,   80
AT2G18550,    AT5G47500,            -0.265039623061,   81
AT1G14687,    AT2G19510,            0.264268344679,   82
AT1G28470,    AT4G15830,            -0.264216470887,   83
AT1G74480,    AT2G03170,            0.263983602317,   84
AT1G08320,    AT3G30200,            0.263831431461,   85
AT1G71450,    AT5G27980,            0.262929682392,   86
AT1G28470,    AT4G28395,            -0.262233023025,   87
AT1G43700,    AT1G36110,            0.260117220319,   88
AT1G68320,    AT1G24000,            0.259905451825,   89
AT1G34190,    AT2G29220,            0.259830364205,   90
AT2G23320,    AT3G25050,            -0.258691333643,   91
AT1G54330,    AT3G08870,            -0.257474389997,   92
AT1G28470,    AT4G22600,            -0.257013761939,   93
AT1G55110,    AT1G63070,            0.256900602816,   94
AT2G04038,    AT4G08660,            -0.256452281923,   95
AT1G79580,    AT1G80090,            -0.254907244537,   96
AT1G43700,    AT2G43890,            0.253178434395,   97
AT1G29280,    AT4G12860,            -0.252696414967,   98
