regulator,    target,    score,    rank
AT1G25340,    AT3G31300,            0.482174663303,   1
AT2G04038,    AT1G68510,            0.456329899112,   2
AT2G18060,    AT3G45220,            0.422737929334,   3
AT2G18380,    AT1G47810,            0.413678901525,   4
AT2G18060,    AT5G58170,            0.406136842064,   5
AT1G64620,    AT4G28500,            -0.400964974385,   6
AT1G16490,    AT2G31955,            -0.384886882253,   7
AT2G18060,    AT1G65570,            -0.377544192232,   8
AT2G04038,    AT3G28520,            0.374011882679,   9
AT1G34180,    AT3G57620,            -0.370767785904,   10
AT1G06850,    AT1G53340,            0.35228495837,   11
AT2G18060,    AT3G05660,            -0.348124594915,   12
AT2G18060,    AT3G52770,            -0.343587982273,   13
AT2G27300,    AT3G07150,            0.337256932471,   14
AT2G03500,    AT3G19180,            -0.333329834331,   15
AT1G19210,    AT5G57630,            -0.333214340265,   16
AT1G64620,    AT3G21080,            -0.332909008944,   17
AT1G54330,    AT3G25650,            0.332819344947,   18
AT1G64620,    AT2G21680,            -0.325802960048,   19
AT2G27300,    AT3G62320,            0.317859491138,   20
AT1G34180,    AT4G30270,            -0.317734335113,   21
AT1G64620,    AT1G06000,            0.31367961258,   22
AT1G29280,    AT3G09735,            0.312595464666,   23
AT1G28370,    AT5G66210,            0.311679636846,   24
AT2G01060,    AT2G34440,            0.309863165159,   25
AT1G64620,    AT4G25490,            -0.306162364555,   26
AT2G18380,    AT5G06100,            0.302346559852,   27
AT1G64620,    AT5G14770,            0.300320793348,   28
AT1G29280,    AT3G48640,            0.299559347825,   29
AT1G06850,    AT1G05700,            0.297360878445,   30
AT1G64620,    AT3G54420,            0.296912092796,   31
AT2G18380,    AT1G70400,            0.296647454404,   32
AT1G19210,    AT5G43580,            0.293420070728,   33
AT1G29160,    AT5G15840,            0.29112219154,   34
AT1G16490,    AT1G52790,            -0.290850964167,   35
AT2G18380,    AT5G29060,            0.2898408061,   36
AT1G51140,    AT1G44090,            -0.286724774806,   37
AT1G19210,    AT4G39000,            0.286254366356,   38
AT1G29280,    AT1G77860,            0.285494708611,   39
AT2G27300,    AT3G19700,            0.285092801207,   40
AT1G28370,    AT5G47455,            -0.284659744057,   41
AT1G27730,    AT5G06190,            0.283468457644,   42
AT2G18380,    AT1G24210,            -0.283444465919,   43
AT1G19210,    AT1G19640,            0.282873513027,   44
AT2G04038,    AT2G19190,            0.278357162265,   45
AT2G02450,    AT3G03020,            0.277829243118,   46
AT2G18060,    AT1G33960,            -0.277315616194,   47
AT1G14687,    AT1G61160,            0.276767954897,   48
AT2G04038,    AT2G04063,            -0.276114103286,   49
AT2G27300,    AT3G52460,            0.274971390684,   50
AT1G65910,    AT4G12180,            -0.274865908585,   51
AT1G74840,    AT3G16050,            -0.274232756648,   52
AT2G03340,    AT3G60120,            -0.273109909642,   53
AT2G27300,    AT3G28750,            0.271910773165,   54
AT2G30340,    AT4G26020,            0.271316131072,   55
AT2G04038,    AT1G26410,            0.271166146598,   56
AT1G19210,    ATMG00050,            -0.271083178263,   57
AT1G06850,    AT5G39630,            0.270152118507,   58
AT2G03500,    AT5G37900,            0.270128585067,   59
AT2G27300,    AT5G04410,            0.270065619539,   60
AT1G72740,    AT2G35270,            0.268499230564,   61
AT2G26960,    AT4G27150,            0.267903252445,   62
AT1G12610,    ATMG00740,            -0.267534021954,   63
AT1G64620,    AT5G55020,            -0.266299837868,   64
AT1G19210,    AT1G75890,            -0.265317297031,   65
AT1G28470,    AT2G32610,            0.262261744872,   66
AT1G12610,    AT2G11680,            -0.260395589088,   67
AT1G16490,    AT1G71880,            0.26030492108,   68
AT1G72740,    AT3G16020,            0.259744954239,   69
AT1G09540,    AT3G59080,            0.258523407575,   70
AT1G20910,    AT2G19450,            -0.258303335631,   71
AT1G74840,    AT3G21370,            0.258192282245,   72
AT1G53170,    AT3G50610,            0.257601492992,   73
AT1G19210,    AT2G12210,            -0.256861684512,   74
AT1G19210,    AT2G34110,            0.25616663686,   75
AT1G59640,    AT2G19320,            -0.255805939039,   76
AT1G12610,    AT5G41540,            -0.255549199867,   77
AT1G69010,    AT1G42690,            -0.255404053418,   78
AT1G53170,    AT1G73500,            0.253652089163,   79
AT1G19210,    AT1G22370,            -0.252899817834,   80
AT1G72740,    AT2G39240,            -0.252117083662,   81
AT2G18380,    AT5G45300,            0.251693063869,   82
AT2G04038,    AT4G26460,            -0.251668978391,   83
AT1G28370,    AT3G48650,            0.251296680915,   84
AT1G64620,    AT2G36400,            -0.251047141062,   85
AT1G19210,    AT1G08980,            -0.250264477724,   86
AT1G65910,    AT3G53980,            -0.250260284116,   87
AT1G01720,    AT5G63800,            -0.24963276144,   88
AT2G30340,    AT1G09220,            -0.248927243734,   89
AT1G30650,    AT4G09110,            0.248645387305,   90
AT1G69010,    AT1G01980,            0.248543802582,   91
AT1G19210,    AT4G26010,            -0.248152026154,   92
AT1G29280,    AT2G44380,            -0.248068649946,   93
AT1G30490,    AT1G53020,            -0.247939128969,   94
AT1G06850,    AT2G18650,            -0.247816959764,   95
AT1G12610,    AT3G45500,            -0.246640427978,   96
AT1G65910,    AT3G23010,            -0.246545502371,   97
AT1G27730,    AT4G14050,            0.245592130234,   98
AT2G04038,    AT5G51900,            -0.245081588983,   99
AT1G65910,    AT4G13510,            -0.244834767564,   100
AT1G49010,    AT1G23570,            -0.244723044222,   101
AT2G06200,    AT3G66656,            0.244543810201,   102
AT1G54330,    AT4G00416,            0.243846947111,   103
AT2G03500,    AT4G12860,            -0.24375882926,   104
AT1G01720,    AT5G58180,            -0.243014432197,   105
AT2G03500,    AT3G29791,            -0.242980197186,   106
AT2G30340,    AT1G71000,            -0.242520773968,   107
AT1G06850,    AT5G09730,            -0.242440522417,   108
AT2G30340,    AT5G24110,            0.241894140271,   109
AT1G28470,    AT3G30845,            -0.241674236243,   110
AT1G69690,    AT1G77240,            0.241377432539,   111
AT1G59640,    AT3G25850,            -0.241202385766,   112
AT1G01720,    AT2G22980,            -0.240806398977,   113
AT1G19210,    AT1G18680,            -0.240732411176,   114
AT2G04038,    AT3G26110,            -0.240382169819,   115
AT2G04038,    AT1G02190,            -0.239855913521,   116
AT1G01720,    AT3G26280,            -0.239779782869,   117
AT1G64620,    AT3G43420,            -0.239779102876,   118
AT1G20910,    AT5G44010,            -0.239269864663,   119
AT1G12610,    AT5G13700,            -0.239150771663,   120
AT1G79180,    AT2G22510,            -0.237880332214,   121
AT1G12610,    AT2G14360,            -0.237748294667,   122
AT1G75390,    AT1G48660,            -0.237725558498,   123
AT2G20110,    AT5G02780,            0.237686510599,   124
AT2G27300,    AT4G07600,            0.236853519724,   125
AT1G78700,    AT1G69890,            0.236589977053,   126
AT1G06850,    AT4G27930,            0.236539601692,   127
AT2G18060,    AT3G32090,            0.236359401518,   128
AT1G14687,    AT4G12410,            0.235722773355,   129
AT2G18380,    AT5G40990,            0.235214888628,   130
AT2G02450,    AT2G18540,            0.235133003923,   131
AT2G04038,    AT3G12580,            0.234338563698,   132
AT1G20910,    AT1G11210,            -0.234094854242,   133
AT1G64620,    AT1G78360,            0.233991635905,   134
AT2G26960,    AT2G34320,            0.232844857461,   135
AT1G65910,    AT2G23800,            0.232617156735,   136
AT2G02450,    AT5G51550,            0.231406246938,   137
AT1G64620,    AT4G31290,            -0.231088903644,   138
AT2G03340,    AT5G35540,            -0.230256175894,   139
AT1G69690,    AT2G07440,            0.230028997128,   140
AT1G19210,    AT1G36020,            0.228916363726,   141
AT2G18060,    AT4G26260,            -0.227399056658,   142
AT1G74480,    AT1G53990,            0.227342394974,   143
