regulator,    target,    score,    rank
AT1G47655,    AT5G11870,            -0.992823691728,   1
AT1G51140,    AT3G20180,            -0.988411592964,   2
AT2G18160,    AT4G26910,            -0.98798363574,   3
AT2G18160,    AT4G33310,            -0.98696492215,   4
AT2G18380,    AT4G37010,            -0.986897595912,   5
AT2G30250,    AT4G02250,            0.986556808643,   6
AT1G27730,    AT1G72940,            0.986269994012,   7
AT2G01060,    AT3G03560,            0.986107721636,   8
AT1G47655,    AT3G25180,            -0.985773831834,   9
AT1G49560,    AT3G16770,            -0.98565104032,   10
AT2G30250,    AT1G74360,            0.985459789929,   11
AT1G64620,    AT3G28220,            0.98532775905,   12
AT1G34190,    AT2G47130,            0.985108444604,   13
AT1G49010,    AT4G38840,            0.985067409639,   14
AT1G22810,    AT2G46940,            0.98504588213,   15
AT1G69180,    AT4G14695,            0.984901172606,   16
AT1G70920,    AT1G36060,            0.984578086479,   17
AT1G69490,    AT2G28400,            0.984500387652,   18
AT1G32870,    AT3G28580,            0.984302947808,   19
AT1G74650,    AT1G41930,            -0.98417902548,   20
AT1G69570,    AT1G02660,            0.983975807304,   21
AT1G01720,    AT4G32800,            -0.983727486003,   22
AT1G32150,    AT1G14360,            -0.983622178763,   23
AT1G34180,    AT2G04790,            -0.983572234947,   24
AT1G51140,    AT4G37080,            0.983554273459,   25
AT2G23320,    AT5G64905,            0.983519858057,   26
AT1G64620,    AT5G41920,            -0.983338815235,   27
AT1G34180,    AT4G26060,            0.983323600478,   28
AT1G49010,    AT4G26800,            -0.98320896998,   29
AT1G28370,    AT4G26670,            -0.983179660985,   30
AT1G28370,    AT1G59910,            0.983177050669,   31
AT1G34190,    AT2G04070,            0.983089849354,   32
AT1G34180,    AT4G15420,            0.983020041126,   33
AT1G34180,    AT3G13910,            0.98290946879,   34
AT2G18160,    AT3G06750,            0.982866117731,   35
AT2G02080,    AT4G07970,            -0.982717891822,   36
AT1G32150,    AT4G25700,            0.982433889295,   37
AT1G34190,    AT3G13100,            0.982381534565,   38
AT1G69490,    AT3G62950,            0.982249548852,   39
AT2G23320,    AT3G22060,            0.982212149243,   40
AT1G78700,    AT5G47370,            0.982211066045,   41
AT1G51700,    AT3G05900,            0.982206650499,   42
AT2G01060,    AT1G15790,            0.982192423011,   43
AT1G19210,    AT4G25430,            0.981883194871,   44
AT1G34190,    AT4G11890,            0.981809625353,   45
AT2G30250,    AT4G11480,            0.981703913966,   46
AT1G69180,    AT5G24120,            0.981678813786,   47
AT2G23320,    AT5G27420,            0.981367459329,   48
AT1G18330,    AT1G54470,            0.981361129245,   49
AT1G69180,    AT2G35290,            0.981230932466,   50
AT1G51140,    AT5G42010,            -0.981215999016,   51
AT1G09540,    AT5G25370,            -0.981058791052,   52
AT1G77200,    AT1G34370,            -0.980942710251,   53
AT2G28810,    AT5G47220,            -0.980890563319,   54
AT1G28370,    AT2G18210,            0.980547848354,   55
AT1G18330,    AT5G28200,            0.980407927209,   56
AT1G49010,    AT1G76110,            0.980353214237,   57
AT1G75240,    AT1G63960,            0.980294115801,   58
AT2G18160,    AT2G28305,            0.980293124614,   59
AT1G34180,    AT4G23540,            0.979918538314,   60
AT2G18380,    AT1G67000,            -0.979884256473,   61
AT1G33240,    AT2G04795,            0.979853861447,   62
AT1G28370,    AT4G25750,            0.979356185737,   63
AT1G64620,    AT4G36105,            0.979083554584,   64
AT2G18160,    AT4G27657,            0.978992082747,   65
AT1G51700,    AT5G51190,            0.978559904126,   66
AT1G34180,    AT5G20910,            0.978463153431,   67
AT1G34190,    AT1G72540,            0.978439849529,   68
AT1G12260,    AT3G43040,            -0.978389747987,   69
AT1G69780,    AT2G39520,            0.978379233073,   70
AT2G23320,    AT1G55450,            0.978332113949,   71
AT1G16490,    AT5G28280,            0.978254788206,   72
AT1G75240,    AT1G74670,            0.978218667186,   73
AT1G12610,    AT1G70000,            0.978176444589,   74
AT1G34180,    AT5G09420,            0.97816547353,   75
AT1G54330,    AT5G25140,            -0.978148020359,   76
AT1G27730,    AT3G55980,            0.978139737336,   77
AT2G18160,    AT5G43850,            0.977787639186,   78
AT2G18160,    AT3G51440,            -0.977786575478,   79
AT1G51700,    AT4G24570,            0.977583303841,   80
AT2G22430,    AT3G46230,            0.977576531423,   81
AT1G62300,    AT2G43620,            0.977564908762,   82
AT1G51140,    AT2G15390,            -0.977459045705,   83
AT1G75240,    AT3G19450,            0.977378747115,   84
AT1G29160,    AT5G54470,            -0.977375647077,   85
AT1G34190,    AT4G37910,            0.977341425601,   86
AT1G34180,    AT4G36990,            0.977327153215,   87
AT1G22070,    AT5G39050,            0.977207120585,   88
AT1G27730,    AT1G51990,            0.977126301219,   89
AT1G49560,    AT1G79060,            -0.976988528624,   90
AT2G01930,    AT2G35910,            0.976938329256,   91
AT1G34180,    AT5G47120,            0.97691460725,   92
AT1G29160,    AT5G66210,            -0.976873985757,   93
AT1G27730,    AT1G65310,            0.97673014697,   94
AT2G30250,    AT5G01550,            0.976655689906,   95
AT1G12260,    AT3G25200,            0.976602224813,   96
AT1G33240,    AT4G28290,            0.976555557231,   97
AT2G01060,    AT1G17050,            -0.976523939925,   98
AT1G12630,    AT1G63650,            0.976474121753,   99
AT1G18330,    AT5G53710,            0.976455434703,   100
AT1G79580,    AT2G32740,            0.976369818953,   101
AT1G53170,    AT1G65510,            0.976365675775,   102
AT1G27730,    AT5G67030,            0.976306064907,   103
AT1G49010,    AT4G37640,            -0.976288587303,   104
AT1G76890,    AT5G17080,            -0.976131243423,   105
AT1G34190,    AT3G10500,            0.976026415701,   106
AT1G30650,    AT2G05540,            0.975998544965,   107
AT1G54330,    AT1G71890,            -0.975989567092,   108
AT1G16490,    AT2G26320,            0.975917867202,   109
AT1G69180,    AT2G35770,            0.97579969456,   110
AT1G54330,    AT3G50730,            -0.975586243993,   111
AT2G18350,    AT4G08650,            -0.975585346093,   112
AT2G23320,    AT4G11330,            0.975508891762,   113
AT1G69180,    AT3G57020,            0.975484176125,   114
AT2G18160,    AT3G21870,            0.975422705337,   115
AT1G34180,    AT3G28210,            0.975295414549,   116
AT1G51140,    AT4G31860,            -0.975257727036,   117
AT1G27730,    AT5G62020,            0.975248972419,   118
AT2G22430,    AT1G36105,            -0.975201254772,   119
AT1G33240,    AT2G38465,            -0.975102368844,   120
AT1G77200,    AT1G09080,            -0.975101592655,   121
AT1G49010,    AT1G37150,            -0.975061714884,   122
AT2G30250,    AT4G22590,            0.975021760761,   123
AT1G03840,    AT4G19820,            0.974919184057,   124
AT1G22070,    AT5G27520,            0.974713973126,   125
AT2G01060,    AT1G65870,            -0.974685197161,   126
AT1G06850,    AT2G30540,            0.974633649119,   127
AT1G49480,    AT2G17960,            0.974625528182,   128
AT1G12260,    AT2G27270,            0.974477636243,   129
AT2G02070,    AT1G20310,            -0.974474950313,   130
AT2G28810,    AT2G19300,            -0.974440080778,   131
AT2G18160,    AT5G61530,            -0.974401929344,   132
AT1G51140,    AT4G19370,            -0.974310900222,   133
AT1G34180,    AT4G26640,            -0.974273473563,   134
AT1G49480,    AT5G61420,            0.974252657552,   135
AT1G03840,    AT1G73070,            0.974234997025,   136
AT2G01060,    AT3G14770,            -0.974071855803,   137
AT1G75240,    AT3G47160,            -0.974030626758,   138
AT1G69570,    AT4G27260,            0.973953383392,   139
AT1G34190,    AT5G56350,            0.973930454398,   140
AT1G69570,    AT4G19780,            0.973805058623,   141
AT1G03840,    AT3G45810,            0.973803769521,   142
AT1G01060,    AT4G09020,            -0.973641409386,   143
AT1G75240,    AT1G77510,            -0.973634420362,   144
AT2G02080,    AT1G75520,            0.973608285001,   145
AT2G18380,    AT3G50570,            0.973594593525,   146
AT1G51700,    AT3G20880,            0.973566140377,   147
AT1G12630,    AT4G01550,            -0.973500828272,   148
AT1G71450,    AT1G32740,            0.973387003185,   149
AT1G22070,    AT1G35230,            0.973353030209,   150
AT1G51700,    AT1G55960,            0.973286534007,   151
AT1G27730,    AT3G52180,            -0.973171468684,   152
AT1G49010,    AT2G26150,            -0.973158887246,   153
AT1G27730,    AT5G04340,            0.973122306669,   154
