regulator,    target,    score,    rank
AT1G47655,    AT5G11870,            -0.99533651918,   1
AT1G51140,    AT3G20180,            -0.994258754768,   2
AT2G18160,    AT4G26910,            -0.992794196124,   3
AT2G30250,    AT4G02250,            0.99273198506,   4
AT2G18160,    AT4G33310,            -0.992594479583,   5
AT2G18380,    AT4G37010,            -0.992522209691,   6
AT1G49010,    AT4G38840,            0.992043664724,   7
AT1G47655,    AT3G25180,            -0.991899138712,   8
AT2G01060,    AT3G03560,            0.991853965611,   9
AT2G30250,    AT1G74360,            0.991563442199,   10
AT1G64620,    AT3G28220,            0.991226897193,   11
AT1G49560,    AT3G16770,            -0.991081252638,   12
AT1G34190,    AT2G47130,            0.990600823593,   13
AT1G22810,    AT2G46940,            0.990317951394,   14
AT1G69180,    AT4G14695,            0.990304712841,   15
AT1G69490,    AT2G28400,            0.990124140101,   16
AT1G34180,    AT4G26060,            0.99009219526,   17
AT1G51140,    AT4G37080,            0.990064995432,   18
AT1G34180,    AT4G15420,            0.990057548044,   19
AT1G32870,    AT3G28580,            0.989899532573,   20
AT1G28370,    AT4G26670,            -0.989714828138,   21
AT1G34190,    AT2G04070,            0.989680223686,   22
AT1G34180,    AT3G13910,            0.98963919494,   23
AT1G27730,    AT1G72940,            0.989609285424,   24
AT1G69570,    AT1G02660,            0.989547440072,   25
AT1G74650,    AT1G41930,            -0.989510262452,   26
AT1G64620,    AT5G41920,            -0.98951025874,   27
AT1G32150,    AT1G14360,            -0.98940795983,   28
AT1G70920,    AT1G36060,            0.989291841366,   29
AT1G51700,    AT3G05900,            0.98921651119,   30
AT2G23320,    AT3G22060,            0.989161226551,   31
AT2G23320,    AT5G64905,            0.989090518823,   32
AT1G69490,    AT3G62950,            0.989061805084,   33
AT1G28370,    AT1G59910,            0.989025466651,   34
AT1G49010,    AT4G26800,            -0.988714279665,   35
AT1G34180,    AT2G04790,            -0.988687736651,   36
AT1G32150,    AT4G25700,            0.988566623491,   37
AT1G01720,    AT4G32800,            -0.988519671085,   38
AT1G34190,    AT3G13100,            0.988506863973,   39
AT1G69180,    AT5G24120,            0.988273380291,   40
AT2G30250,    AT4G11480,            0.987996855103,   41
AT2G18160,    AT3G06750,            0.987958107677,   42
AT2G01060,    AT1G15790,            0.987948577852,   43
AT1G19210,    AT4G25430,            0.98774565602,   44
AT1G28370,    AT2G18210,            0.987399852007,   45
AT1G34190,    AT4G11890,            0.987373447875,   46
AT1G18330,    AT1G54470,            0.987321146478,   47
AT1G78700,    AT5G47370,            0.987301808732,   48
AT2G02080,    AT4G07970,            -0.987118894916,   49
AT2G28810,    AT5G47220,            -0.987117314215,   50
AT1G09540,    AT5G25370,            -0.986852875039,   51
AT2G23320,    AT5G27420,            0.986777613198,   52
AT1G51140,    AT5G42010,            -0.986729359073,   53
AT1G69180,    AT2G35290,            0.986679694392,   54
AT1G49010,    AT1G76110,            0.986460729462,   55
AT1G75240,    AT1G63960,            0.986446821634,   56
AT1G33240,    AT2G04795,            0.986384069084,   57
AT1G77200,    AT1G34370,            -0.986327503181,   58
AT1G18330,    AT5G28200,            0.986077779458,   59
AT2G18380,    AT1G67000,            -0.986072296432,   60
AT1G69780,    AT2G39520,            0.985971690188,   61
AT1G64620,    AT4G36105,            0.985808583044,   62
AT1G34180,    AT5G20910,            0.985593551623,   63
AT1G28370,    AT4G25750,            0.985478846754,   64
AT1G34180,    AT4G23540,            0.985376611149,   65
AT1G54330,    AT5G25140,            -0.985314739782,   66
AT2G18160,    AT2G28305,            0.985228214254,   67
AT2G18160,    AT5G43850,            0.985175392216,   68
AT2G18160,    AT4G27657,            0.985175168734,   69
AT1G75240,    AT1G74670,            0.985171622312,   70
AT1G51700,    AT5G51190,            0.98515469074,   71
AT2G23320,    AT1G55450,            0.984849953967,   72
AT1G34180,    AT5G09420,            0.984678635221,   73
AT2G01930,    AT2G35910,            0.984654883399,   74
AT1G34190,    AT1G72540,            0.984642889912,   75
AT1G16490,    AT5G28280,            0.984557637993,   76
AT2G18160,    AT3G51440,            -0.984491820502,   77
AT1G29160,    AT5G66210,            -0.98448573351,   78
AT2G22430,    AT3G46230,            0.984481321771,   79
AT1G62300,    AT2G43620,            0.984451773375,   80
AT1G29160,    AT5G54470,            -0.984301310892,   81
AT1G76890,    AT5G17080,            -0.984225553535,   82
AT1G75240,    AT3G19450,            0.984204288586,   83
AT1G12260,    AT3G43040,            -0.984012329751,   84
AT1G51140,    AT4G31860,            -0.983986453318,   85
AT1G51700,    AT4G24570,            0.983936568481,   86
AT1G27730,    AT3G55980,            0.983880809776,   87
AT1G49560,    AT1G79060,            -0.983789294982,   88
AT1G34180,    AT4G36990,            0.98370545033,   89
AT1G12610,    AT1G70000,            0.983673581934,   90
AT2G01060,    AT1G17050,            -0.983667010912,   91
AT1G27730,    AT1G51990,            0.983665991056,   92
AT1G34190,    AT4G37910,            0.983655902229,   93
AT1G34180,    AT5G47120,            0.983624291164,   94
AT1G12260,    AT3G25200,            0.983615366596,   95
AT1G34190,    AT3G10500,            0.983551581337,   96
AT2G18350,    AT4G08650,            -0.983508542554,   97
AT1G49010,    AT1G37150,            -0.983232364272,   98
AT1G34180,    AT3G28210,            0.983160920188,   99
AT1G51140,    AT2G15390,            -0.98314468485,   100
AT1G27730,    AT1G65310,            0.983068817749,   101
AT1G27730,    AT5G67030,            0.983059522044,   102
AT2G30250,    AT5G01550,            0.982891017881,   103
AT2G22430,    AT1G36105,            -0.982746567305,   104
AT1G79580,    AT2G32740,            0.982668986274,   105
AT1G49010,    AT4G37640,            -0.98265945772,   106
AT1G33240,    AT4G28290,            0.982585329972,   107
AT1G54330,    AT3G50730,            -0.982485240186,   108
AT1G54330,    AT1G71890,            -0.982432674844,   109
AT2G18160,    AT3G21870,            0.982420537395,   110
AT1G22070,    AT5G39050,            0.982403722332,   111
AT1G12630,    AT1G63650,            0.982401540203,   112
AT1G30650,    AT2G05540,            0.982393238605,   113
AT1G53170,    AT1G65510,            0.982390079791,   114
AT1G18330,    AT5G53710,            0.982378261288,   115
AT1G03840,    AT4G19820,            0.982279078373,   116
AT1G51700,    AT1G55960,            0.982267141832,   117
AT1G06850,    AT2G30540,            0.982246502512,   118
AT1G69180,    AT2G35770,            0.982155663026,   119
AT2G01060,    AT1G65870,            -0.982124659032,   120
AT1G27730,    AT5G62020,            0.982123917812,   121
AT1G22070,    AT5G27520,            0.982008406171,   122
AT2G28810,    AT2G19300,            -0.981918162184,   123
AT1G75240,    AT3G47160,            -0.981885654776,   124
AT1G49480,    AT2G17960,            0.981873148489,   125
AT1G33240,    AT2G38465,            -0.981821810609,   126
AT1G16490,    AT2G26320,            0.981776517823,   127
AT1G12260,    AT2G27270,            0.981765940402,   128
AT2G01060,    AT3G14770,            -0.981733475926,   129
AT2G23320,    AT4G11330,            0.981691772354,   130
AT1G69180,    AT3G57020,            0.98167826815,   131
AT1G01060,    AT4G09020,            -0.98158076296,   132
AT1G49010,    AT2G26150,            -0.981460974646,   133
AT2G02070,    AT1G20310,            -0.981421619614,   134
AT2G18160,    AT5G61530,            -0.981418246339,   135
AT1G77200,    AT1G09080,            -0.981362431361,   136
AT2G18380,    AT3G50570,            0.981295033503,   137
AT1G34180,    AT4G26640,            -0.981195670636,   138
AT2G30250,    AT4G22590,            0.981167143783,   139
AT1G69570,    AT4G19780,            0.981141122362,   140
AT1G51140,    AT4G19370,            -0.981000412833,   141
AT1G34180,    AT1G34190,            0.980916244081,   142
AT1G75240,    AT1G77510,            -0.980888856654,   143
AT1G34190,    AT5G56350,            0.980879374605,   144
AT1G34190,    AT5G01015,            -0.980800138506,   145
AT2G02080,    AT1G75520,            0.980689410037,   146
AT1G27730,    AT3G52180,            -0.980628600377,   147
AT1G12630,    AT4G01550,            -0.980574723078,   148
AT1G75390,    AT1G32900,            0.980551801572,   149
AT1G49480,    AT5G61420,            0.980489449355,   150
AT1G03840,    AT3G45810,            0.98034203734,   151
AT1G32150,    AT2G45500,            -0.98032644874,   152
AT1G51700,    AT3G20880,            0.980248464993,   153
AT1G28370,    AT1G16730,            0.980166349075,   154
AT1G28470,    AT5G27610,            -0.980069104122,   155
AT1G01060,    AT1G58290,            0.980055033967,   156
AT1G69780,    AT2G36890,            0.980037436087,   157
AT1G34190,    AT2G35480,            0.979951291119,   158
AT1G34190,    AT4G26470,            0.979863955892,   159
AT1G68670,    AT1G32020,            0.979856613153,   160
AT1G01060,    AT1G52770,            -0.979670130511,   161
AT1G69570,    AT4G27260,            0.979669858065,   162
AT1G28370,    AT1G19380,            0.979654614186,   163
AT2G01060,    AT5G51570,            0.979647386524,   164
AT1G22070,    AT1G35230,            0.979631358219,   165
AT1G27730,    AT5G04340,            0.979595043544,   166
AT1G01060,    AT5G39410,            -0.979446178142,   167
AT2G26960,    AT1G25400,            0.979403011336,   168
AT1G01060,    AT4G18240,            -0.979240223927,   169
AT1G09540,    AT2G38250,            0.979114982321,   170
AT1G54330,    AT1G24530,            -0.979030408577,   171
AT1G75240,    AT1G17745,            -0.978954430734,   172
AT1G71450,    AT1G32740,            0.978947303964,   173
AT1G49560,    AT2G40000,            -0.978931714645,   174
AT2G23320,    AT1G76070,            0.978818729743,   175
AT1G51700,    AT4G34590,            -0.978797624493,   176
AT1G27730,    AT5G26570,            -0.978749827413,   177
AT1G34190,    AT2G18190,            0.978738921518,   178
AT1G32870,    AT1G20190,            -0.978716722003,   179
AT2G01060,    AT3G27500,            -0.978590527075,   180
AT1G34190,    AT4G39980,            0.978558217524,   181
AT1G53910,    AT5G40040,            0.978467110787,   182
AT1G77920,    AT5G09730,            0.97842409463,   183
