regulator,    target,    score,    rank
AT1G53910,    AT5G41380,            -0.994249198171,   1
AT1G74650,    AT1G26220,            0.993870511945,   2
AT1G69780,    AT4G02740,            -0.993865142093,   3
AT1G30210,    AT4G03270,            0.992637149057,   4
AT1G74480,    AT5G48270,            0.992333932041,   5
AT1G16490,    AT2G07693,            -0.992241913521,   6
AT1G19850,    AT2G30630,            0.991473529232,   7
AT1G12260,    AT5G13180,            -0.991291609121,   8
AT1G69010,    AT1G11330,            0.991229295588,   9
AT2G23340,    AT1G20070,            -0.991111462456,   10
AT2G03340,    AT5G29584,            0.990910911936,   11
AT1G19000,    AT1G17990,            0.990853537931,   12
AT1G25550,    AT5G58120,            0.989830163084,   13
AT1G01060,    AT1G13930,            -0.989445359134,   14
AT1G69010,    AT5G09370,            0.988930566836,   15
AT1G09540,    AT3G49170,            -0.988892768831,   16
AT1G32150,    AT1G16850,            -0.988695597367,   17
AT1G01720,    AT5G44360,            0.988420459088,   18
AT1G16490,    ATMG00320,            -0.988367658399,   19
AT1G49560,    AT3G23450,            -0.988316916118,   20
AT1G06850,    AT4G15100,            -0.988179052742,   21
AT1G80840,    AT1G72450,            0.988068927052,   22
AT2G30340,    AT1G64820,            -0.988016892641,   23
AT1G29160,    AT1G34370,            0.987971878649,   24
AT1G16490,    AT1G49230,            -0.987938152422,   25
AT1G30650,    AT5G49240,            0.987927765483,   26
AT2G22540,    AT2G02540,            0.987851493839,   27
AT1G33240,    AT5G39870,            -0.987655096406,   28
AT1G72740,    AT5G01080,            -0.987175339607,   29
AT2G18060,    AT4G11700,            0.986747108417,   30
AT1G77200,    AT5G49370,            -0.986738233137,   31
AT1G36060,    AT1G70930,            0.986681255602,   32
AT1G49480,    AT4G18890,            -0.986516963667,   33
AT2G32460,    AT1G02640,            0.9863062654,   34
AT1G79180,    AT5G52710,            0.986278747531,   35
AT1G16490,    AT4G33980,            -0.986217362872,   36
AT1G01060,    AT2G42760,            0.986107966224,   37
AT1G69010,    AT5G61550,            -0.985484627175,   38
AT1G36060,    AT2G46770,            0.985460642639,   39
AT1G78700,    AT1G63030,            0.985302064891,   40
AT1G69180,    AT4G15370,            -0.985028973596,   41
AT1G51140,    AT2G17950,            -0.985001236297,   42
AT1G01060,    AT2G22850,            0.984978206588,   43
AT2G28810,    AT2G27690,            -0.984866143798,   44
AT1G29860,    AT5G02230,            0.984669431416,   45
AT1G51700,    AT1G13370,            0.984652995725,   46
AT1G70920,    AT2G36270,            -0.984533786762,   47
AT1G72740,    AT1G69920,            -0.984153994591,   48
AT1G25550,    AT3G08750,            0.98356550636,   49
AT1G29860,    AT2G44480,            0.983320772732,   50
AT1G28470,    AT3G25170,            0.982927101228,   51
AT1G77920,    AT4G25330,            0.982863837124,   52
AT1G79180,    AT3G30270,            0.982807442743,   53
AT1G01060,    AT1G49720,            -0.982434343873,   54
AT1G09540,    AT3G27370,            0.982355463627,   55
AT1G51140,    AT1G39750,            -0.982217255643,   56
AT1G06850,    AT3G02670,            -0.982127511812,   57
AT1G74650,    AT3G24410,            -0.981902016822,   58
AT1G28370,    AT3G63380,            -0.981861036858,   59
AT1G01060,    AT1G19180,            0.981855632393,   60
AT1G16490,    AT5G60100,            -0.981844057933,   61
AT1G08320,    AT3G16680,            -0.981679063786,   62
AT2G18380,    AT1G32640,            0.981411764494,   63
AT2G06200,    AT5G64790,            0.981202240682,   64
AT1G30650,    AT1G43800,            -0.981047686923,   65
AT1G19000,    AT3G08940,            0.980798542065,   66
AT1G76890,    AT2G36120,            0.980467166761,   67
AT1G19000,    AT1G51115,            0.980328977988,   68
AT1G01060,    AT1G42710,            -0.980264690844,   69
AT2G01060,    AT1G66980,            0.980112841457,   70
AT1G55110,    AT2G28630,            0.980075412337,   71
AT1G16490,    AT2G29220,            0.979899965623,   72
AT1G16490,    AT5G64850,            0.979796169926,   73
AT2G02070,    AT2G22320,            0.979728288718,   74
AT2G28810,    AT4G26150,            -0.979717283631,   75
AT1G53170,    AT1G02550,            -0.979708166972,   76
