regulator,    target,    score,    rank
AT1G53910,    AT5G41380,            -0.996141633656,   1
AT1G74650,    AT1G26220,            0.996040125776,   2
AT1G69780,    AT4G02740,            -0.995868642622,   3
AT1G30210,    AT4G03270,            0.994762460732,   4
AT1G74480,    AT5G48270,            0.994553515241,   5
AT1G19850,    AT2G30630,            0.993807116909,   6
AT2G23340,    AT1G20070,            -0.993645019392,   7
AT1G69010,    AT1G11330,            0.993447364894,   8
AT1G16490,    AT2G07693,            -0.993387689013,   9
AT1G12260,    AT5G13180,            -0.993239065941,   10
AT1G25550,    AT5G58120,            0.992697847514,   11
AT2G03340,    AT5G29584,            0.992335066741,   12
AT1G19000,    AT1G17990,            0.992202876475,   13
AT1G69010,    AT5G09370,            0.99217045953,   14
AT1G01060,    AT1G13930,            -0.992114528122,   15
AT1G09540,    AT3G49170,            -0.99181662485,   16
AT1G32150,    AT1G16850,            -0.991749373677,   17
AT1G49560,    AT3G23450,            -0.991305222308,   18
AT2G30340,    AT1G64820,            -0.991055805507,   19
AT1G33240,    AT5G39870,            -0.991049755114,   20
AT1G06850,    AT4G15100,            -0.991012176544,   21
AT1G80840,    AT1G72450,            0.990996580786,   22
AT1G01720,    AT5G44360,            0.990994123367,   23
AT1G30650,    AT5G49240,            0.990731383679,   24
AT1G16490,    AT1G49230,            -0.990677271876,   25
AT1G29160,    AT1G34370,            0.990616057233,   26
AT2G22540,    AT2G02540,            0.990509254006,   27
AT2G18060,    AT4G11700,            0.990318066088,   28
AT1G72740,    AT5G01080,            -0.990284546032,   29
AT1G16490,    ATMG00320,            -0.99013310796,   30
AT1G77200,    AT5G49370,            -0.989775563978,   31
AT1G79180,    AT5G52710,            0.989710667626,   32
AT1G49480,    AT4G18890,            -0.989688409807,   33
AT2G32460,    AT1G02640,            0.989454382655,   34
AT1G16490,    AT4G33980,            -0.989382974226,   35
AT1G01060,    AT2G42760,            0.9890776213,   36
AT1G69010,    AT5G61550,            -0.988817046751,   37
AT1G36060,    AT1G70930,            0.98871639203,   38
AT1G78700,    AT1G63030,            0.988608438746,   39
AT1G69180,    AT4G15370,            -0.988483645905,   40
AT1G36060,    AT2G46770,            0.988436459433,   41
AT2G28810,    AT2G27690,            -0.988377621425,   42
AT1G51140,    AT2G17950,            -0.988358502186,   43
AT1G01060,    AT2G22850,            0.988230550516,   44
AT1G29860,    AT5G02230,            0.988045711074,   45
AT1G51700,    AT1G13370,            0.987924257218,   46
AT1G70920,    AT2G36270,            -0.987822534958,   47
AT1G25550,    AT3G08750,            0.987557618614,   48
AT1G72740,    AT1G69920,            -0.987472229122,   49
AT1G28470,    AT3G25170,            0.986676247211,   50
AT1G29860,    AT2G44480,            0.986475302832,   51
AT1G77920,    AT4G25330,            0.986465619877,   52
AT1G01060,    AT1G49720,            -0.98599403879,   53
AT1G16490,    AT5G60100,            -0.985914473788,   54
AT1G06850,    AT3G02670,            -0.985740586244,   55
AT1G08320,    AT3G16680,            -0.985702255119,   56
AT1G28370,    AT3G63380,            -0.985536720192,   57
AT1G01060,    AT1G19180,            0.98542567454,   58
AT1G79180,    AT3G30270,            0.985048083533,   59
AT2G18380,    AT1G32640,            0.985028201937,   60
AT1G30650,    AT1G43800,            -0.985018779245,   61
AT1G51140,    AT1G39750,            -0.985015051321,   62
AT1G09540,    AT3G27370,            0.984981422987,   63
AT2G06200,    AT5G64790,            0.984893689606,   64
AT1G19000,    AT3G08940,            0.984717673284,   65
AT1G74650,    AT3G24410,            -0.984400647374,   66
AT1G76890,    AT2G36120,            0.984259916869,   67
AT2G01060,    AT1G66980,            0.984237330387,   68
AT1G16490,    AT2G29220,            0.984128005575,   69
AT1G01060,    AT1G42710,            -0.984064363734,   70
AT2G28810,    AT4G26150,            -0.984064072619,   71
AT1G55110,    AT2G28630,            0.983997786988,   72
AT1G36060,    AT4G38420,            -0.983869551346,   73
AT1G53170,    AT1G02550,            -0.983846403063,   74
AT1G19210,    AT4G25750,            -0.983617349419,   75
AT1G16490,    AT5G64850,            0.983594119709,   76
AT2G23340,    AT4G04480,            -0.983505441981,   77
AT1G28470,    AT1G43910,            0.983492073492,   78
AT1G19000,    AT1G51115,            0.983465365008,   79
AT2G02070,    AT2G22320,            0.983365890583,   80
AT1G16490,    AT5G11260,            -0.983163402238,   81
