regulator,    target,    score,    rank
AT1G34180,    AT1G18710,            -0.59779873335,   1
AT1G01720,    AT5G44360,            0.555342191134,   2
AT1G64620,    AT1G53600,            -0.547399938806,   3
AT1G64620,    AT3G12460,            -0.546523961743,   4
AT1G03840,    AT1G71390,            -0.53546746242,   5
AT2G06200,    AT1G31000,            0.526278109846,   6
AT2G15740,    AT1G72350,            0.520248941312,   7
AT1G74650,    AT1G26220,            0.505608702291,   8
AT2G15740,    AT5G58782,            0.503079329175,   9
AT1G69570,    AT5G53680,            -0.495841946754,   10
AT2G15740,    AT1G01980,            0.491934042232,   11
AT2G06200,    AT4G30040,            0.473420147351,   12
AT1G64620,    AT2G37640,            -0.462541446707,   13
AT1G32150,    AT2G22520,            -0.458587701234,   14
AT1G68670,    AT5G60240,            -0.458441596942,   15
AT1G64620,    AT2G46730,            -0.453247126603,   16
AT1G19000,    AT1G65860,            -0.448759115733,   17
AT1G77200,    AT3G30800,            0.448579143233,   18
AT1G62300,    AT2G26380,            0.442075414727,   19
AT2G31230,    AT1G22630,            0.441558240116,   20
AT2G03500,    AT5G35850,            -0.441377028222,   21
AT2G15740,    AT1G05740,            0.436396106155,   22
AT1G09540,    AT3G49170,            -0.430619339111,   23
AT1G12260,    AT5G13180,            -0.429811466568,   24
AT1G64620,    AT1G37900,            -0.429550882954,   25
AT1G43160,    AT4G26520,            0.429490834797,   26
AT2G06200,    AT2G16840,            0.427519804734,   27
AT2G15740,    AT4G20790,            0.427360177656,   28
AT2G15740,    AT5G10420,            0.424769756237,   29
AT1G34180,    AT1G33640,            -0.422184852816,   30
AT1G69570,    AT2G14610,            -0.421459817846,   31
AT2G06200,    AT5G04150,            0.418865336053,   32
AT1G12610,    AT3G05630,            0.416867667494,   33
AT2G31230,    AT4G18790,            0.416421373909,   34
AT1G19850,    AT2G30630,            0.416117990051,   35
AT1G70920,    AT5G10680,            -0.41533165773,   36
AT1G70920,    AT2G42930,            0.414282981698,   37
AT1G01720,    AT3G12890,            -0.41214418515,   38
AT2G01930,    AT5G52310,            -0.41037785553,   39
AT1G74480,    AT5G48270,            0.409840393925,   40
AT1G19210,    AT5G28930,            0.409777492025,   41
AT1G19000,    AT1G17990,            0.40604036431,   42
AT2G18060,    AT2G36210,            -0.405513612648,   43
AT2G31230,    AT2G30420,            -0.405192753731,   44
AT1G28160,    AT2G02660,            -0.404298979225,   45
AT1G12260,    AT3G60580,            -0.402999376347,   46
AT1G77200,    AT2G11490,            0.401634481356,   47
AT2G18160,    AT1G22150,            -0.399443224198,   48
AT1G74650,    AT3G24410,            -0.398856819664,   49
AT2G31230,    AT4G04450,            0.398029744263,   50
AT1G02250,    AT5G03600,            -0.396888026311,   51
AT1G49010,    AT1G24938,            0.396022231005,   52
AT2G31230,    AT5G45950,            0.395652527714,   53
AT2G15740,    AT4G10880,            -0.395013718526,   54
AT2G15740,    AT1G11610,            0.394385488152,   55
AT1G43160,    AT2G21650,            -0.390820324844,   56
AT2G06200,    AT2G11160,            -0.390637995561,   57
AT1G69570,    AT4G26950,            -0.389000610271,   58
AT2G30590,    AT2G06320,            0.388771160806,   59
AT1G74480,    AT2G20540,            0.388121044733,   60
AT1G19850,    AT5G59430,            0.3866353791,   61
AT1G34180,    AT3G23680,            -0.384852757936,   62
AT1G59640,    AT3G29670,            0.383461601926,   63
AT1G74650,    AT2G46990,            0.382801069568,   64
AT2G06200,    AT3G45820,            0.38251496449,   65
AT2G06200,    AT5G15590,            0.38203156595,   66
AT1G34180,    AT1G27790,            0.377120889764,   67
AT1G64620,    AT1G41810,            -0.37628907243,   68
AT2G15740,    AT5G43550,            0.376269722185,   69
AT1G01720,    AT5G07930,            -0.375416427381,   70
AT2G18060,    AT1G67000,            -0.375067759524,   71
AT2G06200,    AT5G64790,            0.374074999404,   72
AT2G06200,    AT3G42530,            0.373788875785,   73
AT1G01250,    AT5G44140,            -0.372699562703,   74
AT2G02070,    AT1G20080,            0.37192117521,   75
AT2G31230,    AT4G32980,            0.371209289895,   76
AT2G03340,    AT1G34240,            0.370754102284,   77
AT1G29280,    AT1G27220,            -0.370491163949,   78
AT1G16490,    AT5G64850,            0.370349975287,   79
AT1G01720,    AT4G03750,            -0.37022037094,   80
AT1G01720,    AT4G01110,            -0.370028798111,   81
AT2G31230,    AT3G21000,            0.369153654617,   82
AT1G03840,    AT2G38900,            0.368618410928,   83
AT1G06180,    AT2G44460,            0.368279053506,   84
AT2G02070,    AT3G43530,            0.367536101413,   85
AT1G70920,    AT2G31770,            -0.367472031428,   86
AT1G74650,    AT3G44910,            0.367032837708,   87
AT1G68670,    AT1G71680,            0.36615890266,   88
AT1G34180,    AT1G35380,            0.365256059715,   89
AT2G01930,    AT5G40860,            0.363310779059,   90
