regulator,    target,    score,    rank
AT1G74480,    AT4G02050,            -0.936175629325,   1
AT1G27730,    AT4G16020,            0.886283152738,   2
AT2G01940,    AT2G05080,            -0.838072042669,   3
AT1G06850,    AT2G07430,            0.783736745382,   4
AT1G28160,    AT2G04330,            -0.783731530656,   5
AT1G74480,    AT3G42080,            0.732053420502,   6
AT2G01940,    AT4G05640,            -0.698259749166,   7
AT1G27730,    AT3G22670,            -0.69771647187,   8
AT1G27730,    AT2G11130,            0.659681159215,   9
AT2G28810,    AT1G63320,            0.604479605123,   10
AT1G75240,    AT4G33610,            0.604162026149,   11
AT1G34180,    AT4G03930,            0.580190670614,   12
AT2G20400,    AT2G11230,            -0.506684687852,   13
AT2G18380,    AT5G65610,            0.499238566652,   14
AT1G62300,    AT5G60290,            -0.456427037595,   15
AT1G77200,    AT4G03760,            0.439962508472,   16
AT2G02820,    AT5G27190,            -0.409181957816,   17
AT2G30340,    AT4G05600,            -0.388408207846,   18
AT1G34180,    AT3G07710,            0.326702101513,   19
AT2G02450,    AT2G15190,            -0.322595180417,   20
AT1G49010,    AT5G35820,            -0.301191986083,   21
AT2G01060,    AT5G29100,            0.297791619016,   22
AT1G16490,    AT5G66230,            -0.292993650762,   23
AT1G54330,    AT1G36550,            -0.28930044098,   24
AT1G34180,    AT2G37320,            -0.277136367116,   25
AT2G18550,    AT2G22440,            0.260228171317,   26
AT1G79580,    AT1G41795,            -0.257345732228,   27
AT1G12630,    AT5G27180,            -0.252270765051,   28
AT1G28470,    AT2G07738,            -0.229339575923,   29
AT1G16490,    AT1G35143,            -0.226441687801,   30
AT1G75240,    AT4G18375,            0.217225745745,   31
AT1G34180,    AT1G19040,            0.210862923699,   32
AT1G27730,    AT2G10465,            0.181140337865,   33
AT2G01940,    AT3G57850,            -0.16778321109,   34
AT1G75240,    AT2G14300,            0.167061643908,   35
AT2G18380,    AT1G54330,            -0.154838942822,   36
AT1G14687,    AT2G43660,            0.143609152151,   37
AT1G14687,    AT1G48180,            -0.143276635593,   38
AT1G71450,    AT4G27280,            -0.13794542299,   39
AT2G18550,    AT2G15700,            -0.136165056605,   40
AT1G14687,    AT2G06660,            0.129294618038,   41
AT1G14687,    AT3G55670,            0.125477813604,   42
AT1G12260,    AT1G29490,            -0.119119375296,   43
AT1G68670,    AT5G34450,            -0.116808773172,   44
AT1G49480,    AT3G15400,            0.113056540516,   45
AT2G02080,    AT2G15790,            -0.113038078804,   46
AT1G02250,    AT2G07440,            0.109871318654,   47
AT1G30650,    AT1G62490,            0.109583903137,   48
AT1G25550,    AT3G45090,            -0.109493603801,   49
AT1G68670,    AT3G30640,            0.106011517049,   50
AT1G14687,    AT2G30760,            -0.103394720032,   51
AT1G64620,    AT2G04730,            0.102591177374,   52
AT1G25340,    AT5G43200,            0.10258274859,   53
AT1G14687,    AT3G21830,            0.100386842799,   54
AT1G69780,    AT5G48290,            0.0999229212184,   55
AT1G25340,    AT2G21690,            -0.0989846197044,   56
AT2G18380,    AT1G41825,            -0.098739802501,   57
AT1G03840,    AT2G06220,            -0.0981015719936,   58
AT2G23290,    AT3G19210,            -0.0974256254664,   59
AT2G20110,    AT2G20660,            -0.0939653182488,   60
AT2G18380,    AT3G43530,            -0.0934032836572,   61
AT1G02250,    AT4G39500,            -0.0928148587336,   62
AT2G22430,    AT2G03310,            -0.0885197731219,   63
AT1G12260,    AT1G65110,            -0.0872896891438,   64
AT1G28470,    AT1G34842,            0.0872012486738,   65
AT1G72740,    AT2G10630,            -0.0848396061364,   66
AT2G22430,    AT5G66970,            -0.0842539317772,   67
AT1G25340,    AT1G26170,            0.08073406828,   68
AT1G18330,    AT3G46910,            0.0802404207216,   69
AT1G14687,    AT1G53950,            -0.0791126164151,   70
AT1G49010,    AT2G12230,            0.0785072528389,   71
AT2G06200,    AT4G33280,            -0.0776578284011,   72
AT2G01930,    AT2G06150,            -0.0772111932539,   73
AT1G76420,    AT5G53680,            0.0763055042616,   74
AT1G14687,    AT5G63260,            -0.0749040592253,   75
AT1G25550,    AT3G62950,            0.0748259920791,   76
AT1G69570,    AT3G42130,            -0.0745759803551,   77
AT1G77200,    AT3G45270,            -0.0740865242836,   78
AT2G18380,    AT3G29190,            -0.0737448807872,   79
AT2G20400,    AT1G71490,            0.0722667790616,   80
AT1G18330,    AT1G07450,            -0.0722400542812,   81
AT1G25340,    AT1G53810,            -0.0721604718282,   82
AT1G59640,    AT1G80670,            0.070291824727,   83
AT1G14687,    AT1G32040,            0.07005963427,   84
AT2G24430,    AT5G51090,            0.0682445207811,   85
AT1G52150,    AT5G49260,            0.0680983509583,   86
AT1G49480,    AT2G23110,            -0.0676855458269,   87
AT1G34180,    AT3G12220,            0.0655208831412,   88
AT1G34180,    AT1G07130,            -0.0651090072039,   89
AT1G74650,    AT1G79450,            0.0637182059262,   90
AT2G18550,    AT4G26010,            -0.0630601882651,   91
AT1G69570,    AT4G07540,            0.0599026059719,   92
AT1G14687,    AT3G22050,            -0.0596156282729,   93
AT1G14687,    AT3G07860,            0.059601038488,   94
AT1G08320,    AT1G29180,            0.0587315056612,   95
AT1G51140,    AT2G27570,            0.0583493582688,   96
AT1G14687,    AT5G26970,            0.0583447326771,   97
AT1G71450,    AT4G03600,            0.0573049080875,   98
AT1G14687,    AT5G17430,            -0.057064539039,   99
AT2G20110,    AT2G04020,            0.0555664095064,   100
AT1G06180,    AT3G28930,            0.0555545091243,   101
AT1G49480,    AT2G23970,            -0.0549348539158,   102
AT2G23290,    AT1G28330,            -0.0534695846674,   103
AT1G14687,    AT5G62070,            -0.0530628251562,   104
AT2G01940,    AT2G35030,            0.0524927573648,   105
AT2G02070,    AT4G34510,            -0.0521017908269,   106
AT1G28160,    AT3G14070,            -0.0518373772715,   107
AT1G02250,    AT1G26500,            -0.0517023697348,   108
AT1G14687,    AT4G03810,            0.051657190839,   109
AT1G47655,    AT2G04039,            -0.0509827948789,   110
AT1G70920,    AT1G37010,            0.0508493866171,   111
AT1G14687,    AT5G26140,            0.0506973850344,   112
AT1G16490,    AT1G70500,            0.0503837410868,   113
AT2G06200,    AT5G24340,            -0.049524574706,   114
AT2G20110,    AT3G56380,            0.0495085828169,   115
AT2G18550,    AT4G16270,            0.0490436683997,   116
AT2G01940,    AT4G40030,            0.048845919841,   117
AT1G43700,    AT3G52340,            0.0487546315142,   118
AT1G72740,    AT1G44980,            -0.0483885980091,   119
AT1G74650,    AT3G43100,            -0.0480204080364,   120
AT1G77200,    AT3G31350,            -0.0478658239035,   121
AT2G18380,    AT1G79310,            -0.0472653642217,   122
AT2G23320,    AT4G00760,            -0.0463619901404,   123
AT1G08320,    AT3G30650,            0.0459461559485,   124
AT2G20400,    AT3G59820,            -0.0451514349812,   125
AT1G03840,    AT5G57560,            -0.0451510314313,   126
AT1G32150,    AT5G10400,            0.0441292412112,   127
AT1G14687,    AT3G04010,            -0.0440168887876,   128
AT1G34180,    AT3G04690,            -0.0439776711984,   129
AT2G01930,    AT1G63590,            0.043697550377,   130
AT1G06180,    AT2G16610,            -0.0432202468246,   131
AT1G69180,    AT1G32600,            0.0430294722306,   132
AT1G06180,    AT1G20950,            0.0428813863773,   133
AT2G01940,    AT2G38465,            -0.0427146679482,   134
AT1G25550,    AT3G10750,            0.0426587725312,   135
AT2G06200,    AT4G38820,            0.04256758055,   136
AT1G19000,    AT1G55960,            0.04236007927,   137
AT1G30490,    AT4G27230,            -0.042034641441,   138
AT1G78700,    AT4G00700,            -0.0419239982593,   139
AT1G30650,    AT1G14100,            -0.0418578778787,   140
AT1G14687,    AT1G23570,            0.0409924637562,   141
AT1G27730,    AT1G78740,            -0.0406708419063,   142
AT1G47655,    AT2G13920,            0.0400853009825,   143
AT1G53910,    AT1G75200,            0.0394997414311,   144
AT1G30490,    AT1G47920,            0.0394946619044,   145
AT2G06200,    AT2G33670,            0.0391219961672,   146
AT1G68320,    AT3G51790,            0.0387021449412,   147
AT1G14687,    AT1G07490,            -0.0385241475308,   148
AT1G68320,    AT3G44580,            -0.0383575133403,   149
AT2G04038,    AT4G08660,            -0.038264173689,   150
AT2G01930,    AT3G28520,            -0.0381641867372,   151
AT1G30490,    AT2G45230,            -0.0380322651971,   152
AT1G14687,    AT2G37630,            -0.0379686481293,   153
AT1G72740,    AT3G19000,            0.0373387466295,   154
AT2G18550,    AT3G49830,            0.0370959387054,   155
