regulator,    target,    score,    rank
AT1G78700,    AT4G12340,            0.996492787197,   1
AT2G23320,    AT1G29370,            0.995428174326,   2
AT1G33240,    AT3G62190,            -0.993846080308,   3
AT1G74650,    AT5G13410,            -0.99313622159,   4
AT2G23320,    AT3G02860,            0.992947510489,   5
AT1G72740,    AT3G19630,            0.99280341841,   6
AT1G43160,    AT2G48130,            0.992755501236,   7
AT1G31140,    AT5G10360,            0.992689591315,   8
AT2G23320,    AT1G04630,            -0.992518153783,   9
AT1G27730,    AT4G17050,            -0.992457582691,   10
AT2G23320,    AT2G04378,            0.992083187371,   11
AT1G27730,    AT5G64460,            -0.992035172007,   12
AT2G06200,    AT1G07610,            0.992017434707,   13
AT1G27730,    AT5G25520,            0.991825418704,   14
AT1G69780,    AT3G25540,            0.99170271194,   15
AT2G23320,    AT1G29450,            -0.991450799032,   16
AT2G01940,    AT3G12587,            -0.991369793534,   17
AT1G74650,    AT5G16660,            -0.991287026015,   18
AT1G49560,    AT4G31490,            0.991240605412,   19
AT2G28810,    AT5G58030,            -0.991151149979,   20
AT1G69780,    AT5G13450,            0.9910587335,   21
AT1G43700,    AT1G64230,            0.990680988106,   22
AT1G43700,    AT5G55600,            0.990571082324,   23
AT2G30250,    AT2G35450,            -0.990313775429,   24
AT1G25550,    AT5G26800,            -0.990274455039,   25
AT2G06200,    AT4G15790,            0.990135932547,   26
AT2G23320,    AT1G30380,            -0.9900866564,   27
AT2G06200,    AT5G55125,            0.99000838776,   28
AT1G68670,    AT1G04340,            -0.989810702591,   29
AT1G49560,    AT2G43560,            0.989807250483,   30
AT2G20400,    AT1G03200,            0.989798742552,   31
AT2G06200,    AT3G48870,            0.989653900509,   32
AT2G01940,    AT3G45640,            0.989496165213,   33
AT1G69780,    AT5G23820,            0.989481733325,   34
AT1G68670,    AT3G62400,            -0.989427098952,   35
AT1G69780,    AT4G33680,            0.989330356557,   36
AT1G27730,    AT4G38440,            0.989261811627,   37
AT2G02080,    AT2G21500,            0.989112378006,   38
AT2G18380,    AT2G19310,            -0.989074006958,   39
AT2G06200,    AT2G28000,            0.988956344438,   40
AT1G68670,    AT3G26780,            -0.988944375686,   41
AT1G49560,    AT2G15280,            0.988929206968,   42
AT1G69780,    AT5G11490,            -0.988906913684,   43
AT1G27730,    AT1G01160,            0.988895929361,   44
AT1G80840,    AT5G47390,            0.988828182822,   45
AT1G78700,    AT1G23750,            -0.988721592042,   46
AT1G49560,    AT2G02500,            0.988630441228,   47
AT1G29280,    AT5G47770,            -0.98859110834,   48
AT1G71450,    AT5G48590,            0.988571074129,   49
AT1G47655,    AT3G07560,            0.988562817109,   50
AT1G27730,    AT3G32930,            -0.988556514995,   51
AT1G31140,    AT3G50825,            0.988542622146,   52
AT1G32870,    AT1G60990,            0.988524340837,   53
AT2G22540,    AT5G02610,            -0.988506554467,   54
AT1G77200,    AT3G15290,            -0.988505492216,   55
AT2G27300,    AT3G03470,            0.98844524472,   56
AT1G27730,    AT1G48430,            0.988435365083,   57
AT2G22540,    AT3G04830,            -0.988405328983,   58
AT1G25550,    AT2G37190,            -0.988337638164,   59
AT1G47655,    AT1G67365,            0.988325519233,   60
AT1G19850,    AT5G41070,            0.988208259572,   61
AT2G06200,    AT5G66470,            0.988174905367,   62
AT2G03340,    AT1G07040,            0.988104550811,   63
AT1G68670,    AT5G17170,            -0.988103056829,   64
AT1G27730,    AT4G32910,            0.988059877497,   65
AT1G69780,    AT2G01260,            0.988058752387,   66
AT2G02080,    AT3G47680,            0.987979462238,   67
AT1G34370,    AT2G18400,            -0.987968835456,   68
AT2G02820,    AT1G14150,            -0.987849113322,   69
AT1G19000,    AT3G06430,            -0.987818941372,   70
AT1G27730,    AT5G37720,            0.987813642791,   71
AT2G22540,    AT1G49380,            -0.987766653705,   72
AT1G19850,    AT2G27970,            0.987752438564,   73
AT1G69780,    AT5G02120,            0.987747327057,   74
AT2G28810,    AT2G36290,            -0.987642010526,   75
AT1G78700,    AT1G08460,            0.987629315624,   76
AT1G69780,    AT5G50420,            0.987598443194,   77
AT1G34370,    AT5G12120,            0.987571869248,   78
AT1G27730,    AT2G01100,            0.987493495117,   79
AT1G43700,    AT1G07310,            0.987422687393,   80
AT1G68670,    AT2G35300,            0.987343121575,   81
AT1G27730,    AT4G38495,            0.987333464512,   82
AT1G68670,    AT5G54310,            0.987308232363,   83
AT1G69780,    AT3G54560,            0.987227594431,   84
AT1G68670,    AT1G04850,            0.987226485908,   85
AT1G78700,    AT3G15780,            0.987196273942,   86
AT1G72740,    AT5G45290,            -0.987193838865,   87
AT1G69780,    AT3G20670,            0.987156713504,   88
AT1G69780,    AT1G02340,            -0.987105559657,   89
AT2G23320,    AT4G37925,            -0.987048874578,   90
AT2G01940,    AT5G49800,            -0.986984203324,   91
AT2G20400,    AT1G70180,            0.986967040118,   92
AT1G43700,    AT1G27650,            0.986921984939,   93
AT1G72740,    AT3G48680,            0.986915111909,   94
AT2G23320,    AT1G03106,            0.986846929035,   95
AT1G47655,    AT2G37620,            -0.986825304959,   96
AT2G23320,    AT3G61860,            0.986753130306,   97
AT1G68670,    AT3G02340,            0.98671691404,   98
AT1G49560,    AT1G79990,            0.986705110112,   99
