regulator,    target,    score,    rank
AT1G06850,    AT2G45270,            -0.972728045094,   1
AT1G06280,    AT1G25340,            0.972024585925,   2
AT1G49010,    AT3G20230,            0.969822082295,   3
AT1G34190,    AT3G09630,            -0.969587805644,   4
AT1G20910,    AT5G45550,            -0.968371236711,   5
AT1G74840,    AT3G18320,            0.968054354741,   6
AT2G02080,    AT1G79970,            0.967430311961,   7
AT1G53230,    AT2G42130,            0.967092068637,   8
AT2G18550,    AT3G51500,            0.966447449859,   9
AT2G23320,    AT5G10400,            -0.966137701625,   10
AT1G69010,    AT3G48750,            0.966038429437,   11
AT1G13260,    AT3G45040,            0.965926162605,   12
AT1G50640,    AT2G18400,            -0.965901156262,   13
AT2G06200,    AT1G29880,            0.965836068798,   14
AT1G08320,    AT3G07220,            0.965647197473,   15
AT1G69010,    AT2G41200,            0.965555748632,   16
AT1G69010,    AT1G16700,            -0.965478520409,   17
AT2G02820,    AT4G35450,            -0.965391096985,   18
AT2G02820,    AT2G40690,            -0.965148007578,   19
AT2G23320,    AT5G48580,            -0.96506338125,   20
AT2G27300,    AT3G14210,            0.965021590854,   21
AT1G13260,    AT1G16350,            -0.964965833118,   22
AT1G69010,    AT3G63190,            -0.96495925891,   23
AT1G69010,    AT2G35500,            -0.964906886238,   24
AT1G69010,    AT4G31290,            0.964904687852,   25
AT1G69010,    AT3G44890,            -0.964810893106,   26
AT1G69010,    AT3G04830,            -0.96479528502,   27
AT2G18350,    AT3G25150,            0.964784052358,   28
AT1G06850,    AT1G27480,            -0.964782015704,   29
AT1G06850,    AT4G02530,            -0.964781449684,   30
AT2G18350,    AT2G29400,            0.964600974025,   31
AT2G23320,    AT1G29370,            0.964575265626,   32
AT2G28810,    AT4G23100,            -0.964466318196,   33
AT1G01720,    AT5G02280,            -0.964395010611,   34
AT2G02820,    AT5G27560,            -0.964391365609,   35
AT1G19000,    AT1G11175,            0.96437909533,   36
AT1G53170,    AT4G27880,            0.964339903308,   37
AT1G68670,    AT2G21280,            -0.964154395895,   38
AT1G13260,    AT1G26670,            0.964145565732,   39
AT2G02820,    AT4G15780,            0.964111816253,   40
AT2G18380,    AT5G39800,            0.964072031566,   41
AT1G49010,    AT1G56045,            0.964056390513,   42
AT1G74840,    AT1G52730,            -0.964030689721,   43
AT2G02080,    AT4G24275,            -0.964005690284,   44
AT2G23320,    AT1G50300,            0.964003336334,   45
AT1G78700,    AT3G14330,            -0.963867650033,   46
AT1G49010,    AT1G04640,            0.963794501163,   47
AT1G69010,    AT1G03400,            0.963629440177,   48
AT1G13260,    AT5G66760,            -0.963536047285,   49
AT1G49010,    AT4G29060,            0.963495747314,   50
AT2G02820,    AT5G02610,            -0.963454191535,   51
AT1G13260,    AT5G23740,            -0.963394088745,   52
AT1G06850,    AT1G11400,            0.963372990483,   53
AT1G06850,    AT5G14660,            -0.963366538166,   54
AT2G28810,    AT1G60810,            -0.963317339596,   55
AT2G23320,    AT4G26860,            -0.963304192512,   56
AT1G43700,    AT1G64230,            0.963262552551,   57
AT2G31230,    AT3G01190,            0.963238654278,   58
AT1G13260,    AT2G45480,            -0.963092804726,   59
AT1G06850,    AT3G01180,            -0.963085352434,   60
AT2G23320,    AT4G29520,            -0.963040995927,   61
AT1G78700,    AT1G18730,            -0.963005065825,   62
AT1G18330,    AT3G53900,            -0.962994852193,   63
AT2G23320,    AT4G28300,            0.962993273617,   64
AT1G69010,    AT1G08460,            0.962985208742,   65
AT2G23320,    AT1G54030,            -0.962973788339,   66
AT1G06850,    AT1G54690,            -0.962963417502,   67
AT1G68670,    AT2G43560,            -0.96293480013,   68
AT1G19850,    AT3G56340,            0.962890057973,   69
AT2G02820,    AT4G26320,            -0.962879339715,   70
AT1G08320,    AT3G12010,            -0.962789796866,   71
AT2G23320,    AT5G56680,            -0.96278852933,   72
AT1G06850,    AT3G02660,            -0.962764228906,   73
AT2G06200,    AT3G53890,            0.962706513554,   74
AT1G19000,    AT3G09840,            0.962687129027,   75
AT2G22430,    AT3G11810,            0.962684942008,   76
AT1G19000,    AT3G62290,            0.962677548089,   77
AT2G28810,    AT5G03880,            -0.962663200861,   78
