regulator,    target,    score,    rank
AT1G06850,    AT2G45270,            -0.994952006333,   1
AT1G49010,    AT3G20230,            0.994890800357,   2
AT1G06280,    AT1G25340,            0.992491489907,   3
AT1G50640,    AT2G18400,            -0.992266092474,   4
AT1G53230,    AT2G42130,            0.992200575457,   5
AT2G02080,    AT1G79970,            0.991898769025,   6
AT1G69010,    AT3G48750,            0.991400733483,   7
AT1G49010,    AT1G56045,            0.99131333168,   8
AT1G69010,    AT2G41200,            0.990753270456,   9
AT1G69010,    AT1G16700,            -0.990721456907,   10
AT2G23320,    AT5G10400,            -0.990598583648,   11
AT1G08320,    AT3G07220,            0.990381279164,   12
AT2G02820,    AT5G27560,            -0.990298967591,   13
AT1G69010,    AT3G04830,            -0.990288938295,   14
AT1G69010,    AT4G31290,            0.990071074736,   15
AT2G18550,    AT3G51500,            0.990014459335,   16
AT2G23320,    AT5G48580,            -0.989970785536,   17
AT2G02820,    AT2G40690,            -0.989910446701,   18
AT1G06850,    AT1G27480,            -0.989564726626,   19
AT2G18350,    AT3G25150,            0.98927534286,   20
AT2G02080,    AT4G24275,            -0.988862213214,   21
AT1G06850,    AT4G02530,            -0.988810042827,   22
AT1G78700,    AT1G18730,            -0.988747773974,   23
AT1G69010,    AT2G35500,            -0.988711289115,   24
AT1G49010,    AT1G04640,            0.988611374628,   25
AT1G68670,    AT2G21280,            -0.98859226102,   26
AT1G19000,    AT3G62290,            0.988517373614,   27
AT2G06200,    AT1G29880,            0.988465389436,   28
AT1G69010,    AT3G63190,            -0.98837645099,   29
AT1G13260,    AT3G45040,            0.988249771803,   30
AT2G23320,    AT4G26860,            -0.988246297485,   31
AT1G18330,    AT3G53900,            -0.988214767924,   32
AT2G23320,    AT1G29370,            0.988109414982,   33
AT1G19850,    AT3G56340,            0.988083770793,   34
AT1G74840,    AT1G52730,            -0.988077593914,   35
AT2G23320,    AT4G29520,            -0.988062554239,   36
AT1G43700,    AT1G64230,            0.988030131915,   37
AT1G69010,    AT1G08460,            0.988027834254,   38
AT1G06850,    AT3G01180,            -0.987910087804,   39
AT1G19000,    AT1G11175,            0.987860578099,   40
AT2G02820,    AT4G15780,            0.987847795729,   41
AT1G69010,    AT4G33270,            -0.987815734904,   42
AT1G01720,    AT5G02280,            -0.987765895159,   43
AT2G30250,    AT4G01900,            -0.987698470691,   44
AT1G13260,    AT5G23740,            -0.987468502683,   45
AT1G08320,    AT2G23930,            -0.987458042495,   46
AT1G78700,    AT3G15290,            0.987454407019,   47
AT2G06200,    AT3G03490,            -0.987441875146,   48
AT1G49010,    AT1G08360,            0.98738977868,   49
AT1G69010,    AT1G03400,            0.987354133457,   50
AT1G08320,    AT3G12010,            -0.987350436524,   51
AT1G69010,    AT3G44890,            -0.987347174839,   52
AT1G06850,    AT5G14660,            -0.987293009241,   53
AT2G23320,    AT1G50300,            0.987282935752,   54
AT1G49010,    AT3G47650,            0.987188535208,   55
AT1G34190,    AT3G09630,            -0.987146909043,   56
AT1G74840,    AT4G32680,            0.987054387684,   57
AT1G49010,    AT4G29060,            0.987051726607,   58
AT1G74840,    AT4G27990,            0.987042718103,   59
AT2G23320,    AT4G34030,            0.987033088279,   60
AT2G28810,    AT4G23100,            -0.987027576092,   61
AT1G13260,    AT5G66760,            -0.987017614003,   62
AT2G23320,    AT1G54030,            -0.986973937504,   63
AT1G78700,    AT3G14330,            -0.986958672529,   64
AT2G02820,    AT5G02610,            -0.986850602206,   65
AT1G53170,    AT4G27880,            0.986844124202,   66
AT1G18330,    AT2G18740,            -0.986802618157,   67
AT1G74840,    AT1G22630,            -0.986788698337,   68
AT2G23320,    AT4G28300,            0.98678555834,   69
AT1G69010,    AT4G21810,            0.986782628245,   70
AT2G22430,    AT1G73300,            0.98677453877,   71
AT1G69010,    AT1G48430,            0.986697289781,   72
AT1G06850,    AT5G42240,            -0.986678145914,   73
AT2G06200,    AT2G37240,            0.986657574146,   74
AT2G02820,    AT1G20160,            0.986649766975,   75
AT1G06850,    AT3G18390,            -0.986641715756,   76
AT1G68670,    AT2G43560,            -0.986585701951,   77
AT1G06850,    AT1G11400,            0.986559186975,   78
AT1G13260,    AT1G16350,            -0.986511841183,   79
AT1G49010,    AT1G67830,            0.986446335639,   80
AT2G02820,    AT4G26320,            -0.986444343828,   81
AT2G30250,    AT1G64950,            0.986418030804,   82
AT1G06850,    AT1G09340,            -0.986415885839,   83
AT1G12610,    AT1G26230,            0.986414105708,   84
AT1G68670,    AT3G60300,            0.986410162404,   85
AT1G49010,    AT3G57180,            0.986404501769,   86
AT2G02820,    AT3G09035,            -0.986365684733,   87
AT1G68670,    AT2G43030,            -0.986340705761,   88
AT2G23320,    AT1G30880,            0.986339119471,   89
AT1G49010,    AT2G36230,            0.98630933541,   90
AT1G19000,    AT5G50870,            -0.986293423902,   91
AT1G06850,    AT1G54690,            -0.986281881523,   92
AT2G30250,    AT1G24360,            -0.986278647819,   93
AT2G30590,    AT5G08690,            -0.986248872744,   94
AT1G69490,    AT4G19640,            0.986125178111,   95
AT2G28810,    AT1G60810,            -0.986076203725,   96
AT2G23320,    AT5G56680,            -0.986031551633,   97
AT1G18330,    AT2G24860,            -0.986015674197,   98
AT2G22430,    AT3G11810,            0.98600651618,   99
AT2G20400,    AT3G06040,            -0.985988575999,   100
AT1G08320,    AT1G04420,            -0.985972259639,   101
AT1G06850,    AT5G14910,            -0.985934226132,   102
AT2G20400,    AT1G09420,            0.985865832488,   103
AT1G69010,    AT4G16420,            0.985862633046,   104
AT2G20400,    AT1G20810,            -0.985846850064,   105
AT2G30250,    AT5G46960,            -0.985799652444,   106
AT1G49010,    AT5G25630,            0.985788393458,   107
AT1G19000,    AT4G01310,            -0.985776560693,   108
AT2G20400,    AT5G27640,            -0.985773174925,   109
AT1G49010,    AT1G72640,            0.985731906677,   110
AT2G02820,    AT1G10830,            -0.985720504316,   111
AT1G69780,    AT2G36170,            0.98571723317,   112
AT1G47655,    AT5G41700,            0.98567529065,   113
AT1G06850,    AT1G76030,            0.985672612889,   114
AT1G13260,    AT3G14650,            -0.985650063108,   115
AT1G34370,    AT3G13200,            0.985590492457,   116
AT1G68670,    AT5G05740,            -0.98558961981,   117
AT2G01060,    AT1G07810,            0.985567131427,   118
AT1G69010,    AT3G20790,            -0.985540544962,   119
AT1G72740,    AT4G38790,            -0.985508184152,   120
AT1G13260,    AT1G26670,            0.985501886646,   121
AT1G06850,    AT5G18400,            -0.985386384036,   122
AT1G69780,    AT1G51470,            0.985361576028,   123
AT1G18330,    AT5G52970,            -0.9853559942,   124
AT1G68670,    AT3G26060,            -0.985342646636,   125
AT2G23320,    AT1G07480,            0.985308639956,   126
AT2G20400,    AT5G19430,            0.985300682754,   127
AT1G53230,    AT1G18060,            0.985271531154,   128
AT2G02820,    AT1G69740,            -0.985230253836,   129
AT1G13260,    AT2G35130,            -0.985216295586,   130
AT1G72740,    AT4G04800,            0.985181400899,   131
AT2G23320,    AT4G25740,            -0.98515994679,   132
AT1G06850,    AT4G38130,            0.98513974948,   133
AT1G69010,    AT3G01910,            0.985138821083,   134
AT2G23320,    AT2G44050,            -0.985101187197,   135
AT2G02820,    AT1G03140,            0.985100290629,   136
AT1G69010,    AT3G55800,            -0.985069438,   137
AT2G02820,    AT5G47190,            -0.985049588012,   138
AT2G18350,    AT2G29400,            0.985045427237,   139
AT2G02080,    AT1G22890,            0.985020439491,   140
AT1G49010,    AT4G12600,            0.98501010921,   141
AT1G69010,    AT4G21450,            0.985002776656,   142
AT2G02820,    AT1G21720,            -0.984989620867,   143
AT2G30250,    AT3G48050,            0.9849695681,   144
AT1G06850,    AT3G12360,            0.984964078496,   145
AT1G69010,    AT2G37550,            -0.984896641548,   146
AT1G49010,    AT3G08740,            0.984865462617,   147
AT2G20400,    AT4G18140,            0.984849172571,   148
AT2G28810,    AT5G13410,            -0.984841178612,   149
AT1G69010,    AT2G17200,            0.98481627752,   150
AT2G06200,    AT3G53890,            0.984807262604,   151
AT1G69490,    AT5G58990,            -0.984794916001,   152
AT2G30250,    AT1G27520,            0.984755023726,   153
AT1G74840,    AT2G42400,            0.984731723296,   154
AT1G78700,    AT1G14020,            -0.984715453076,   155
AT2G30250,    AT1G18340,            -0.984701552655,   156
AT2G18550,    AT5G06280,            0.984687658927,   157
AT2G23320,    AT1G16470,            -0.984669227047,   158
AT1G68670,    AT1G76450,            -0.98454725772,   159
AT1G13260,    AT2G45480,            -0.984543255812,   160
AT1G68670,    AT5G45620,            -0.984505783219,   161
AT2G30250,    AT1G26830,            0.984491729088,   162
AT2G23320,    AT1G15730,            -0.984429781119,   163
AT1G08320,    AT5G41970,            -0.984368914943,   164
AT2G22540,    AT1G01730,            0.984327859248,   165
AT1G19000,    AT3G09840,            0.98427640436,   166
AT1G69010,    AT3G07560,            0.984242661504,   167
AT1G74840,    AT1G23870,            0.984234061784,   168
AT1G69010,    AT4G26300,            -0.984221842977,   169
AT1G69010,    AT2G02760,            0.984181416625,   170
AT1G49010,    AT4G38932,            -0.984159085464,   171
AT2G23320,    AT3G05350,            -0.984157069023,   172
AT1G08320,    AT1G27350,            -0.984152419883,   173
AT1G74840,    AT2G35410,            -0.984151461286,   174
AT1G68670,    AT4G35360,            -0.984150616585,   175
AT2G02820,    AT5G13780,            0.984150111305,   176
AT2G06200,    AT4G27090,            0.984069980467,   177
AT1G78700,    AT1G19150,            -0.984048744268,   178
AT2G02820,    AT4G28210,            -0.984044468825,   179
AT1G68670,    AT5G18660,            -0.984017246736,   180
AT1G06850,    AT3G02660,            -0.98399684517,   181
AT1G69010,    AT1G26750,            -0.983983070773,   182
AT1G06850,    AT1G11750,            -0.983973004585,   183
AT1G68670,    AT2G32060,            -0.983958138343,   184
AT2G02820,    AT5G19220,            -0.983951209839,   185
AT2G02820,    AT5G65270,            -0.983938025395,   186
AT2G23320,    AT3G11250,            -0.98392941699,   187
AT1G74840,    AT3G10740,            0.983914596264,   188
AT1G50640,    AT3G52960,            -0.983906065717,   189
AT1G46768,    AT1G26650,            -0.983863466427,   190
AT1G69010,    AT1G64740,            0.98385357991,   191
AT2G30250,    AT4G13540,            0.983848335704,   192
AT2G02820,    AT5G11450,            -0.983826287529,   193
AT2G02080,    AT1G21780,            0.983805852154,   194
AT1G68670,    AT2G18040,            -0.983763384674,   195
AT2G28810,    AT1G23260,            -0.983725798184,   196
AT2G02820,    AT3G20370,            -0.983715966339,   197
AT1G69010,    AT3G53030,            0.983698817971,   198
AT2G27300,    AT3G14210,            0.983676824275,   199
AT1G69010,    AT5G17840,            -0.983676186242,   200
AT1G69010,    AT4G38440,            0.983656225195,   201
AT1G69010,    AT3G56910,            -0.983647078891,   202
AT1G69010,    AT2G23070,            0.983647068414,   203
AT1G49010,    AT3G13490,            0.983622483053,   204
AT1G18330,    AT3G14410,            -0.983612252284,   205
AT1G74840,    AT1G19580,            -0.983598947412,   206
AT1G06850,    AT3G13180,            -0.983563510162,   207
AT1G18330,    AT2G06520,            -0.983545604436,   208
AT1G18330,    AT4G07507,            0.983535540298,   209
AT1G19000,    AT4G29480,            -0.98352337167,   210
AT2G18550,    AT1G17520,            0.983508044033,   211
AT2G18550,    AT4G13660,            0.983456239986,   212
