regulator,    target,    score,    rank
AT1G74840,    AT3G18320,            0.695309307299,   1
AT2G18380,    AT5G39800,            0.644543798295,   2
AT2G02820,    AT4G35450,            -0.563277784719,   3
AT1G68320,    AT4G38000,            0.435196658001,   4
AT1G79580,    AT3G22640,            0.403660265003,   5
AT1G77200,    AT5G37600,            -0.377744986486,   6
AT2G22430,    AT3G44020,            -0.376998801564,   7
AT1G79580,    AT2G40170,            0.376690643285,   8
AT1G52880,    AT5G64110,            -0.36943741059,   9
AT1G68200,    AT1G68580,            -0.342910917631,   10
AT2G31230,    ATCG00590,            0.340713432692,   11
AT1G20910,    AT5G46860,            -0.331932389169,   12
AT1G20910,    AT5G45550,            -0.330629849131,   13
AT1G52880,    AT1G15180,            -0.32381744417,   14
AT2G01930,    AT5G13850,            -0.317533756466,   15
AT1G77200,    AT2G37590,            -0.31651870595,   16
AT2G18350,    AT1G35420,            0.314436978661,   17
AT1G79580,    AT3G46280,            0.309737195645,   18
AT1G79580,    AT3G06490,            -0.308870218573,   19
AT1G19040,    AT2G41260,            0.307867568416,   20
AT2G23290,    AT1G66150,            0.307155875339,   21
AT1G27730,    AT4G14560,            -0.301399158255,   22
AT1G79580,    AT4G13350,            0.297051399281,   23
AT1G52880,    AT5G06960,            0.295493484543,   24
AT2G31230,    AT3G01190,            0.294110175723,   25
AT1G43160,    AT2G30980,            -0.292490338772,   26
AT1G19040,    AT4G26030,            0.291733448101,   27
AT1G12630,    AT3G03990,            0.291453787179,   28
AT1G77200,    AT5G22640,            0.29087271423,   29
AT1G52880,    AT5G65130,            -0.290610742023,   30
AT2G02070,    AT4G25140,            0.290024744497,   31
AT1G77200,    AT3G12080,            0.284993626622,   32
AT1G51140,    AT4G31860,            0.280286517881,   33
AT1G19790,    AT5G10510,            0.27075610364,   34
AT1G68550,    AT4G30140,            0.266523836437,   35
AT2G03500,    AT4G30690,            -0.262383935872,   36
AT2G31230,    AT1G76090,            0.26236489691,   37
AT2G24430,    AT4G07455,            -0.261003260178,   38
AT1G29160,    AT5G54510,            0.253587202533,   39
AT1G34190,    AT3G09630,            -0.25125545556,   40
AT2G18380,    AT2G04390,            0.250775913461,   41
AT1G51220,    AT5G51890,            0.247601859843,   42
AT2G03500,    AT3G23750,            0.247286965017,   43
AT1G19210,    ATCG00200,            -0.246073075098,   44
AT2G18350,    AT1G68410,            -0.243455509859,   45
AT1G19210,    AT3G12720,            -0.242879837222,   46
AT2G18350,    AT2G37678,            0.241683015028,   47
AT1G29160,    AT2G46500,            0.24063493405,   48
AT2G27300,    AT1G01390,            0.236964148905,   49
AT1G08010,    AT1G79930,            0.236797127405,   50
AT1G06180,    AT3G48170,            -0.230840571209,   51
AT1G02230,    AT5G62940,            0.230589977332,   52
AT2G23340,    AT2G43750,            -0.229301118135,   53
AT2G18350,    AT5G53950,            -0.229104956759,   54
AT1G02230,    AT3G29240,            0.228388490096,   55
AT1G20910,    AT5G53190,            -0.227805421199,   56
AT1G68200,    AT5G04390,            -0.227163034295,   57
AT1G79580,    AT2G17380,            -0.225679977891,   58
AT1G14687,    AT5G21930,            -0.224555144324,   59
AT2G18350,    AT2G29400,            0.223148079894,   60
AT1G22070,    AT5G51550,            0.22295387983,   61
AT2G23340,    AT3G07480,            -0.222519568295,   62
AT1G79580,    AT3G56130,            -0.222141714154,   63
AT1G75240,    AT5G52280,            0.221775529756,   64
AT1G52880,    AT1G19380,            -0.221654695202,   65
AT1G30490,    AT4G12690,            -0.221129806654,   66
AT1G52150,    AT1G01430,            0.220822105308,   67
AT1G19040,    AT1G76810,            0.220497510606,   68
AT1G19040,    AT4G28520,            0.220343284858,   69
AT1G29160,    AT3G27010,            0.219767597611,   70
AT2G18350,    AT2G17230,            -0.218197831805,   71
AT1G79580,    AT1G07135,            -0.21499947954,   72
AT2G03500,    AT5G51400,            -0.213421771656,   73
AT2G18350,    AT1G27020,            0.213068448206,   74
AT2G18350,    AT5G34850,            -0.208832045526,   75
AT1G03840,    AT1G12845,            -0.20881737949,   76
AT2G18350,    AT4G00895,            -0.208134974315,   77
AT2G18350,    AT2G43330,            0.206845365644,   78
AT1G03840,    AT5G14360,            -0.206192602834,   79
AT1G77200,    AT5G16030,            0.204968704394,   80
AT1G19040,    AT1G32400,            -0.203018416172,   81
AT1G52880,    ATCG00730,            -0.202755818712,   82
AT1G51140,    AT3G15610,            -0.201200885096,   83
AT2G18350,    AT2G29020,            0.201043139435,   84
AT1G06180,    AT5G51780,            -0.200838069289,   85
AT2G18350,    AT1G11120,            0.200700753896,   86
AT2G03500,    AT2G17730,            -0.200389692998,   87
AT2G18350,    AT1G73830,            0.199977969111,   88
AT2G18350,    AT3G27820,            -0.199351306996,   89
AT2G02070,    AT2G41690,            -0.198847497042,   90
AT2G27300,    AT3G14210,            0.19769014252,   91
AT1G12630,    AT1G21310,            -0.197237879639,   92
AT1G02250,    AT3G15730,            -0.196109150047,   93
AT1G06180,    AT2G17705,            -0.195816809315,   94
AT1G06280,    AT3G10410,            -0.195376426839,   95
AT2G18350,    AT4G34980,            0.195211198504,   96
AT1G75240,    AT2G14910,            -0.194244635487,   97
AT1G75240,    AT2G02170,            0.193614429495,   98
AT1G68550,    AT2G45470,            0.192921345442,   99
AT1G03840,    AT4G25470,            -0.191737122794,   100
AT2G18350,    AT3G60320,            -0.191701559645,   101
AT1G20910,    AT4G05100,            0.191687827959,   102
AT1G14687,    AT5G23840,            -0.191490580744,   103
AT1G43160,    AT5G02500,            0.190220382568,   104
