regulator,    target,    score,    rank
AT1G69010,    AT2G38210,            0.997505856353,   1
AT1G18330,    AT2G43535,            0.990364276679,   2
AT1G74650,    AT1G06280,            0.988289073701,   3
AT1G29160,    AT5G14250,            0.986718789855,   4
AT1G74650,    AT4G32720,            0.986558623844,   5
AT1G69180,    AT2G41200,            0.985833855885,   6
AT1G51140,    AT4G32690,            0.985712509651,   7
AT1G74650,    AT5G62440,            0.984132218793,   8
AT1G74480,    AT1G18730,            0.983826460795,   9
AT1G25550,    AT4G26230,            -0.983446561317,   10
AT1G19850,    AT3G61210,            0.98319316503,   11
AT1G31140,    AT1G72920,            0.983004113766,   12
AT1G29160,    AT5G16970,            0.982922904832,   13
AT1G28470,    AT2G37190,            -0.982582431267,   14
AT1G69180,    AT1G66700,            0.982488053342,   15
AT1G31140,    AT5G08770,            0.982485228789,   16
AT2G28810,    AT2G40590,            -0.982273335379,   17
AT1G34180,    AT4G27680,            0.982202133661,   18
AT1G34190,    AT1G15180,            -0.982016374098,   19
AT1G06280,    AT2G15220,            0.981828195001,   20
AT1G77920,    AT1G48450,            -0.981747158349,   21
AT2G24430,    AT1G15250,            -0.981654368216,   22
AT1G06280,    AT5G38890,            0.981565642753,   23
AT1G01060,    AT1G76955,            -0.981501276111,   24
AT2G23340,    AT2G37580,            0.981491046761,   25
AT1G06280,    AT1G45332,            0.981391612897,   26
AT1G06280,    AT5G54910,            0.981382181565,   27
AT1G74650,    AT5G27470,            0.98128696074,   28
AT2G22430,    AT2G32880,            -0.981214459693,   29
AT1G29860,    AT2G32450,            0.981116665512,   30
AT1G27730,    AT1G28510,            -0.980943638064,   31
AT1G29860,    AT5G27700,            0.980837627859,   32
AT1G06280,    AT5G14050,            0.980787647332,   33
AT1G74650,    AT3G18600,            0.980770093072,   34
AT1G74650,    AT2G20420,            0.980737168576,   35
AT1G49010,    AT3G58170,            0.980602685093,   36
AT1G29160,    AT2G37410,            0.98057100514,   37
AT2G02820,    AT3G58990,            0.980409843186,   38
AT1G51140,    AT1G64720,            0.980229122049,   39
AT1G49560,    AT1G24360,            -0.980210945212,   40
AT2G28810,    AT5G41700,            0.98017362479,   41
AT1G68550,    AT1G79600,            -0.980121716133,   42
AT1G77920,    AT1G19370,            0.980104828042,   43
AT1G06850,    AT5G09230,            0.98007814147,   44
AT1G34180,    AT4G31120,            0.980035073074,   45
AT1G74650,    AT5G19500,            0.979985453767,   46
AT1G74650,    AT3G02860,            0.979861358066,   47
AT1G77920,    AT5G66470,            -0.979845362286,   48
AT2G20110,    AT4G20300,            0.979823855277,   49
AT1G74650,    AT5G18440,            0.979799450411,   50
AT1G68550,    AT3G20000,            0.979775507019,   51
AT1G06280,    AT1G75200,            0.97975748476,   52
AT1G06850,    AT5G17400,            0.979716278278,   53
AT1G06280,    AT3G18130,            0.979676527553,   54
AT1G74840,    AT3G15850,            -0.97958072879,   55
AT1G29280,    AT5G28630,            0.979533107907,   56
AT1G74840,    AT4G27130,            0.979373955237,   57
AT1G06850,    AT2G31140,            -0.979191436236,   58
AT1G06280,    AT3G17160,            0.979166941603,   59
AT2G32460,    AT1G72680,            0.979161250194,   60
AT2G22540,    AT3G46630,            0.979129549083,   61
AT1G01720,    AT4G00040,            0.979121415717,   62
AT2G18160,    AT4G02550,            -0.97908488622,   63
AT1G19850,    AT2G34460,            0.979041462113,   64
AT2G01060,    AT2G25510,            -0.978989960497,   65
AT1G69180,    AT4G02230,            0.978930809681,   66
AT1G72740,    AT1G05900,            0.978925612089,   67
AT1G52880,    AT4G33960,            -0.978890990768,   68
AT1G69180,    AT3G53670,            0.978877000904,   69
AT1G19850,    AT4G23290,            -0.978835176637,   70
AT2G02820,    AT1G15710,            0.978820262432,   71
AT2G06200,    AT5G37020,            0.978693259209,   72
AT1G06850,    AT1G66330,            0.978677425676,   73
AT1G12630,    AT5G11740,            0.978674248269,   74
AT1G74650,    AT3G13150,            0.97860438648,   75
AT1G72740,    AT1G24147,            0.978598179717,   76
AT1G29160,    AT1G69180,            0.97859586192,   77
AT1G28470,    AT3G13860,            -0.978500824256,   78
AT1G79580,    AT3G05345,            0.978490933232,   79
AT2G20400,    AT5G54165,            0.978442327992,   80
AT1G06280,    AT5G15550,            0.978421114045,   81
AT1G74650,    AT2G40660,            0.978417373344,   82
AT1G19790,    AT1G34670,            0.97838542725,   83
AT1G28470,    AT3G62910,            -0.978371246865,   84
AT1G19850,    AT4G17040,            0.978350578777,   85
AT1G06280,    AT2G40700,            0.978337937207,   86
AT1G08320,    AT2G45070,            0.978270226251,   87
AT1G30650,    AT1G51200,            -0.978202648489,   88
AT1G74650,    AT2G36530,            0.978197237287,   89
AT2G28810,    AT4G02450,            -0.978185897019,   90
AT2G06200,    AT1G33040,            0.978151913176,   91
AT1G33240,    AT1G29450,            0.978054615305,   92
AT2G02820,    AT1G80790,            0.978025640011,   93
AT2G28810,    AT3G48930,            -0.977977826545,   94
AT1G62300,    AT1G47750,            0.977952709353,   95
AT1G34190,    AT1G16010,            0.977940674873,   96
AT2G02820,    AT5G44580,            -0.977878740668,   97
AT1G01060,    AT1G76400,            -0.977849218568,   98
AT1G33240,    AT5G40610,            0.977826405463,   99
AT1G34180,    AT2G43630,            0.977819135831,   100
AT1G68320,    AT1G20190,            0.977817954422,   101
AT1G19850,    AT4G26750,            -0.977812629169,   102
AT1G75390,    AT2G39400,            0.977794439322,   103
AT1G24250,    AT5G07670,            0.977788746032,   104
AT1G06280,    AT4G30840,            0.977763605398,   105
AT1G52880,    AT1G76300,            0.977749149106,   106
AT1G53170,    AT1G17530,            0.977745224167,   107
AT1G53910,    AT1G01230,            0.977721721044,   108
AT1G06280,    AT5G20630,            0.977717422586,   109
AT1G74840,    AT5G22120,            0.977693372255,   110
AT1G77200,    AT5G40850,            0.977688997543,   111
AT2G23320,    AT5G58430,            0.977685094843,   112
