regulator,    target,    score,    rank
AT1G18330,    AT2G43535,            0.998785049405,   1
AT1G31140,    AT1G72920,            0.99854654437,   2
AT1G34190,    AT1G15180,            -0.998481452106,   3
AT1G74480,    AT1G18730,            0.998431935682,   4
AT1G69010,    AT2G38210,            0.998004651669,   5
AT1G49010,    AT3G58170,            0.99786040091,   6
AT1G74650,    AT4G32720,            0.997758082041,   7
AT1G74650,    AT1G06280,            0.997514425084,   8
AT1G29160,    AT5G16970,            0.997317234662,   9
AT1G34180,    AT4G27680,            0.997273093972,   10
AT1G51140,    AT4G32690,            0.997075063277,   11
AT1G31140,    AT5G08770,            0.996467145926,   12
AT2G28810,    AT2G40590,            -0.996445959573,   13
AT1G01060,    AT1G76955,            -0.996396051196,   14
AT1G69180,    AT2G41200,            0.996212636223,   15
AT1G29160,    AT5G14250,            0.996149730192,   16
AT2G20110,    AT4G20300,            0.996059319415,   17
AT2G02820,    AT3G58990,            0.996018127769,   18
AT1G69180,    AT1G66700,            0.995871398782,   19
AT1G06850,    AT2G31140,            -0.995850130436,   20
AT2G22430,    AT2G32880,            -0.995830766004,   21
AT1G19850,    AT2G34460,            0.995813499294,   22
AT1G74650,    AT3G13150,            0.995778619834,   23
AT1G49560,    AT1G24360,            -0.995614808721,   24
AT2G06200,    AT5G37020,            0.99557024762,   25
AT2G18160,    AT4G02550,            -0.995564187894,   26
AT2G24430,    AT1G15250,            -0.995556585591,   27
AT1G28470,    AT2G37190,            -0.995532185548,   28
AT1G25550,    AT4G26230,            -0.995500459516,   29
AT1G49010,    AT5G11330,            0.995407604875,   30
AT1G74650,    AT5G27470,            0.995269464508,   31
AT1G06850,    AT1G66330,            0.995213865828,   32
AT1G72740,    AT1G24147,            0.995199900431,   33
AT1G06280,    AT1G45332,            0.995136651616,   34
AT1G06850,    AT5G17400,            0.995113826203,   35
AT1G72740,    AT1G05900,            0.995102763898,   36
AT1G06280,    AT2G15220,            0.995098435914,   37
AT1G51140,    AT1G64720,            0.995085540286,   38
AT1G06280,    AT5G15550,            0.995083376728,   39
AT1G74650,    AT5G62440,            0.995047667565,   40
AT1G06280,    AT5G14050,            0.994918977004,   41
AT1G74650,    AT3G02860,            0.994910540625,   42
