regulator,    target,    score,    rank
AT2G01930,    AT2G32120,            -0.997894428917,   1
AT2G28810,    AT5G49030,            -0.997285195999,   2
AT2G20110,    AT1G74050,            0.99671788506,   3
AT1G08320,    AT5G62540,            0.996532029198,   4
AT1G74650,    AT2G19730,            0.996084924677,   5
AT1G79580,    AT1G08460,            -0.996030632795,   6
AT1G01060,    AT5G59950,            -0.99594702175,   7
AT1G02230,    AT1G51110,            -0.995864431373,   8
AT1G12260,    AT5G52100,            -0.995421567088,   9
AT1G32870,    AT1G08640,            -0.995239407502,   10
AT1G27730,    AT1G69740,            -0.995186513874,   11
AT2G18350,    AT5G57910,            0.99514975137,   12
AT2G30250,    AT5G48620,            0.995022312074,   13
AT1G19850,    AT2G33730,            -0.994914441547,   14
AT1G74840,    AT5G16140,            0.994805942774,   15
AT1G78700,    AT1G25420,            -0.994788357793,   16
AT1G09540,    AT1G77180,            -0.994745483534,   17
AT1G53170,    AT1G71500,            0.994727809264,   18
AT1G69010,    AT4G14716,            0.994685202304,   19
AT2G31230,    AT5G07460,            0.994607447169,   20
AT1G30490,    AT1G06510,            0.994488194585,   21
AT1G27730,    AT2G04410,            0.994483281461,   22
AT1G75240,    AT4G39361,            -0.994451867016,   23
AT1G19790,    AT1G74970,            -0.994442571414,   24
AT1G78700,    AT4G12340,            0.994425400403,   25
AT1G33240,    AT2G18915,            -0.994378761989,   26
AT1G74650,    AT5G02380,            -0.994376332772,   27
AT1G75240,    AT4G39363,            -0.994275786557,   28
AT1G69490,    AT5G05800,            0.994220604819,   29
AT2G18550,    AT1G70890,            0.99415612402,   30
AT1G01060,    AT3G27100,            -0.994066467882,   31
AT1G69010,    AT2G06002,            0.994014091267,   32
AT1G69010,    AT1G64230,            0.994006525684,   33
AT1G79580,    AT5G18040,            0.993993348224,   34
AT1G19850,    AT1G50430,            0.993939717999,   35
AT1G53170,    AT5G61020,            0.993872687053,   36
AT1G43700,    AT4G31408,            0.993804315462,   37
AT1G08320,    AT1G78870,            -0.993804227731,   38
AT1G08320,    AT2G47610,            0.993771096292,   39
AT1G27730,    AT1G54260,            0.99377011131,   40
AT2G02080,    AT3G26070,            0.99369833975,   41
AT1G69010,    AT5G47890,            0.99366796258,   42
AT1G32870,    AT3G59540,            -0.993653302868,   43
AT1G03800,    AT5G05370,            0.993543662587,   44
AT1G32150,    AT4G24920,            0.99336720192,   45
AT2G23290,    AT3G63350,            -0.993254814436,   46
AT1G08320,    AT3G46030,            0.993217809409,   47
AT1G34180,    AT4G27680,            -0.99316061097,   48
AT2G20110,    AT4G15780,            0.993119759464,   49
AT1G25550,    AT5G35680,            -0.993114886406,   50
AT2G28810,    AT5G16970,            -0.993085958553,   51
AT1G69010,    AT1G48430,            0.993072822334,   52
AT1G28370,    AT3G63540,            0.993070850655,   53
AT1G71450,    AT1G76960,            0.993064141595,   54
AT1G53910,    AT3G01435,            0.993032369228,   55
AT1G34190,    AT5G58640,            0.992988096653,   56
AT1G19790,    AT3G13580,            0.992975518661,   57
AT2G31230,    AT5G44420,            0.992939394931,   58
AT1G27730,    AT3G05700,            0.992938278846,   59
AT2G20400,    AT3G16640,            0.992930343334,   60
AT1G19000,    AT4G02210,            0.992920608129,   61
AT1G13260,    AT5G10710,            -0.992916134202,   62
AT1G69010,    AT3G19553,            0.992872286073,   63
AT1G53170,    AT2G30620,            -0.992871520688,   64
AT2G01940,    AT5G16050,            0.992848356261,   65
AT1G27730,    AT3G03340,            0.992837217547,   66
AT2G18060,    AT1G21080,            0.992818242429,   67
AT1G68320,    AT1G50740,            -0.992795680302,   68
AT1G69010,    AT1G11530,            0.992768221941,   69
AT1G35460,    AT5G59613,            -0.992758912588,   70
AT1G27730,    AT4G35420,            0.992726262111,   71
AT1G80840,    AT3G23570,            0.992720344432,   72
AT1G30210,    AT5G52470,            0.992659725948,   73
AT1G78700,    AT2G26355,            0.99261749144,   74
AT1G69010,    AT2G18735,            0.992611008283,   75
AT2G23320,    AT5G06580,            -0.992585239564,   76
AT2G22540,    AT2G47910,            0.99256673052,   77
AT1G51700,    AT3G07110,            0.992564720724,   78
AT2G22540,    AT5G04040,            0.992561381708,   79
AT2G30250,    AT2G34520,            0.992510525336,   80
AT2G31230,    AT2G26020,            0.992507227011,   81
AT2G22430,    AT4G33670,            0.992504179233,   82
AT1G30490,    AT1G17980,            0.992462526118,   83
AT1G49010,    AT2G24500,            -0.992456392284,   84
AT2G32460,    AT1G31140,            0.99244213187,   85
AT1G54330,    AT4G33666,            0.992432762441,   86
AT1G19790,    AT5G62300,            -0.99241220076,   87
AT1G32870,    AT4G14320,            -0.992399492817,   88
AT1G34190,    AT1G27410,            0.992372869711,   89
AT1G43700,    AT5G62810,            0.992368255238,   90
AT1G19210,    AT4G00040,            0.992363962957,   91
AT1G32150,    AT1G52590,            0.992360404142,   92
AT1G69010,    AT2G44860,            0.992342050775,   93
AT1G49010,    AT5G45930,            0.992341498074,   94
AT2G23290,    AT4G24410,            -0.992313797257,   95
AT2G06200,    AT3G24830,            0.992304109904,   96
AT1G79580,    AT1G54330,            0.992303062045,   97
AT2G28810,    AT3G01180,            -0.992296937663,   98
AT2G22540,    AT3G47120,            0.992293762617,   99
AT1G69010,    AT1G77540,            0.99227156281,   100
AT1G34190,    AT1G53910,            0.992246518339,   101
AT2G23320,    AT2G35690,            0.992240749729,   102
AT1G72010,    AT1G09415,            0.992203964178,   103
AT1G69010,    AT4G20480,            0.992195934745,   104
AT1G64620,    AT4G34270,            0.99218574004,   105
AT1G64620,    AT5G36170,            0.992173712882,   106
AT1G53910,    AT2G32190,            0.992159322598,   107
AT1G47655,    AT1G49970,            0.992123475976,   108
AT1G69010,    AT5G42820,            0.992114125116,   109
AT1G01060,    AT4G04614,            -0.992108952954,   110
AT2G31220,    AT4G05070,            0.992092255507,   111
AT2G28810,    AT5G04840,            -0.992066916905,   112
AT1G02230,    AT3G62030,            -0.992010103544,   113
AT1G02250,    AT1G07050,            0.99199305365,   114
AT1G51700,    AT1G48350,            0.99196566311,   115
AT2G22540,    AT3G08920,            -0.991961442007,   116
AT1G68670,    AT5G03240,            0.99195713542,   117
AT1G34190,    AT3G07560,            0.991937431552,   118
AT2G18550,    AT4G27990,            0.991922826196,   119
AT1G43700,    AT3G08020,            0.991916410701,   120
AT1G69010,    AT3G12587,            0.991895847434,   121
AT1G69010,    AT1G48440,            0.991886676066,   122
AT1G08320,    AT2G27720,            0.99187739269,   123
AT1G77920,    AT3G07170,            -0.991874606572,   124
AT1G09540,    AT5G59400,            -0.991864501469,   125
AT1G29160,    AT3G26710,            0.991861877004,   126
AT2G01930,    AT5G02840,            0.991826052227,   127
AT1G78700,    AT1G80800,            0.991819935426,   128
AT2G06200,    AT2G21280,            0.991807228109,   129
AT1G19000,    AT5G45490,            0.991806188826,   130
AT2G20400,    AT5G50930,            0.991800187189,   131
AT1G80840,    AT1G71450,            0.991799461588,   132
AT2G18060,    AT5G48470,            0.991797376916,   133
AT2G02070,    AT2G32090,            0.991795529172,   134
AT2G02820,    AT3G22660,            0.99178364101,   135
AT1G68670,    AT1G24100,            -0.991765737073,   136
AT1G27730,    AT5G05270,            -0.991763492127,   137
AT1G62300,    AT5G43470,            0.991761020369,   138
AT1G34190,    AT1G16810,            0.991756784178,   139
AT2G22430,    AT1G54680,            0.991719214041,   140
AT1G08010,    AT5G15802,            0.991713501341,   141
AT2G28810,    AT3G09350,            -0.991708104789,   142
AT2G20110,    AT1G21750,            0.991681543335,   143
AT2G31230,    AT1G68585,            -0.991657082673,   144
AT2G20110,    AT5G12210,            0.991633921586,   145
AT1G77200,    AT4G23493,            -0.991622724791,   146
AT1G74650,    AT1G77840,            -0.99162173165,   147
AT1G49480,    AT4G19640,            0.991617187777,   148
AT1G45249,    AT5G52960,            -0.991604916501,   149
AT2G20110,    AT1G03760,            0.991562436962,   150
AT1G52150,    AT5G66760,            -0.991546476222,   151
AT2G01940,    AT4G22930,            -0.991543428796,   152
AT2G22430,    AT3G01770,            0.991538036123,   153
AT2G03500,    AT2G28430,            0.991524519935,   154
AT1G31140,    AT5G08590,            0.991519656017,   155
AT2G02070,    AT4G02980,            0.991518249392,   156
AT1G49560,    AT5G67520,            0.991516511755,   157
AT2G01940,    AT4G37925,            -0.991511932731,   158
AT2G20110,    AT2G47920,            0.991477206824,   159
AT2G31230,    AT1G18590,            0.991473991486,   160
AT1G34190,    AT2G42680,            0.991466744878,   161
AT2G01930,    AT1G76810,            0.991441280936,   162
AT2G01060,    AT5G47310,            0.991432978601,   163
AT2G18550,    AT5G34790,            0.991432303127,   164
