regulator,    target,    score,    rank
AT1G06280,    AT2G42430,            0.993798445925,   1
AT2G23320,    AT3G48420,            0.991843512312,   2
AT2G18380,    AT1G24240,            0.991341614269,   3
AT1G19850,    AT1G53670,            -0.991145903658,   4
AT2G23320,    AT3G27200,            0.990598614408,   5
AT1G01060,    AT1G75170,            0.990501386413,   6
AT1G19850,    AT5G20380,            -0.990340900567,   7
AT1G34670,    AT3G12720,            0.990320632885,   8
AT1G51700,    AT4G36240,            0.99011953748,   9
AT1G49480,    AT5G52970,            0.989984097766,   10
AT1G14687,    AT2G44080,            0.989882360981,   11
AT1G77920,    AT1G27520,            0.989880125295,   12
AT1G55110,    AT2G18230,            0.989694710492,   13
AT1G25550,    AT5G20180,            -0.989607097096,   14
AT1G34670,    AT2G45680,            0.989577583848,   15
AT1G49480,    AT2G24860,            0.989573182945,   16
AT2G03500,    AT4G35020,            0.989403090115,   17
AT1G71450,    AT5G13190,            0.989371286515,   18
AT1G34670,    AT5G56110,            0.989153901342,   19
AT2G18380,    AT2G17560,            0.989090933235,   20
AT1G53170,    AT4G26555,            -0.988808778264,   21
AT1G01060,    AT4G38580,            -0.988773972148,   22
AT1G77920,    AT2G20725,            0.988771683056,   23
AT1G72010,    AT2G23980,            0.988704532012,   24
AT2G18350,    AT4G10450,            -0.988684742463,   25
AT1G69180,    AT5G62320,            0.988665365208,   26
AT1G33240,    AT5G59320,            0.98855980889,   27
AT1G13260,    AT5G19790,            0.988327356431,   28
AT1G30210,    AT5G19730,            -0.988301492589,   29
AT1G34180,    AT2G31510,            0.988244270325,   30
AT2G01940,    AT5G22210,            0.988178471686,   31
AT1G71450,    AT2G14290,            0.988079644038,   32
AT1G71450,    AT1G68760,            0.988055150398,   33
AT1G43160,    AT5G14570,            0.988023272248,   34
AT1G33240,    AT1G16700,            0.987977144708,   35
AT1G27730,    AT3G49720,            0.987903429026,   36
AT1G69570,    AT2G35520,            -0.98775061632,   37
AT1G01060,    AT5G42760,            0.987661260005,   38
AT2G20400,    AT1G06890,            0.98765839207,   39
AT1G77920,    AT5G10560,            0.98759930021,   40
AT2G20110,    AT5G63890,            0.987409615432,   41
AT1G28370,    AT2G41100,            0.987405020666,   42
AT1G25550,    AT3G58530,            0.987403896953,   43
AT1G19850,    AT3G20410,            0.987346843487,   44
AT1G31140,    AT4G02330,            0.987150106149,   45
AT1G09540,    AT3G44300,            -0.987139184744,   46
AT2G23320,    AT1G75040,            0.987081568827,   47
AT1G52150,    AT5G64880,            0.987080758993,   48
AT1G06850,    AT1G18260,            0.98700192238,   49
AT1G06850,    AT2G17130,            0.986990400786,   50
AT1G71450,    AT5G07350,            0.986866958086,   51
AT1G20910,    AT4G14746,            -0.986861263637,   52
