regulator,    target,    score,    rank
AT3G51960,    AT3G51960,            1.0,   1.0
AT5G42910,    AT5G42910,            1.0,   2.0
AT3G51960,    AT2G41230,            0.993333235898,   3.0
AT2G46270,    AT5G53710,            0.992899591932,   4.0
AT3G51960,    AT2G45570,            0.991532736093,   5.0
AT3G51960,    AT5G67310,            0.988001244674,   6.0
AT3G51960,    AT2G45210,            0.9864058051,   7.0
AT4G34590,    AT1G56430,            -0.985262132863,   8.0
AT4G34590,    AT3G53980,            0.985076135605,   9.0
AT2G46270,    AT4G27280,            -0.984706139601,   10.0
AT3G51960,    AT3G46660,            0.982387863653,   11.0
AT3G51960,    AT4G31830,            0.981839309491,   12.0
AT2G46270,    AT3G28007,            0.98158235725,   13.0
AT4G34590,    AT4G34220,            -0.981284971199,   14.0
AT2G46270,    AT2G18300,            -0.979794226878,   15.0
AT2G46270,    AT2G33590,            0.97674806133,   16.0
AT2G46270,    AT3G62090,            0.976584678746,   17.0
AT2G46270,    AT2G46680,            0.976402757704,   18.0
AT5G15830,    AT1G70430,            0.975636636106,   19.0
AT3G51960,    AT2G36750,            0.974611887984,   20.0
AT2G46270,    AT5G59310,            0.972562655104,   21.0
AT2G46270,    AT4G38660,            -0.972418494149,   22.0
AT2G46270,    AT4G15910,            0.971515748507,   23.0
AT3G51960,    AT3G18050,            -0.970966817304,   24.0
AT4G34590,    AT5G50360,            0.970229771842,   25.0
AT2G46270,    AT3G14210,            -0.969726348437,   26.0
AT2G46270,    AT1G78370,            -0.969507883186,   27.0
AT4G34590,    AT4G18480,            -0.968597642923,   28.0
AT3G51960,    AT4G36540,            -0.968444547553,   29.0
AT2G46270,    AT1G09530,            0.967802174912,   30.0
AT2G46270,    AT1G24600,            0.967792081779,   31.0
AT2G46270,    AT4G18780,            0.967562884859,   32.0
AT3G51960,    AT1G29670,            -0.966916963855,   33.0
AT2G46270,    AT1G13260,            -0.966755854563,   34.0
AT2G46270,    AT1G77120,            0.966316485389,   35.0
AT2G46270,    AT1G72770,            0.965677347841,   36.0
AT2G46270,    AT3G55130,            -0.96565261781,   37.0
AT4G34590,    AT5G25560,            0.965515197314,   38.0
AT2G46270,    AT1G52890,            0.965249566865,   39.0
AT2G46270,    AT1G77450,            0.964675249455,   40.0
AT3G51960,    AT3G01480,            -0.964425963619,   41.0
AT2G46270,    AT1G09140,            0.964369169352,   42.0
AT2G46270,    AT4G27410,            0.964287146831,   43.0
AT2G46270,    AT4G34710,            0.963771771611,   44.0
AT2G46270,    AT5G11110,            0.96349798181,   45.0
AT4G34590,    AT2G32100,            -0.963457519493,   46.0
AT2G46270,    AT2G26530,            -0.96310630161,   47.0
AT2G46270,    AT3G53230,            0.962645791436,   48.0
AT4G34590,    AT5G47560,            0.962123450094,   49.0
AT4G34590,    AT2G21820,            0.961991375603,   50.0
AT4G34590,    AT1G68500,            0.961950653657,   51.0
AT2G46270,    AT4G23290,            -0.961253852762,   52.0
AT3G51960,    AT1G79900,            0.960931568501,   53.0
AT2G46270,    AT3G57450,            -0.960863850032,   54.0
AT4G34590,    AT3G19710,            -0.960320861157,   55.0
AT2G46270,    AT3G57010,            0.959502895315,   56.0
AT3G51960,    AT5G50730,            -0.959345688144,   57.0
AT2G46270,    AT5G20830,            0.959219926743,   58.0
AT2G46270,    AT1G09750,            -0.95869076887,   59.0
AT2G46270,    AT5G01600,            0.957936935679,   60.0
AT3G49760,    AT4G34770,            -0.957910262325,   61.0
AT2G46270,    AT4G12410,            0.956677099279,   62.0
AT4G34590,    AT1G04220,            0.956650445037,   63.0
AT3G51960,    AT5G25460,            -0.956615278677,   64.0
AT2G46270,    AT4G32920,            0.956595619764,   65.0
AT2G46270,    AT1G03870,            -0.956501200872,   66.0
AT3G51960,    AT1G29510,            -0.956185650572,   67.0
AT2G46270,    AT2G41090,            -0.95616762493,   68.0
AT2G46270,    AT5G01520,            0.955984929432,   69.0
AT2G46270,    AT3G11410,            0.955979068145,   70.0
AT4G34590,    AT3G45970,            0.955761427616,   71.0
AT4G34590,    AT2G23200,            -0.955605612166,   72.0
AT2G46270,    AT1G52080,            0.953972353849,   73.0
AT2G46270,    AT3G10520,            -0.953599979229,   74.0
AT2G46270,    AT2G37040,            0.953239798664,   75.0
AT3G51960,    AT1G74010,            0.952192860808,   76.0
AT2G46270,    AT2G28400,            0.952021913819,   77.0
AT2G46270,    AT5G54160,            0.951665868714,   78.0
AT3G51960,    AT1G49750,            -0.951438834337,   79.0
AT3G51960,    AT1G33811,            -0.951109853377,   80.0
AT4G34590,    AT5G37550,            0.950577534927,   81.0
AT2G46270,    AT2G40610,            -0.95033456931,   82.0
AT4G34590,    AT2G21650,            -0.950175983873,   83.0
AT2G46270,    AT2G36430,            -0.950158140275,   84.0
AT2G46270,    AT1G54820,            -0.950147725852,   85.0
AT4G34590,    AT1G66140,            -0.949459533099,   86.0
AT2G46270,    AT4G34230,            0.949372748439,   87.0
AT3G51960,    AT3G62030,            -0.948615706124,   88.0
AT2G46270,    AT1G66940,            -0.94859394175,   89.0
AT2G46270,    AT1G52190,            -0.948170826745,   90.0
AT2G46270,    AT5G19240,            -0.947780700983,   91.0
AT3G51960,    AT3G14560,            0.947497831319,   92.0
AT1G68640,    AT5G55830,            -0.947125440286,   93.0
AT4G34590,    AT3G49260,            -0.947107595185,   94.0
AT2G46270,    AT3G59400,            -0.94695551474,   95.0
AT2G46270,    AT1G55760,            0.946844056292,   96.0
AT3G51960,    AT3G62590,            0.946554110176,   97.0
AT2G46270,    AT5G65010,            -0.946548142383,   98.0
AT2G46270,    AT5G54630,            -0.946248734055,   99.0
AT2G46270,    AT1G67340,            0.945883558674,   100.0
